a,b,theta,Rt,Rp,status
7.2,6,25,0.1,0,NotYet
7.2,6,25,0.2,0,NotYet
7.2,6,25,0.3,0,NotYet
7.2,6,25,0.4,0,NotYet
7.2,6,25,0.5,0,NotYet
7.2,6,25,0.6,0,NotYet
7.2,6,25,0.7,0,NotYet
7.2,6,25,0.8,0,NotYet
7.2,6,25,0.9,0,NotYet
7.2,6,25,1,0,NotYet
7.2,6,25,1.1,0,NotYet
7.2,6,25,1.2,0,NotYet
7.2,6,25,1.3,0,NotYet
7.2,6,25,1.4,0,NotYet
7.2,6,25,1.5,0,NotYet
7.2,6,25,1.6,0,NotYet
7.2,6,25,1.7,0,NotYet
7.2,6,25,1.8,0,NotYet
7.2,6,25,1.9,0,NotYet
7.2,6,25,2,0,NotYet
7.2,6,25,2.1,0,NotYet
7.2,6,25,2.2,0,NotYet
7.2,6,25,2.3,0,NotYet
7.2,6,25,2.4,0,NotYet
7.2,6,25,2.5,0,NotYet
7.2,6,25,2.6,0,NotYet
7.2,6,25,2.7,0,NotYet
