a,b,theta,A1,A2,Rt,Rp,status
7.2,6,25,-0.6,-1.5,2.1,1.9,NotYet
7.2,6,25,-0.7,-1.5,2.1,1.9,NotYet
7.2,6,25,-0.8,-1.5,2.1,1.9,NotYet
7.2,6,25,-0.9,-1.5,2.1,1.9,NotYet
7.2,6,25,-0.5,-1.6,2.1,1.9,NotYet
7.2,6,25,-0.6,-1.6,2.1,1.9,NotYet
7.2,6,25,-0.7,-1.6,2.1,1.9,NotYet
7.2,6,25,-0.8,-1.6,2.1,1.9,NotYet
7.2,6,25,-0.9,-1.6,2.1,1.9,NotYet
7.2,6,25,-1,-1.6,2.1,1.9,NotYet
7.2,6,25,-0.5,-1.7,2.1,1.9,NotYet
7.2,6,25,-0.6,-1.7,2.1,1.9,NotYet
7.2,6,25,-0.7,-1.7,2.1,1.9,NotYet
7.2,6,25,-0.8,-1.7,2.1,1.9,NotYet
7.2,6,25,-0.9,-1.7,2.1,1.9,NotYet
7.2,6,25,-1,-1.7,2.1,1.9,NotYet
7.2,6,25,-0.5,-1.8,2.1,1.9,NotYet
7.2,6,25,-0.6,-1.8,2.1,1.9,NotYet
7.2,6,25,-0.7,-1.8,2.1,1.9,NotYet
7.2,6,25,-0.8,-1.8,2.1,1.9,NotYet
7.2,6,25,-0.9,-1.8,2.1,1.9,NotYet
7.2,6,25,-1,-1.8,2.1,1.9,NotYet
7.2,6,25,-0.5,-1.9,2.1,1.9,NotYet
7.2,6,25,-0.6,-1.9,2.1,1.9,NotYet
7.2,6,25,-0.7,-1.9,2.1,1.9,NotYet
7.2,6,25,-0.8,-1.9,2.1,1.9,NotYet
7.2,6,25,-0.9,-1.9,2.1,1.9,NotYet
7.2,6,25,-1,-1.9,2.1,1.9,NotYet
7.2,6,25,-0.6,-2,2.1,1.9,NotYet
7.2,6,25,-0.7,-2,2.1,1.9,NotYet
7.2,6,25,-0.8,-2,2.1,1.9,NotYet
7.2,6,25,-0.9,-2,2.1,1.9,NotYet
