a,b,theta,A1,A2,Rt,Rp,status
7.4,5.8,25.0,-2.0,-2.0,1.7,1.5,NotYet
7.4,5.8,25.0,-2.0,-1.5,1.7,1.5,NotYet
7.4,5.8,25.0,-2.0,-1.0,1.7,1.5,NotYet
7.4,5.8,25.0,-2.0,-0.5,1.7,1.5,NotYet
7.4,5.8,25.0,-2.0,0.0,1.7,1.5,NotYet
7.4,5.8,25.0,-2.0,0.5,1.7,1.5,NotYet
7.4,5.8,25.0,-2.0,1.0,1.7,1.5,NotYet
7.4,5.8,25.0,-2.0,1.5,1.7,1.5,NotYet
7.4,5.8,25.0,-2.0,2.0,1.7,1.5,NotYet
7.4,5.8,25.0,-1.5,-2.0,1.7,1.5,NotYet
7.4,5.8,25.0,-1.5,-1.5,1.7,1.5,NotYet
7.4,5.8,25.0,-1.5,-1.0,1.7,1.5,NotYet
7.4,5.8,25.0,-1.5,-0.5,1.7,1.5,NotYet
7.4,5.8,25.0,-1.5,0.0,1.7,1.5,NotYet
7.4,5.8,25.0,-1.5,0.5,1.7,1.5,NotYet
7.4,5.8,25.0,-1.5,1.0,1.7,1.5,NotYet
7.4,5.8,25.0,-1.5,1.5,1.7,1.5,NotYet
7.4,5.8,25.0,-1.5,2.0,1.7,1.5,NotYet
7.4,5.8,25.0,-1.0,-2.0,1.7,1.5,NotYet
7.4,5.8,25.0,-1.0,-1.5,1.7,1.5,NotYet
7.4,5.8,25.0,-1.0,-1.0,1.7,1.5,NotYet
7.4,5.8,25.0,-1.0,-0.5,1.7,1.5,NotYet
7.4,5.8,25.0,-1.0,0.0,1.7,1.5,NotYet
7.4,5.8,25.0,-1.0,0.5,1.7,1.5,NotYet
7.4,5.8,25.0,-1.0,1.0,1.7,1.5,NotYet
7.4,5.8,25.0,-1.0,1.5,1.7,1.5,NotYet
7.4,5.8,25.0,-1.0,2.0,1.7,1.5,NotYet
7.4,5.8,25.0,-0.5,-2.0,1.7,1.5,NotYet
7.4,5.8,25.0,-0.5,-1.5,1.7,1.5,NotYet
7.4,5.8,25.0,-0.5,-1.0,1.7,1.5,NotYet
7.4,5.8,25.0,-0.5,-0.5,1.7,1.5,NotYet
7.4,5.8,25.0,-0.5,0.0,1.7,1.5,NotYet
7.4,5.8,25.0,-0.5,0.5,1.7,1.5,NotYet
7.4,5.8,25.0,-0.5,1.0,1.7,1.5,NotYet
7.4,5.8,25.0,-0.5,1.5,1.7,1.5,NotYet
7.4,5.8,25.0,-0.5,2.0,1.7,1.5,NotYet
7.4,5.8,25.0,0.0,-2.0,1.7,1.5,NotYet
7.4,5.8,25.0,0.0,-1.5,1.7,1.5,NotYet
7.4,5.8,25.0,0.0,-1.0,1.7,1.5,NotYet
7.4,5.8,25.0,0.0,-0.5,1.7,1.5,NotYet
7.4,5.8,25.0,0.0,0.0,1.7,1.5,NotYet
7.4,5.8,25.0,0.0,0.5,1.7,1.5,NotYet
7.4,5.8,25.0,0.0,1.0,1.7,1.5,NotYet
7.4,5.8,25.0,0.0,1.5,1.7,1.5,NotYet
7.4,5.8,25.0,0.0,2.0,1.7,1.5,NotYet
7.4,5.8,25.0,0.5,-2.0,1.7,1.5,NotYet
7.4,5.8,25.0,0.5,-1.5,1.7,1.5,NotYet
7.4,5.8,25.0,0.5,-1.0,1.7,1.5,NotYet
7.4,5.8,25.0,0.5,-0.5,1.7,1.5,NotYet
7.4,5.8,25.0,0.5,0.0,1.7,1.5,NotYet
7.4,5.8,25.0,0.5,0.5,1.7,1.5,NotYet
7.4,5.8,25.0,0.5,1.0,1.7,1.5,NotYet
7.4,5.8,25.0,0.5,1.5,1.7,1.5,NotYet
7.4,5.8,25.0,0.5,2.0,1.7,1.5,NotYet
7.4,5.8,25.0,1.0,-2.0,1.7,1.5,NotYet
7.4,5.8,25.0,1.0,-1.5,1.7,1.5,NotYet
7.4,5.8,25.0,1.0,-1.0,1.7,1.5,NotYet
7.4,5.8,25.0,1.0,-0.5,1.7,1.5,NotYet
7.4,5.8,25.0,1.0,0.0,1.7,1.5,NotYet
7.4,5.8,25.0,1.0,0.5,1.7,1.5,NotYet
7.4,5.8,25.0,1.0,1.0,1.7,1.5,NotYet
7.4,5.8,25.0,1.0,1.5,1.7,1.5,NotYet
7.4,5.8,25.0,1.0,2.0,1.7,1.5,NotYet
7.4,5.8,25.0,1.5,-2.0,1.7,1.5,NotYet
7.4,5.8,25.0,1.5,-1.5,1.7,1.5,NotYet
7.4,5.8,25.0,1.5,-1.0,1.7,1.5,NotYet
7.4,5.8,25.0,1.5,-0.5,1.7,1.5,NotYet
7.4,5.8,25.0,1.5,0.0,1.7,1.5,NotYet
7.4,5.8,25.0,1.5,0.5,1.7,1.5,NotYet
7.4,5.8,25.0,1.5,1.0,1.7,1.5,NotYet
7.4,5.8,25.0,1.5,1.5,1.7,1.5,NotYet
7.4,5.8,25.0,1.5,2.0,1.7,1.5,NotYet
7.4,5.8,25.0,2.0,-2.0,1.7,1.5,NotYet
7.4,5.8,25.0,2.0,-1.5,1.7,1.5,NotYet
7.4,5.8,25.0,2.0,-1.0,1.7,1.5,NotYet
7.4,5.8,25.0,2.0,-0.5,1.7,1.5,NotYet
7.4,5.8,25.0,2.0,0.0,1.7,1.5,NotYet
7.4,5.8,25.0,2.0,0.5,1.7,1.5,NotYet
7.4,5.8,25.0,2.0,1.0,1.7,1.5,NotYet
7.4,5.8,25.0,2.0,1.5,1.7,1.5,NotYet
7.4,5.8,25.0,2.0,2.0,1.7,1.5,NotYet
