theta,a,b,status
25,6.7,7.2,NotYet
35,5.7,7.0,NotYet
30,8.3,5.6,NotYet
10,7.9,8.8,NotYet
35,4.1,8.9,NotYet
10,6.7,8.9,NotYet
35,9.3,6.3,NotYet
10,3.8,11.6,NotYet
20,4.5,11.8,NotYet
45,7.2,9.6,NotYet
20,7.9,8.8,NotYet
5,3.9,13.6,NotYet
35,5.4,10.5,NotYet
30,4.5,12.4,NotYet
10,5.5,6.3,NotYet
10,5.7,6.7,NotYet
25,7.0,7.5,NotYet
45,8.7,5.4,NotYet
25,8.0,8.6,NotYet
20,4.4,12.2,NotYet
15,5.4,6.2,NotYet
25,7.7,8.9,NotYet
15,4.2,13.6,NotYet
30,7.8,6.3,NotYet
45,5.3,7.0,NotYet
15,5.1,6.7,NotYet
5,5.7,9.4,NotYet
30,9.0,7.3,NotYet
20,4.4,10.3,NotYet
35,7.1,8.4,NotYet
25,6.2,7.1,NotYet
45,11.0,5.6,NotYet
15,4.5,11.8,NotYet
30,5.1,7.6,NotYet
5,4.7,10.2,NotYet
45,7.4,5.8,NotYet
25,4.7,12.3,NotYet
25,4.8,11.9,NotYet
20,6.3,7.5,NotYet
5,4.2,9.1,NotYet
15,5.3,7.8,NotYet
10,4.0,15.1,NotYet
35,5.2,10.2,NotYet
10,3.4,12.8,NotYet
40,6.1,8.7,NotYet
10,4.4,12.2,NotYet
10,5.7,12.1,NotYet
45,5.6,9.0,NotYet
25,6.5,10.3,NotYet
25,5.9,6.8,NotYet
10,6.0,12.2,NotYet
5,5.2,10.2,NotYet
40,5.2,8.1,NotYet
45,8.0,5.0,NotYet
10,5.3,11.4,NotYet
30,6.2,5.0,NotYet
5,6.5,10.3,NotYet
5,4.4,12.7,NotYet
35,4.7,11.0,NotYet
15,5.5,10.0,NotYet
40,8.3,8.9,NotYet
45,6.4,9.2,NotYet
15,3.8,9.9,NotYet
40,7.6,5.5,NotYet
25,4.0,10.5,NotYet
20,7.9,7.6,NotYet
15,4.4,11.4,NotYet
20,5.5,6.1,NotYet
20,4.8,9.0,NotYet
45,4.7,8.4,NotYet
10,4.4,13.5,NotYet
10,7.1,8.2,NotYet
35,7.4,9.2,NotYet
30,8.4,6.1,NotYet
10,5.0,10.7,NotYet
15,6.6,10.5,NotYet
20,6.8,7.6,NotYet
25,5.1,11.5,NotYet
15,5.9,8.8,NotYet
15,5.2,13.6,NotYet
35,6.3,12.3,NotYet
35,6.6,8.5,NotYet
5,4.5,9.2,NotYet
15,7.0,11.2,NotYet
10,5.3,7.0,NotYet
20,6.1,8.4,NotYet
20,5.3,5.1,NotYet
35,8.1,8.3,NotYet
25,7.2,7.8,NotYet
25,4.7,13.0,NotYet
10,7.0,9.3,NotYet
20,6.5,11.7,NotYet
10,4.2,11.5,NotYet
20,5.7,10.3,NotYet
15,3.3,10.9,NotYet
25,5.4,8.7,NotYet
30,6.5,6.3,NotYet
35,5.0,11.8,NotYet
35,9.0,6.0,NotYet
10,5.4,11.1,NotYet
45,5.4,10.2,NotYet
40,4.6,10.2,NotYet
20,5.5,5.9,NotYet
25,6.6,6.1,NotYet
45,9.5,6.7,NotYet
35,5.9,7.3,NotYet
15,5.0,11.3,NotYet
40,6.8,9.7,NotYet
40,8.8,5.5,NotYet
40,8.2,6.4,NotYet
15,6.7,7.7,NotYet
25,7.3,9.3,NotYet
5,5.7,12.3,NotYet
45,6.7,10.7,NotYet
35,9.6,6.5,NotYet
5,4.6,13.4,NotYet
15,6.7,12.1,NotYet
10,7.6,8.8,NotYet
10,6.8,7.6,NotYet
45,7.5,9.9,NotYet
20,3.8,10.3,NotYet
40,5.6,8.0,NotYet
45,8.3,5.2,NotYet
35,6.4,6.6,NotYet
10,7.7,9.2,NotYet
25,6.9,6.4,NotYet
40,6.5,6.5,NotYet
15,4.9,7.8,NotYet
20,6.5,7.0,NotYet
30,7.2,10.6,NotYet
40,6.2,6.2,NotYet
30,8.5,8.2,NotYet
5,5.6,9.0,NotYet
30,7.4,10.9,NotYet
20,5.2,13.6,NotYet
25,5.6,9.0,NotYet
10,6.1,8.7,NotYet
20,7.0,6.8,NotYet
45,6.4,7.7,NotYet
40,7.8,8.3,NotYet
5,5.4,11.6,NotYet
45,7.0,9.3,NotYet
5,5.3,7.0,NotYet
15,7.0,9.0,NotYet
5,4.8,9.4,NotYet
20,5.4,7.4,NotYet
35,5.7,12.1,NotYet
35,4.2,9.9,NotYet
15,6.3,11.4,NotYet
15,3.7,12.0,NotYet
45,5.4,8.7,NotYet
20,5.5,10.0,NotYet
30,5.4,11.6,NotYet
25,6.5,5.3,NotYet
5,3.8,11.2,NotYet
45,7.6,4.8,NotYet
5,4.9,10.5,NotYet
25,8.7,7.0,NotYet
10,3.4,10.5,NotYet
15,5.1,8.1,NotYet
20,5.2,9.7,NotYet
35,5.2,11.1,NotYet
5,6.2,7.6,NotYet
40,6.0,12.2,NotYet
15,6.5,12.2,NotYet
40,5.6,11.5,NotYet
25,4.9,13.3,NotYet
35,9.2,8.0,NotYet
10,4.0,12.4,NotYet
45,6.8,5.3,NotYet
20,6.8,6.5,NotYet
45,5.8,10.5,NotYet
40,10.1,6.5,NotYet
40,9.5,5.9,NotYet
35,8.0,5.4,NotYet
15,4.8,8.6,NotYet
40,8.5,5.3,NotYet
20,5.8,6.9,NotYet
25,8.1,6.5,NotYet
40,5.7,5.7,NotYet
40,9.5,7.4,NotYet
10,6.0,6.9,NotYet
30,7.3,4.9,NotYet
5,4.8,9.9,NotYet
20,6.8,7.3,NotYet
20,5.2,5.8,NotYet
35,8.1,9.7,NotYet
35,5.0,10.7,NotYet
30,5.6,5.4,NotYet
45,8.5,6.0,NotYet
15,3.9,12.8,NotYet
35,7.6,9.8,NotYet
5,4.6,9.8,NotYet
25,5.8,7.4,NotYet
25,4.3,11.2,NotYet
15,6.4,10.2,NotYet
20,4.5,10.7,NotYet
35,6.4,8.2,NotYet
35,6.9,8.5,NotYet
10,6.6,7.3,NotYet
