theta,a,b,status
25,7.6,7.7,NotYet
25,5.9,12.1,NotYet
5,5.0,10.6,NotYet
45,5.5,11.2,NotYet
45,5.9,8.3,NotYet
25,5.5,10.1,NotYet
5,3.6,13.0,NotYet
45,6.6,7.9,NotYet
40,4.9,12.7,NotYet
45,8.4,6.1,NotYet
15,5.5,13.5,NotYet
40,6.4,8.4,NotYet
10,5.8,10.8,NotYet
15,3.1,12.0,NotYet
40,10.0,6.0,NotYet
40,8.9,6.7,NotYet
30,5.4,10.4,NotYet
25,7.8,7.9,NotYet
35,5.5,8.5,NotYet
35,9.6,5.6,NotYet
35,6.8,10.2,NotYet
5,7.0,8.5,NotYet
40,9.8,5.2,NotYet
30,6.3,5.9,NotYet
45,5.9,10.0,NotYet
40,5.4,11.5,NotYet
35,7.1,6.9,NotYet
45,6.4,12.0,NotYet
10,3.9,15.2,NotYet
40,6.2,6.4,NotYet
30,7.5,10.4,NotYet
45,4.5,9.2,NotYet
40,8.1,6.3,NotYet
5,3.8,12.8,NotYet
30,4.1,12.7,NotYet
40,9.1,5.1,NotYet
40,6.3,10.0,NotYet
5,6.4,12.1,NotYet
10,5.0,12.9,NotYet
5,5.1,8.7,NotYet
10,5.3,12.0,NotYet
5,3.4,12.9,NotYet
20,5.9,6.9,NotYet
35,7.1,5.6,NotYet
45,9.0,6.5,NotYet
30,8.0,5.4,NotYet
15,5.0,10.8,NotYet
5,6.4,12.3,NotYet
45,7.1,8.1,NotYet
15,3.2,12.6,NotYet
45,9.1,7.5,NotYet
5,3.7,13.8,NotYet
30,4.4,13.0,NotYet
5,5.8,10.3,NotYet
25,6.6,5.5,NotYet
45,6.6,10.7,NotYet
5,4.5,12.8,NotYet
10,4.0,11.9,NotYet
10,4.2,11.2,NotYet
10,6.2,9.7,NotYet
5,3.8,14.7,NotYet
35,6.6,9.5,NotYet
30,4.3,10.5,NotYet
30,6.3,11.5,NotYet
25,4.8,13.5,NotYet
20,5.1,13.9,NotYet
35,6.4,9.3,NotYet
15,6.0,11.6,NotYet
25,7.8,10.1,NotYet
5,5.1,12.5,NotYet
40,9.0,5.0,NotYet
20,5.6,13.4,NotYet
20,3.5,12.1,NotYet
5,4.4,11.8,NotYet
30,7.6,10.5,NotYet
40,10.2,6.1,NotYet
20,5.9,9.8,NotYet
20,8.3,8.1,NotYet
35,6.9,9.7,NotYet
20,7.4,11.2,NotYet
40,8.1,9.3,NotYet
45,7.8,5.9,NotYet
10,5.7,9.3,NotYet
5,5.7,12.2,NotYet
35,4.1,10.5,NotYet
5,4.6,10.8,NotYet
20,7.4,7.7,NotYet
5,5.0,12.6,NotYet
20,7.7,10.0,NotYet
30,6.8,8.5,NotYet
15,6.2,10.4,NotYet
40,4.4,10.1,NotYet
45,7.2,7.8,NotYet
40,6.9,10.5,NotYet
25,4.0,11.7,NotYet
45,7.5,7.8,NotYet
40,8.3,7.8,NotYet
5,5.2,10.5,NotYet
35,4.0,11.4,NotYet
20,4.9,10.2,NotYet
35,7.7,7.5,NotYet
15,5.7,11.0,NotYet
20,7.8,8.7,NotYet
10,5.7,8.9,NotYet
45,9.6,8.3,NotYet
10,6.9,9.4,NotYet
5,4.4,12.3,NotYet
25,5.8,11.9,NotYet
5,6.8,7.5,NotYet
35,6.8,9.8,NotYet
25,3.9,10.8,NotYet
45,8.4,5.9,NotYet
45,6.2,12.1,NotYet
25,4.5,13.7,NotYet
15,6.6,12.0,NotYet
15,5.8,7.1,NotYet
5,6.1,12.6,NotYet
30,4.9,11.7,NotYet
25,5.6,13.5,NotYet
40,6.6,6.5,NotYet
35,4.0,10.3,NotYet
40,10.2,7.6,NotYet
30,7.7,7.4,NotYet
20,6.4,6.1,NotYet
10,4.8,13.3,NotYet
35,4.7,12.0,NotYet
35,6.0,10.7,NotYet
25,4.1,11.0,NotYet
40,6.3,7.4,NotYet
45,10.1,7.5,NotYet
15,6.3,8.0,NotYet
35,7.1,8.9,NotYet
15,7.7,9.7,NotYet
45,10.2,7.7,NotYet
40,6.0,11.6,NotYet
10,5.9,7.6,NotYet
30,5.7,12.6,NotYet
30,5.1,11.1,NotYet
30,8.3,9.0,NotYet
30,6.8,7.3,NotYet
5,4.6,14.0,NotYet
35,4.6,11.9,NotYet
45,9.3,7.4,NotYet
45,7.3,6.1,NotYet
30,4.1,10.5,NotYet
5,4.2,13.7,NotYet
20,5.6,8.9,NotYet
35,4.3,10.3,NotYet
5,7.5,8.3,NotYet
40,4.2,9.9,NotYet
