a,b,theta,E,E_p1,E_p2,E_t,machine_type,status,file_name
6.5,7.5,0,-18.16491349611897,-0.823317592847161,-0.207002371258568,-4.026068391976878,3,Done,naphthalene_theta=0_a=6.5_b=7.5_cx=0_cy=0_cz=0.log
3.5,13.2,0,-12.166614432353526,-0.0014696284779347,-2.1254083730163984,-1.978214607341215,3,Done,naphthalene_theta=0_a=3.5_b=13.2_cx=0_cy=0_cz=0.log
6.4,7.4,0,-18.264670015661977,-0.8623926405562088,-0.2346667771344073,-4.017637795070186,3,Done,naphthalene_theta=0_a=6.4_b=7.4_cx=0_cy=0_cz=0.log
6.4,7.5,0,-18.206399437389337,-0.823317592847161,-0.2346667771344073,-4.02260767435655,3,Done,naphthalene_theta=0_a=6.4_b=7.5_cx=0_cy=0_cz=0.log
6.4,7.6,0,-18.083991061430424,-0.7583081843913533,-0.2346667771344073,-4.024510284594726,3,Done,naphthalene_theta=0_a=6.4_b=7.6_cx=0_cy=0_cz=0.log
6.5,7.4,0,-18.267581662046723,-0.8623926405562088,-0.207002371258568,-4.032197909604292,3,Done,naphthalene_theta=0_a=6.5_b=7.4_cx=0_cy=0_cz=0.log
6.5,7.6,0,-18.00036907894537,-0.7583081843913533,-0.207002371258568,-4.0174369919113815,3,Done,naphthalene_theta=0_a=6.5_b=7.6_cx=0_cy=0_cz=0.log
6.6,7.4,0,-18.1405447726138,-0.8623926405562088,-0.181810982292518,-4.013034381729085,3,Done,naphthalene_theta=0_a=6.6_b=7.4_cx=0_cy=0_cz=0.log
6.6,7.5,0,-18.002640665043145,-0.823317592847161,-0.181810982292518,-3.998095878690947,3,Done,naphthalene_theta=0_a=6.6_b=7.5_cx=0_cy=0_cz=0.log
6.6,7.6,0,-17.80483570776414,-0.7583081843913533,-0.181810982292518,-3.9811493435991,3,Done,naphthalene_theta=0_a=6.6_b=7.6_cx=0_cy=0_cz=0.log
3.4,13.1,0,-9.45815577020403,-0.0017193774110637,-0.7468705596402287,-1.9902439740253608,3,Done,naphthalene_theta=0_a=3.4_b=13.1_cx=0_cy=0_cz=0.log
3.4,13.2,0,-9.30015628237743,-0.0014696284779347,-0.7468705596402287,-1.950868976535276,3,Done,naphthalene_theta=0_a=3.4_b=13.2_cx=0_cy=0_cz=0.log
3.4,13.3,0,-9.112982599879617,-0.0012424698215909,-0.7468705596402287,-1.904189135238994,3,Done,naphthalene_theta=0_a=3.4_b=13.3_cx=0_cy=0_cz=0.log
3.5,13.1,0,-12.362533094361424,-0.0017193774110637,-2.1254083730163984,-2.027069398376625,3,Done,naphthalene_theta=0_a=3.5_b=13.1_cx=0_cy=0_cz=0.log
3.5,13.3,0,-11.946406112983825,-0.0012424698215909,-2.1254083730163984,-1.923276106826961,3,Done,naphthalene_theta=0_a=3.5_b=13.3_cx=0_cy=0_cz=0.log
3.6,13.1,0,-13.99482465640176,-0.0017193774110637,-2.889031567145139,-2.053330691822339,3,Done,naphthalene_theta=0_a=3.6_b=13.1_cx=0_cy=0_cz=0.log
3.6,13.2,0,-13.76541453099344,-0.0014696284779347,-2.889031567145139,-1.996103034936823,3,Done,naphthalene_theta=0_a=3.6_b=13.2_cx=0_cy=0_cz=0.log
3.6,13.3,0,-13.516212739399634,-0.0012424698215909,-2.889031567145139,-1.933916166366544,3,Done,naphthalene_theta=0_a=3.6_b=13.3_cx=0_cy=0_cz=0.log
6.4,7.3,0,-18.22659647418186,-0.8593398044467904,-0.2346667771344073,-4.009645827754866,3,Done,naphthalene_theta=0_a=6.4_b=7.3_cx=0_cy=0_cz=0.log
6.5,7.3,0,-18.276129603385925,-0.8593398044467904,-0.207002371258568,-4.035861312993802,3,Done,naphthalene_theta=0_a=6.5_b=7.3_cx=0_cy=0_cz=0.log
6.6,7.3,0,-18.18624130601529,-0.8593398044467904,-0.181810982292518,-4.025984933134168,3,Done,naphthalene_theta=0_a=6.6_b=7.3_cx=0_cy=0_cz=0.log
3.5,13.0,0,-12.529557431000285,-0.0019935992313548,-2.1254083730163984,-2.0686883716261946,3,Done,naphthalene_theta=0_a=3.5_b=13.0_cx=0_cy=0_cz=0.log
3.6,13.0,0,-14.200440858257934,-0.0019935992313548,-2.889031567145139,-2.1045976313762367,3,Done,naphthalene_theta=0_a=3.6_b=13.0_cx=0_cy=0_cz=0.log
3.7,13.0,0,-15.010063045658171,-0.0019935992313548,-3.2446785072097555,-2.129179708193988,3,Done,naphthalene_theta=0_a=3.7_b=13.0_cx=0_cy=0_cz=0.log
3.7,13.1,0,-14.770706886076368,-0.0017193774110637,-3.2446785072097555,-2.0694777792086825,3,Done,naphthalene_theta=0_a=3.7_b=13.1_cx=0_cy=0_cz=0.log
3.7,13.2,0,-14.51222296699416,-0.0014696284779347,-3.2446785072097555,-2.0049816739046946,3,Done,naphthalene_theta=0_a=3.7_b=13.2_cx=0_cy=0_cz=0.log
6.4,7.2,0,-18.06874131329824,-0.8023047930328175,-0.2346667771344073,-3.998699543240946,3,Done,naphthalene_theta=0_a=6.4_b=7.2_cx=0_cy=0_cz=0.log
6.5,7.2,0,-18.16707715031225,-0.8023047930328175,-0.207002371258568,-4.03711570543237,3,Done,naphthalene_theta=0_a=6.5_b=7.2_cx=0_cy=0_cz=0.log
6.6,7.2,0,-18.116172284353524,-0.8023047930328175,-0.181810982292518,-4.036985183425713,3,Done,naphthalene_theta=0_a=6.6_b=7.2_cx=0_cy=0_cz=0.log
3.6,12.9,0,-14.377578146057203,-0.0022929215338081,-2.889031567145139,-2.148732292174828,3,Done,naphthalene_theta=0_a=3.6_b=12.9_cx=0_cy=0_cz=0.log
3.7,12.9,0,-15.22624651575461,-0.0022929215338081,-3.2446785072097555,-2.183075914566871,3,Done,naphthalene_theta=0_a=3.7_b=12.9_cx=0_cy=0_cz=0.log
3.8,12.9,0,-15.526930482359605,-0.0022929215338081,-3.3504785757977515,-2.205346871924121,3,Done,naphthalene_theta=0_a=3.8_b=12.9_cx=0_cy=0_cz=0.log
3.8,13.0,0,-15.277012074599044,-0.0019935992313548,-3.3504785757977515,-2.1430169311352074,3,Done,naphthalene_theta=0_a=3.8_b=13.0_cx=0_cy=0_cz=0.log
3.8,13.1,0,-15.00873021420557,-0.0017193774110637,-3.3504785757977515,-2.076083576946985,3,Done,naphthalene_theta=0_a=3.8_b=13.1_cx=0_cy=0_cz=0.log
3.7,12.8,0,-15.414473159937188,-0.0026211092481389,-3.2446785072097555,-2.22996848175535,3,Done,naphthalene_theta=0_a=3.7_b=12.8_cx=0_cy=0_cz=0.log
3.8,12.8,0,-15.754406622378156,-0.0026211092481389,-3.3504785757977515,-2.2620518130715936,3,Done,naphthalene_theta=0_a=3.8_b=12.8_cx=0_cy=0_cz=0.log
3.9,12.8,0,-15.738070026854984,-0.0026211092481389,-3.303693312627729,-2.281360295775812,3,Done,naphthalene_theta=0_a=3.9_b=12.8_cx=0_cy=0_cz=0.log
3.9,12.9,0,-15.477111208019778,-0.0022935490706004,-3.303693312627729,-2.21628437115578,3,Done,naphthalene_theta=0_a=3.9_b=12.9_cx=0_cy=0_cz=0.log
3.9,13.0,0,-15.19867749104742,-0.0019935992313548,-3.303693312627729,-2.146825916832313,3,Done,naphthalene_theta=0_a=3.9_b=13.0_cx=0_cy=0_cz=0.log
3.7,12.7,0,-15.56889458571095,-0.002980672463309,-3.2446785072097555,-2.2683940565912053,3,Done,naphthalene_theta=0_a=3.7_b=12.7_cx=0_cy=0_cz=0.log
3.8,12.7,0,-15.9546136878198,-0.002980672463309,-3.3504785757977515,-2.31192379782442,3,Done,naphthalene_theta=0_a=3.8_b=12.7_cx=0_cy=0_cz=0.log
3.9,12.7,0,-15.977433715946972,-0.002980672463309,-3.303693312627729,-2.341021436441224,3,Done,naphthalene_theta=0_a=3.9_b=12.7_cx=0_cy=0_cz=0.log
3.8,12.6,0,-16.12165810505394,-0.0033753762836568,-3.3504785757977515,-2.353487550222781,3,Done,naphthalene_theta=0_a=3.8_b=12.6_cx=0_cy=0_cz=0.log
3.9,12.6,0,-16.19034158415161,-0.0033753762836568,-3.303693312627729,-2.3940510515822098,3,Done,naphthalene_theta=0_a=3.9_b=12.6_cx=0_cy=0_cz=0.log
4.0,12.6,0,-15.996471114689484,-0.0033753762836568,-3.1560201293905266,-2.41942002583528,3,Done,naphthalene_theta=0_a=4.0_b=12.6_cx=0_cy=0_cz=0.log
4.0,12.7,0,-15.744800699409096,-0.002980672463309,-3.1560201293905266,-2.356699773925357,3,Done,naphthalene_theta=0_a=4.0_b=12.7_cx=0_cy=0_cz=0.log
4.0,12.8,0,-15.47249524493236,-0.0026211092481389,-3.1560201293905266,-2.288803191913757,3,Done,naphthalene_theta=0_a=4.0_b=12.8_cx=0_cy=0_cz=0.log
3.8,12.5,0,-16.248410104890354,-0.0038083581603132,-3.3504785757977515,-2.384959059243556,3,Done,naphthalene_theta=0_a=3.8_b=12.5_cx=0_cy=0_cz=0.log
3.9,12.5,0,-16.37092641205527,-0.0038083581603132,-3.303693312627729,-2.438980767619796,3,Done,naphthalene_theta=0_a=3.9_b=12.5_cx=0_cy=0_cz=0.log
4.0,12.5,0,-16.222638269187883,-0.0038083581603132,-3.1560201293905266,-2.4757453235215507,3,Done,naphthalene_theta=0_a=4.0_b=12.5_cx=0_cy=0_cz=0.log
3.8,12.4,0,-16.326366926776245,-0.004284010734409,-3.3504785757977515,-2.404210438427981,3,Done,naphthalene_theta=0_a=3.8_b=12.4_cx=0_cy=0_cz=0.log
3.9,12.4,0,-16.51216385292355,-0.004284010734409,-3.303693312627729,-2.4740523015498184,3,Done,naphthalene_theta=0_a=3.9_b=12.4_cx=0_cy=0_cz=0.log
4.0,12.4,0,-16.41751275456045,-0.004284010734409,-3.1560201293905266,-2.524226118577644,3,Done,naphthalene_theta=0_a=4.0_b=12.4_cx=0_cy=0_cz=0.log
3.8,12.3,0,-16.345617678714916,-0.0048042165581136,-3.3504785757977515,-2.4087630235007964,3,Done,naphthalene_theta=0_a=3.8_b=12.3_cx=0_cy=0_cz=0.log
3.9,12.3,0,-16.60575445939321,-0.0048042165581136,-3.303693312627729,-2.4971898502553813,3,Done,naphthalene_theta=0_a=3.9_b=12.3_cx=0_cy=0_cz=0.log
4.0,12.3,0,-16.57423588691745,-0.0048042165581136,-3.1560201293905266,-2.5631467987550423,3,Done,naphthalene_theta=0_a=4.0_b=12.3_cx=0_cy=0_cz=0.log
3.8,12.2,0,-16.294899810454808,-0.0053752506501041,-3.3504785757977515,-2.395798039389774,3,Done,naphthalene_theta=0_a=3.8_b=12.2_cx=0_cy=0_cz=0.log
3.9,12.2,0,-16.64215003931895,-0.0053752506501041,-3.303693312627729,-2.5060032281908207,3,Done,naphthalene_theta=0_a=3.9_b=12.2_cx=0_cy=0_cz=0.log
4.0,12.2,0,-16.684785578865558,-0.0053752506501041,-3.1560201293905266,-2.590498704696074,3,Done,naphthalene_theta=0_a=4.0_b=12.2_cx=0_cy=0_cz=0.log
3.9,12.1,0,-16.610679157660343,-0.0059977405471727,-3.303693312627729,-2.497824262827635,3,Done,naphthalene_theta=0_a=3.9_b=12.1_cx=0_cy=0_cz=0.log
4.0,12.1,0,-16.740029049455188,-0.0059977405471727,-3.1560201293905266,-2.6039983273949474,3,Done,naphthalene_theta=0_a=4.0_b=12.1_cx=0_cy=0_cz=0.log
4.1,12.1,0,-16.664459274499677,-0.0059977405471727,-2.959610754332971,-2.6833105711848475,3,Done,naphthalene_theta=0_a=4.1_b=12.1_cx=0_cy=0_cz=0.log
4.1,12.2,0,-16.535869925515726,-0.0053752506501041,-2.959610754332971,-2.651474478887394,3,Done,naphthalene_theta=0_a=4.1_b=12.2_cx=0_cy=0_cz=0.log
4.1,12.3,0,-16.36286792869214,-0.0048042165581136,-2.959610754332971,-2.6085094967274927,3,Done,naphthalene_theta=0_a=4.1_b=12.3_cx=0_cy=0_cz=0.log
3.9,12.0,0,-16.499785590800457,-0.006675451411865652,-3.303693312627729,-2.469762015680317,3,Done,naphthalene_theta=0_a=3.9_b=12.0_cx=0_cy=0_cz=0.log
4.0,12.0,0,-16.729931158362888,-0.0066754514118656,-3.1560201293905266,-2.601134999189526,3,Done,naphthalene_theta=0_a=4.0_b=12.0_cx=0_cy=0_cz=0.log
4.1,12.0,0,-16.73999892862048,-0.0066754514118656,-2.959610754332971,-2.7018566292827018,3,Done,naphthalene_theta=0_a=4.1_b=12.0_cx=0_cy=0_cz=0.log
