a,b,theta,status
6.5,7.5,0,NotYet
3.5,13.2,0,NotYet
6.4,7.4,0,NotYet
6.4,7.5,0,NotYet
6.4,7.6,0,NotYet
6.5,7.4,0,NotYet
6.5,7.6,0,NotYet
6.6,7.4,0,NotYet
6.6,7.5,0,NotYet
6.6,7.6,0,NotYet
3.4,13.1,0,NotYet
3.4,13.2,0,NotYet
3.4,13.3,0,NotYet
3.5,13.1,0,NotYet
3.5,13.3,0,NotYet
3.6,13.1,0,NotYet
3.6,13.2,0,NotYet
3.6,13.3,0,NotYet
6.4,7.3,0,NotYet
6.5,7.3,0,NotYet
6.6,7.3,0,NotYet
3.5,13,0,NotYet
3.6,13,0,NotYet
3.7,13,0,NotYet
3.7,13.1,0,NotYet
3.7,13.2,0,NotYet
6.4,7.2,0,NotYet
6.5,7.2,0,NotYet
6.6,7.2,0,NotYet
3.6,12.9,0,NotYet
3.7,12.9,0,NotYet
3.8,12.9,0,NotYet
3.8,13,0,NotYet
3.8,13.1,0,NotYet
3.7,12.8,0,NotYet
3.8,12.8,0,NotYet
3.9,12.8,0,NotYet
3.9,12.9,0,NotYet
3.9,13,0,NotYet
3.8,12.7,0,NotYet
3.9,12.7,0,NotYet
4,12.7,0,NotYet
4,12.8,0,NotYet
4,12.9,0,NotYet
3.8,12.6,0,NotYet
3.9,12.6,0,NotYet
4,12.6,0,NotYet
3.9,12.5,0,NotYet
4,12.5,0,NotYet
4.1,12.5,0,NotYet
4.1,12.6,0,NotYet
4.1,12.7,0,NotYet
3.9,12.4,0,NotYet
4,12.4,0,NotYet
4.1,12.4,0,NotYet
3.9,12.3,0,NotYet
4,12.3,0,NotYet
4.1,12.3,0,NotYet
3.9,12.2,0,NotYet
4,12.2,0,NotYet
4.1,12.2,0,NotYet
4,12.1,0,NotYet
4.1,12.1,0,NotYet
4.2,12.1,0,NotYet
4.2,12.2,0,NotYet
4.2,12.3,0,NotYet
4,12,0,NotYet
4.1,12,0,NotYet
4.2,12,0,NotYet
4.1,11.9,0,NotYet
4.2,11.9,0,NotYet
4.3,11.9,0,NotYet
4.3,12,0,NotYet
4.3,12.1,0,NotYet
4.1,11.8,0,NotYet
4.2,11.8,0,NotYet
