a,b,theta,E_t,machine_type,status,file_name
3.5,11.0,25,-1.4147796534234658,3,Done,pentacene_theta=25_a=3.5_b=11.0_cx=0_cy=0_cz=0.log
3.5,11.5,25,-5.053464159718715,3,Done,pentacene_theta=25_a=3.5_b=11.5_cx=0_cy=0_cz=0.log
3.5,12.0,25,-6.136142930597998,3,Done,pentacene_theta=25_a=3.5_b=12.0_cx=0_cy=0_cz=0.log
3.5,12.5,25,-5.77149686939083,3,Done,pentacene_theta=25_a=3.5_b=12.5_cx=0_cy=0_cz=0.log
4.0,10.5,25,-2.513450516969897,3,Done,pentacene_theta=25_a=4.0_b=10.5_cx=0_cy=0_cz=0.log
4.0,11.0,25,-6.064142433227971,3,Done,pentacene_theta=25_a=4.0_b=11.0_cx=0_cy=0_cz=0.log
4.0,11.5,25,-7.165296981344,3,Done,pentacene_theta=25_a=4.0_b=11.5_cx=0_cy=0_cz=0.log
4.0,12.0,25,-6.825593187706545,3,Done,pentacene_theta=25_a=4.0_b=12.0_cx=0_cy=0_cz=0.log
4.0,12.5,25,-5.78896925796289,3,Done,pentacene_theta=25_a=4.0_b=12.5_cx=0_cy=0_cz=0.log
4.5,9.5,25,2.7635082317283377,3,Done,pentacene_theta=25_a=4.5_b=9.5_cx=0_cy=0_cz=0.log
4.5,10.0,25,-4.134698530426249,3,Done,pentacene_theta=25_a=4.5_b=10.0_cx=0_cy=0_cz=0.log
4.5,10.5,25,-7.291638589580543,3,Done,pentacene_theta=25_a=4.5_b=10.5_cx=0_cy=0_cz=0.log
4.5,11.0,25,-8.205716091324575,3,Done,pentacene_theta=25_a=4.5_b=11.0_cx=0_cy=0_cz=0.log
4.5,11.5,25,-7.8026287676766515,3,Done,pentacene_theta=25_a=4.5_b=11.5_cx=0_cy=0_cz=0.log
4.5,12.0,25,-6.720025297836401,3,Done,pentacene_theta=25_a=4.5_b=12.0_cx=0_cy=0_cz=0.log
4.5,12.5,25,-5.482200326863676,3,Done,pentacene_theta=25_a=4.5_b=12.5_cx=0_cy=0_cz=0.log
5.0,8.5,25,7.361452842247672,3,Done,pentacene_theta=25_a=5.0_b=8.5_cx=0_cy=0_cz=0.log
5.0,9.0,25,-0.9586087489733472,3,Done,pentacene_theta=25_a=5.0_b=9.0_cx=0_cy=0_cz=0.log
5.0,9.5,25,-6.081703300587833,3,Done,pentacene_theta=25_a=5.0_b=9.5_cx=0_cy=0_cz=0.log
5.0,10.0,25,-8.50721017329488,3,Done,pentacene_theta=25_a=5.0_b=10.0_cx=0_cy=0_cz=0.log
5.0,10.5,25,-9.104445325792769,3,Done,pentacene_theta=25_a=5.0_b=10.5_cx=0_cy=0_cz=0.log
5.0,11.0,25,-8.592091568512842,3,Done,pentacene_theta=25_a=5.0_b=11.0_cx=0_cy=0_cz=0.log
5.0,11.5,25,-7.492734209285118,3,Done,pentacene_theta=25_a=5.0_b=11.5_cx=0_cy=0_cz=0.log
5.0,12.0,25,-6.226445384440012,3,Done,pentacene_theta=25_a=5.0_b=12.0_cx=0_cy=0_cz=0.log
5.5,7.5,25,5.069931904436089,3,Done,pentacene_theta=25_a=5.5_b=7.5_cx=0_cy=0_cz=0.log
5.5,8.0,25,-0.7598367987666279,3,Done,pentacene_theta=25_a=5.5_b=8.0_cx=0_cy=0_cz=0.log
