a,b,theta,status
4.0,10.0,45,NotYet
4.0,10.25,45,NotYet
4.0,10.5,45,NotYet
4.0,10.75,45,NotYet
4.0,11.0,45,NotYet
4.25,9.75,45,NotYet
4.25,10.0,45,NotYet
4.25,10.25,45,NotYet
4.25,10.5,45,NotYet
4.25,10.75,45,NotYet
4.5,9.5,45,NotYet
4.5,9.75,45,NotYet
4.5,10.0,45,NotYet
4.5,10.25,45,NotYet
4.5,10.5,45,NotYet
4.75,9.25,45,NotYet
4.75,9.5,45,NotYet
4.75,9.75,45,NotYet
4.75,10.0,45,NotYet
4.75,10.25,45,NotYet
5.0,9.0,45,NotYet
5.0,9.25,45,NotYet
5.0,9.5,45,NotYet
5.0,9.75,45,NotYet
5.0,10.0,45,NotYet
5.25,8.75,45,NotYet
5.25,9.0,45,NotYet
5.25,9.25,45,NotYet
5.25,9.5,45,NotYet
5.25,9.75,45,NotYet
5.5,8.5,45,NotYet
5.5,8.75,45,NotYet
5.5,9.0,45,NotYet
5.5,9.25,45,NotYet
5.5,9.5,45,NotYet
5.75,8.25,45,NotYet
5.75,8.5,45,NotYet
5.75,8.75,45,NotYet
5.75,9.0,45,NotYet
5.75,9.25,45,NotYet
6.0,8.0,45,NotYet
6.0,8.25,45,NotYet
6.0,8.5,45,NotYet
6.0,8.75,45,NotYet
6.0,9.0,45,NotYet
6.25,7.75,45,NotYet
6.25,8.0,45,NotYet
6.25,8.25,45,NotYet
6.25,8.5,45,NotYet
6.25,8.75,45,NotYet
6.5,7.5,45,NotYet
6.5,7.75,45,NotYet
6.5,8.0,45,NotYet
6.5,8.25,45,NotYet
6.5,8.5,45,NotYet
6.75,7.25,45,NotYet
6.75,7.5,45,NotYet
6.75,7.75,45,NotYet
6.75,8.0,45,NotYet
6.75,8.25,45,NotYet
7.0,7.0,45,NotYet
7.0,7.25,45,NotYet
7.0,7.5,45,NotYet
7.0,7.75,45,NotYet
7.0,8.0,45,NotYet
7.25,6.75,45,NotYet
7.25,7.0,45,NotYet
7.25,7.25,45,NotYet
7.25,7.5,45,NotYet
7.25,7.75,45,NotYet
7.5,6.5,45,NotYet
7.5,6.75,45,NotYet
7.5,7.0,45,NotYet
7.5,7.25,45,NotYet
7.5,7.5,45,NotYet
7.75,6.25,45,NotYet
7.75,6.5,45,NotYet
7.75,6.75,45,NotYet
7.75,7.0,45,NotYet
7.75,7.25,45,NotYet
8.0,6.0,45,NotYet
8.0,6.25,45,NotYet
8.0,6.5,45,NotYet
8.0,6.75,45,NotYet
8.0,7.0,45,NotYet
8.25,5.75,45,NotYet
8.25,6.0,45,NotYet
8.25,6.25,45,NotYet
8.25,6.5,45,NotYet
8.25,6.75,45,NotYet
8.5,5.5,45,NotYet
8.5,5.75,45,NotYet
8.5,6.0,45,NotYet
8.5,6.25,45,NotYet
8.5,6.5,45,NotYet
8.75,5.25,45,NotYet
8.75,5.5,45,NotYet
8.75,5.75,45,NotYet
8.75,6.0,45,NotYet
8.75,6.25,45,NotYet
9.0,5.0,45,NotYet
9.0,5.25,45,NotYet
9.0,5.5,45,NotYet
9.0,5.75,45,NotYet
9.0,6.0,45,NotYet
9.25,4.75,45,NotYet
9.25,5.0,45,NotYet
9.25,5.25,45,NotYet
9.25,5.5,45,NotYet
9.25,5.75,45,NotYet
9.5,4.5,45,NotYet
9.5,4.75,45,NotYet
9.5,5.0,45,NotYet
9.5,5.25,45,NotYet
9.5,5.5,45,NotYet
9.75,4.25,45,NotYet
9.75,4.5,45,NotYet
9.75,4.75,45,NotYet
9.75,5.0,45,NotYet
9.75,5.25,45,NotYet
10.0,4.0,45,NotYet
10.0,4.25,45,NotYet
10.0,4.5,45,NotYet
10.0,4.75,45,NotYet
10.0,5.0,45,NotYet
10.25,4.0,45,NotYet
10.25,4.25,45,NotYet
10.25,4.5,45,NotYet
10.25,4.75,45,NotYet
10.5,4.0,45,NotYet
10.5,4.25,45,NotYet
10.5,4.5,45,NotYet
10.75,4.0,45,NotYet
10.75,4.25,45,NotYet
11.0,4.0,45,NotYet
