z  Et  Ep 
0.0     -7.979530739365146     -5.484534663963132
0.1     -7.958400595118292     -5.487884939764626
0.2     -7.895621984673198     -5.497509688255377
0.3     -7.795642698882148     -5.512213502661325
0.4     -7.666192405857146     -5.530295830802061
0.5     -7.515847912582103     -5.549614353687502
0.6     -7.353993630735204     -5.5679627461358905
0.7     -7.190634579921607     -5.583336741197854
0.8     -7.034911070950329     -5.593925344757736
0.9     -6.895596320566256     -5.598204962909222
1.0     -6.779478732903954     -5.59512890886981
1.1     -6.691491163044702     -5.584104813169688
1.2     -6.635094956844114     -5.5648603367153555
1.3     -6.611244556843303     -5.537227306282148
1.4     -6.619114159664605     -5.5013877000892535
1.5     -6.655954016780015     -5.457723044324666
1.6     -6.716799896385055     -5.406468027504161
1.7     -6.795447607233655     -5.348133442807011
1.8     -6.884479353495408     -5.283567684004083
1.9     -6.975364764512051     -5.2139768248889595
2.0     -7.0590243976330385     -5.140622160979547
2.1     -7.126492390234489     -5.065074977115728
2.2     -7.169919219857547     -4.98919521283824
2.3     -7.1828139228746295     -4.914702245849185
2.4     -7.160668467404321     -4.842982872738503
2.5     -7.101654289464932     -4.775210537947714
2.6     -7.006408939079847     -4.712064206483774
2.7     -6.8780090979416855     -4.65359784476459
2.8     -6.721658706315793     -4.599320739740506
2.9     -6.54398866253905     -4.548300411668606
3.0     -6.352446882694494     -4.499227874795906
3.1     -6.154997095989529     -4.450799162965268
3.2     -5.959259784314781     -4.401878483360633
3.3     -5.772059745970182     -4.351448014611378
3.4     -5.599182623554952     -4.298663128633052
3.5     -5.444945685623679     -4.242866821819916
3.6     -5.312377923051827     -4.1836530957371
3.7     -5.203455364739057     -4.1207125877263024
3.8     -5.1185802446561866     -4.0538394745090045
3.9     -5.056454244651832     -3.983134785317816
4.0     -5.014707886846736     -3.908778615295887
