z  Et  Ep 
0.0     -16.501078261178918     -11.527101421030238
0.1     -16.448009740328416     -11.533219643402845
0.2     -16.290065473527648     -11.551342132268474
0.3     -16.039921162300743     -11.579366728896275
0.4     -15.716295430087484     -11.614306485513225
0.5     -15.342412421712652     -11.65232731658034
0.6     -14.944364003371447     -11.689670436549932
0.7     -14.548712673131377     -11.723047693492845
0.8     -14.180088198860176     -11.749315262073651
0.9     -13.860233801649883     -11.766182730672881
1.0     -13.607027241727337     -11.772300953511149
1.1     -13.433464250643738     -11.766954568214715
1.2     -13.347966013243422     -11.749748244183138
1.3     -13.353393974713981     -11.720361950807273
1.4     -13.446830213768408     -11.678990216227248
1.5     -13.620581457740627     -11.625946796033531
1.6     -13.862480287556536     -11.561545444652438
1.7     -14.156223993748426     -11.48675252799876
1.8     -14.482077386463061     -11.403143095551059
1.9     -14.817073599784635     -11.312787930713966
2.0     -15.13623773586005     -11.21831002482213
2.1     -15.41468274849467     -11.122815553331748
2.2     -15.629636298981495     -11.029762095306069
2.3     -15.762542916811071     -10.942274651257321
2.4     -15.800086840055883     -10.862762858858332
2.5     -15.735409384476952     -10.793046497972682
2.6     -15.56992244720459     -10.734085658332333
2.7     -15.312354692723602     -10.685591685585678
2.8     -14.977904412895441     -10.645857752300799
2.9     -14.587084909784608     -10.61230479250662
3.0     -14.16283167398069     -10.581820356892422
3.1     -13.728977535152808     -10.551536724437028
3.2     -13.309016467421316     -10.519150933017954
3.3     -12.92394495580811     -10.482636126223952
3.4     -12.59137093112804     -10.440517655108124
3.5     -12.325074512395076     -10.391847979510203
3.6     -12.134167145122774     -10.33598703937605
3.7     -12.022972373175435     -10.2720751457382
3.8     -11.99140234501101     -10.199848744785413
3.9     -12.034462081152014     -10.119508639443666
4.0     -12.143385266885161     -10.031525462632999
