z  Et  Ep 
0.0     -5.2794568660028744     -3.520475427270867
0.1     -5.263821826694766     -3.5225261299638078
0.2     -5.217945825686911     -3.528406526253093
0.3     -5.145006573322462     -3.5373196782311425
0.4     -5.0499419458792545     -3.548051981779281
0.5     -4.938752193964319     -3.5591727139544673
0.6     -4.818031192640774     -3.5691532605560496
0.7     -4.694666491704993     -3.576461242046207
0.8     -4.575260751327733     -3.579855443618726
0.9     -4.465607143967645     -3.57829482620582
1.0     -4.370627857861109     -3.5709887272678316
1.1     -4.294177687057527     -3.5575073024374433
1.2     -4.238716470688814     -3.5377250496530905
1.3     -4.20515158836497     -3.5115792180295102
1.4     -4.192958441475639     -3.479245510243345
1.5     -4.2002808556717355     -3.440957987564616
1.6     -4.224071014788933     -3.3968779201386496
1.7     -4.260152212285902     -3.347362988628447
1.8     -4.303420281794388     -3.292959754122421
1.9     -4.3481962578662205     -3.2342543111299165
2.0     -4.388624844606966     -3.1722613431629725
2.1     -4.419001348753227     -3.1078687769477256
2.2     -4.434142537502339     -3.042169107531663
2.3     -4.429913747648243     -2.9763094229856506
2.4     -4.4035658577340655     -2.911294366873335
2.5     -4.3538356902136     -2.8479083267739043
2.6     -4.28103825513972     -2.7866633507655933
2.7     -4.186982663784875     -2.727822993125301
2.8     -4.074671551468782     -2.671343328023795
2.9     -3.947927081724629     -2.6169175031827763
3.0     -3.810967376601184     -2.5639895447238814
3.1     -3.668124765274115     -2.511901194578968
3.2     -3.523696436168393     -2.4600927140563726
3.3     -3.381635702244239     -2.4080878228414804
3.4     -3.2452074981410988     -2.3554667167481966
3.5     -3.116994027426699     -2.301969606662169
3.6     -2.999032187537523     -2.2474151422502473
3.7     -2.8927495638199616     -2.191630758345127
3.8     -2.798829514620593     -2.134588844317477
3.9     -2.7171910911856685     -2.0764738881844096
4.0     -2.647191095602466     -2.017543796566315
