z  Et  Ep 
0.0     -13.595175460213795     -9.49402926187031
0.1     -13.560375638189726     -9.499396982602775
0.2     -13.456772482139058     -9.515369622036815
0.3     -13.292415690608323     -9.540127401473
0.4     -13.079202852677554     -9.57082644593902
0.5     -12.831940067233518     -9.60394642339088
0.6     -12.567620932706632     -9.636266953544691
0.7     -12.30334886116907     -9.665174456778914
0.8     -12.055088334949687     -9.688155755633488
0.9     -11.837376250536181     -9.70266127656214
1.0     -11.662016070913523     -9.706928344676271
1.1     -11.5375124393031     -9.700310624204576
1.2     -11.469440781977028     -9.682519460795447
1.3     -11.459565029712394     -9.653336480492726
1.4     -11.506106818676926     -9.613135679857805
1.5     -11.604487836710177     -9.562342510558665
1.6     -11.746619479148649     -9.501420074608177
1.7     -11.921509026316926     -9.430771861341782
1.8     -12.115776709630154     -9.35171626880765
1.9     -12.313791255117394     -9.266363613773137
2.0     -12.499543627840467     -9.17712918180041
2.1     -12.657491659629159     -9.086479087127373
2.2     -12.773308043018915     -8.997264735167846
2.3     -12.835097697447054     -8.912479349412024
2.4     -12.834457010030746     -8.834697602083907
2.5     -12.767874434008263     -8.765232872916386
2.6     -12.636376575799659     -8.70453759538941
2.7     -12.445759745547548     -8.652554667089134
2.8     -12.205865182797424     -8.608381728176028
2.9     -11.928931214497425     -8.570020786952227
3.0     -11.629230555845425     -8.534871441777796
3.1     -11.32210833649151     -8.500294385710731
3.2     -11.022376302396879     -8.464008620008826
3.3     -10.743585532181896     -8.424206288298592
3.4     -10.497229498811066     -8.37947737541981
3.5     -10.292103382525966     -8.328983528073877
3.6     -10.134008513297886     -8.272303687641397
3.7     -10.02595568378456     -8.208827285794541
3.8     -9.967706440482289     -8.138134519336745
3.9     -9.956399337737821     -8.060177696868777
4.0     -9.986974134924822     -7.975364700425416
