z  Et  Ep 
0.0     -10.750311184499878     -7.479153637774289
0.1     -10.723059680196457     -7.4837030853377655
0.2     -10.64109746151371     -7.4967866686638445
0.3     -10.51113323791651     -7.516874519060366
0.4     -10.342513770796359     -7.541765330708586
0.5     -10.147232031391468     -7.568706844816916
0.6     -9.938542285584845     -7.594881542143412
0.7     -9.729371239780448     -7.617765576811507
0.8     -9.532245875918306     -7.635078577673994
0.9     -9.357675731531344     -7.644887813949026
1.0     -9.214839395135641     -7.645929480553605
1.1     -9.111053633794654     -7.637520846561529
1.2     -9.05035772890551     -7.619279130944051
1.3     -9.034159185888711     -7.59090940374881
1.4     -9.060820830869488     -7.5526036833180115
1.5     -9.126640982169192     -7.504876527818851
1.6     -9.225889218738303     -7.4480416919104755
1.7     -9.349902765068691     -7.382744256290607
1.8     -9.488483328430448     -7.310116249136627
1.9     -9.629477295267861     -7.231816806248389
2.0     -9.76060994254658     -7.1495853858068585
2.1     -9.870043921575416     -7.065561796771362
2.2     -9.946782747050747     -6.982241018908098
2.3     -9.981845495698508     -6.9019310341682285
2.4     -9.96899848349858     -6.82647923193872
2.5     -9.905540907289833     -6.757357750320807
2.6     -9.79227848968003     -6.695276931044646
2.7     -9.633466376457363     -6.640088681480847
2.8     -9.436361092841253     -6.590896917507052
2.9     -9.210610605310649     -6.546220715623349
3.0     -8.967269757413305     -6.504129854845814
3.1     -8.717677027336322     -6.462717959890142
3.2     -8.47281572286738     -6.420373585191555
3.3     -8.242596736527048     -6.375591961317696
3.4     -8.035341478709597     -6.327163249719888
3.5     -7.857642569462769     -6.274246586486697
3.6     -7.7137507612933405     -6.2163274134509265
3.7     -7.606055612501223     -6.152961453539319
3.8     -7.534828207397368     -6.083813616656698
3.9     -7.497894851432648     -6.009010659530759
4.0     -7.491365609806962     -5.928818646701984
