a,b,theta,A1,A2,E,E_p1,E_p2,E_t,machine_type,status,file_name
6.0,8.0,65,0,26,-39.10042420425452,-0.4056827049935236,-5.484700954286382,-6.829914221423678,2,Done,anthracene_A1=0_A2=26_theta=65_a=6_b=8.0_cx=0_cy=0_cz=0.log
6.0,8.2,65,0,28,-39.80631020339206,-0.3795080077834427,-5.484787550522015,-7.019429771695286,2,Done,anthracene_A1=0_A2=28_theta=65_a=6_b=8.2_cx=0_cy=0_cz=0.log
6.0,8.3,65,0,30,-40.170828251866624,-0.3843097143108025,-5.484793825773522,-7.1081552929244936,2,Done,anthracene_A1=0_A2=30_theta=65_a=6_b=8.3_cx=0_cy=0_cz=0.log
6.0,8.5,65,0,32,-40.41594620817341,-0.3649547959212214,-5.4847599401837215,-7.179129183990881,1,Done,anthracene_A1=0_A2=32_theta=65_a=6_b=8.5_cx=0_cy=0_cz=0.log
6.0,8.7,65,0,34,-40.22873738524504,-0.3493599174544215,-5.48471475939732,-7.140147007885389,1,Done,anthracene_A1=0_A2=34_theta=65_a=6_b=8.7_cx=0_cy=0_cz=0.log
5.9,7.9,65,0,26,-37.984031203668565,-0.4369113675784319,-5.546982576837763,-6.504060828709044,2,Done,anthracene_A1=0_A2=26_theta=65_a=5.9_b=7.9_cx=0_cy=0_cz=0.log
5.9,8.1,65,0,28,-39.24938503862359,-0.4080484177684411,-5.547109333681874,-6.834767383930739,1,Done,anthracene_A1=0_A2=28_theta=65_a=5.9_b=8.1_cx=0_cy=0_cz=0.log
5.9,8.2,65,0,30,-39.65888049430214,-0.4127936483127996,-5.547234835801646,-6.934705881518312,2,Done,anthracene_A1=0_A2=30_theta=65_a=5.9_b=8.2_cx=0_cy=0_cz=0.log
5.9,8.4,65,0,32,-40.29943768121302,-0.3913541415240615,-5.547340257326141,-7.105512220878154,1,Done,anthracene_A1=0_A2=32_theta=65_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.6,65,0,34,-40.34892312041484,-0.3740122752496972,-5.547354062669911,-7.126547611143906,2,Done,anthracene_A1=0_A2=34_theta=65_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
5.9,8.0,65,0,26,-38.82512050773949,-0.4056827049935236,-5.546982576837763,-6.729947486019228,2,Done,anthracene_A1=0_A2=26_theta=65_a=5.9_b=8.0_cx=0_cy=0_cz=0.log
5.9,8.2,65,0,28,-39.69623992894776,-0.3795080077834427,-5.547109333681874,-6.960751311504282,1,Done,anthracene_A1=0_A2=28_theta=65_a=5.9_b=8.2_cx=0_cy=0_cz=0.log
5.9,8.5,65,0,32,-40.41703807609156,-0.3649547959212214,-5.547340257326141,-7.148111992399208,1,Done,anthracene_A1=0_A2=32_theta=65_a=5.9_b=8.5_cx=0_cy=0_cz=0.log
5.9,8.3,65,0,30,-40.06646831915714,-0.3843097143108025,-5.547234835801646,-7.05084480473306,2,Done,anthracene_A1=0_A2=30_theta=65_a=5.9_b=8.3_cx=0_cy=0_cz=0.log
5.9,8.7,65,0,34,-40.28011790383607,-0.3493599174544215,-5.547354062669911,-7.121672485896852,2,Done,anthracene_A1=0_A2=34_theta=65_a=5.9_b=8.7_cx=0_cy=0_cz=0.log
5.9,8.1,65,0,26,-39.31899848743342,-0.376907606376335,-5.546982576837763,-6.8678045302513056,2,Done,anthracene_A1=0_A2=26_theta=65_a=5.9_b=8.1_cx=0_cy=0_cz=0.log
5.9,8.6,65,0,32,-40.30970123503357,-0.3405019862111658,-5.547340257326141,-7.13350418698974,1,Done,anthracene_A1=0_A2=32_theta=65_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
5.9,8.3,65,0,28,-39.85705317207612,-0.3531350175617262,-5.547109333681874,-7.01414111739723,1,Done,anthracene_A1=0_A2=28_theta=65_a=5.9_b=8.3_cx=0_cy=0_cz=0.log
5.9,8.4,65,0,30,-40.19391811033711,-0.3580107702873647,-5.547234835801646,-7.095856724539772,2,Done,anthracene_A1=0_A2=30_theta=65_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.8,65,0,34,-40.03298438573256,-0.3264294469263404,-5.547354062669911,-7.071354341635015,2,Done,anthracene_A1=0_A2=34_theta=65_a=5.9_b=8.8_cx=0_cy=0_cz=0.log
6.0,8.4,65,0,32,-40.4216163889505,-0.3913541415240615,-5.4847599401837215,-7.167347056383733,1,Done,anthracene_A1=0_A2=32_theta=65_a=6_b=8.4_cx=0_cy=0_cz=0.log
6.0,8.1,65,0,28,-39.50612950045616,-0.4080484177684411,-5.484787550522015,-6.930114390968811,1,Done,anthracene_A1=0_A2=28_theta=65_a=6_b=8.1_cx=0_cy=0_cz=0.log
6.0,7.9,65,0,26,-38.43282133550383,-0.4369113675784319,-5.484700954286382,-6.647399172943551,2,Done,anthracene_A1=0_A2=26_theta=65_a=6_b=7.9_cx=0_cy=0_cz=0.log
6.0,8.2,65,0,30,-39.90918670268729,-0.4127936483127996,-5.484793825773522,-7.028502938628662,2,Done,anthracene_A1=0_A2=30_theta=65_a=6_b=8.2_cx=0_cy=0_cz=0.log
6.0,8.6,65,0,32,-40.20655114180408,-0.3405019862111658,-5.4847599401837215,-7.139006822253577,1,Done,anthracene_A1=0_A2=32_theta=65_a=6_b=8.6_cx=0_cy=0_cz=0.log
6.0,8.3,65,0,28,-39.84365708823316,-0.3531350175617262,-5.484787550522015,-7.041952988016419,1,Done,anthracene_A1=0_A2=28_theta=65_a=6_b=8.3_cx=0_cy=0_cz=0.log
6.0,8.6,65,0,34,-40.40279108891264,-0.3740122752496972,-5.48471475939732,-7.17133425490465,2,Done,anthracene_A1=0_A2=34_theta=65_a=6_b=8.6_cx=0_cy=0_cz=0.log
6.0,8.1,65,0,26,-39.446172174299136,-0.376907606376335,-5.484700954286382,-6.930738763243426,2,Done,anthracene_A1=0_A2=26_theta=65_a=6_b=8.1_cx=0_cy=0_cz=0.log
6.0,8.4,65,0,30,-40.175522027071565,-0.3580107702873647,-5.484793825773522,-7.122478208737448,2,Done,anthracene_A1=0_A2=30_theta=65_a=6_b=8.4_cx=0_cy=0_cz=0.log
6.1,8.4,65,0,32,-40.15525847370736,-0.3913541415240615,-5.284160053357482,-7.201057520986069,1,Done,anthracene_A1=0_A2=32_theta=65_a=6.1_b=8.4_cx=0_cy=0_cz=0.log
6.1,8.1,65,0,28,-39.375682721380144,-0.4080484177684411,-5.284364621737041,-6.997714160592295,1,Done,anthracene_A1=0_A2=28_theta=65_a=6.1_b=8.1_cx=0_cy=0_cz=0.log
6.0,8.8,65,0,34,-39.89499995671213,-0.3264294469263404,-5.48471475939732,-7.068177886016201,2,Done,anthracene_A1=0_A2=34_theta=65_a=6_b=8.8_cx=0_cy=0_cz=0.log
6.1,7.9,65,0,26,-38.48546189418994,-0.4369113675784319,-5.284368386724964,-6.760725596395787,2,Done,anthracene_A1=0_A2=26_theta=65_a=6.1_b=7.9_cx=0_cy=0_cz=0.log
6.1,8.5,65,0,32,-40.04114201548509,-0.3649547959212214,-5.284160053357482,-7.185728079231922,1,Done,anthracene_A1=0_A2=32_theta=65_a=6.1_b=8.5_cx=0_cy=0_cz=0.log
6.1,8.2,65,0,30,-39.7648995637428,-0.4127936483127996,-5.284266730188392,-7.0926947016851045,2,Done,anthracene_A1=0_A2=30_theta=65_a=6.1_b=8.2_cx=0_cy=0_cz=0.log
6.1,8.2,65,0,28,-39.54316765000112,-0.3795080077834427,-5.284364621737041,-7.053855597740039,1,Done,anthracene_A1=0_A2=28_theta=65_a=6.1_b=8.2_cx=0_cy=0_cz=0.log
6.1,8.6,65,0,34,-40.072424644371495,-0.3740122752496972,-5.284157543443143,-7.189021251746453,2,Done,anthracene_A1=0_A2=34_theta=65_a=6.1_b=8.6_cx=0_cy=0_cz=0.log
6.1,8.0,65,0,26,-38.99393826723099,-0.4056827049935236,-5.284368386724964,-6.903459020948503,2,Done,anthracene_A1=0_A2=26_theta=65_a=6.1_b=8.0_cx=0_cy=0_cz=0.log
6.1,8.6,65,0,32,-39.74344374169596,-0.3405019862111658,-5.284160053357482,-7.123529915639665,1,Done,anthracene_A1=0_A2=32_theta=65_a=6.1_b=8.6_cx=0_cy=0_cz=0.log
6.1,8.3,65,0,28,-39.47010038560256,-0.3531350175617262,-5.284364621737041,-7.0487752767512575,1,Done,anthracene_A1=0_A2=28_theta=65_a=6.1_b=8.3_cx=0_cy=0_cz=0.log
6.1,8.3,65,0,30,-39.8953789731022,-0.3843097143108025,-5.284266730188392,-7.139556521025952,2,Done,anthracene_A1=0_A2=30_theta=65_a=6.1_b=8.3_cx=0_cy=0_cz=0.log
6.1,8.7,65,0,34,-39.8075300832279,-0.3493599174544215,-5.284157543443143,-7.135123790358193,2,Done,anthracene_A1=0_A2=34_theta=65_a=6.1_b=8.7_cx=0_cy=0_cz=0.log
5.9,8.3,65,0,32,-39.907653068425134,-0.4199698526645079,-5.547340257326141,-6.993258212110959,1,Done,anthracene_A1=0_A2=32_theta=65_a=5.9_b=8.3_cx=0_cy=0_cz=0.log
5.8,8.2,65,0,28,-39.05883535183966,-0.3795080077834427,-5.398974302923307,-6.875467682606541,1,Done,anthracene_A1=0_A2=28_theta=65_a=5.8_b=8.2_cx=0_cy=0_cz=0.log
6.1,8.1,65,0,26,-39.20483935787343,-0.376907606376335,-5.284368386724964,-6.970571842917707,2,Done,anthracene_A1=0_A2=26_theta=65_a=6.1_b=8.1_cx=0_cy=0_cz=0.log
6.1,8.4,65,0,30,-39.79132526507601,-0.3580107702873647,-5.284266730188392,-7.126692566031124,2,Done,anthracene_A1=0_A2=30_theta=65_a=6.1_b=8.4_cx=0_cy=0_cz=0.log
6.1,8.8,65,0,34,-39.40026605292224,-0.3264294469263404,-5.284157543443143,-7.044773018045817,2,Done,anthracene_A1=0_A2=34_theta=65_a=6.1_b=8.8_cx=0_cy=0_cz=0.log
6.0,8.3,65,0,32,-40.1760290551465,-0.4199698526645079,-5.4847599401837215,-7.09164236736251,1,Done,anthracene_A1=0_A2=32_theta=65_a=6_b=8.3_cx=0_cy=0_cz=0.log
5.8,8.3,65,0,28,-39.35678713954985,-0.3531350175617262,-5.398974302923307,-6.963142124644946,1,Done,anthracene_A1=0_A2=28_theta=65_a=5.8_b=8.3_cx=0_cy=0_cz=0.log
5.9,8.2,65,0,26,-39.52075801324099,-0.3502698069205507,-5.546982576837763,-6.931563311431091,2,Done,anthracene_A1=0_A2=26_theta=65_a=5.9_b=8.2_cx=0_cy=0_cz=0.log
5.8,8.3,65,0,30,-39.42663402296603,-0.3843097143108025,-5.399089765036479,-6.964958766067866,2,Done,anthracene_A1=0_A2=30_theta=65_a=5.8_b=8.3_cx=0_cy=0_cz=0.log
6.1,8.3,65,0,32,-40.04031621245667,-0.4199698526645079,-5.284160053357482,-7.158014100103173,1,Done,anthracene_A1=0_A2=32_theta=65_a=6.1_b=8.3_cx=0_cy=0_cz=0.log
5.8,8.4,65,0,28,-39.39626002800651,-0.3286370270652696,-5.398974302923307,-6.985259342007339,1,Done,anthracene_A1=0_A2=28_theta=65_a=5.8_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.5,65,0,34,-40.19709833129309,-0.4007429464254528,-5.547354062669911,-7.075226078275591,2,Done,anthracene_A1=0_A2=34_theta=65_a=5.9_b=8.5_cx=0_cy=0_cz=0.log
6.0,8.2,65,0,26,-39.52291664713994,-0.3502698069205507,-5.484700954286382,-6.963243781181518,2,Done,anthracene_A1=0_A2=26_theta=65_a=6_b=8.2_cx=0_cy=0_cz=0.log
5.8,8.4,65,0,30,-39.69146834383719,-0.3580107702873647,-5.399089765036479,-7.044316818297375,2,Done,anthracene_A1=0_A2=30_theta=65_a=5.8_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.8,65,0,36,-39.7783157271333,-0.3602823563851416,-5.547223540605046,-6.990825983288232,1,Done,anthracene_A1=0_A2=36_theta=65_a=5.9_b=8.8_cx=0_cy=0_cz=0.log
6.0,8.9,65,0,36,-39.59656875114888,-0.3370029905345291,-5.484665813622996,-6.988307785708457,1,Done,anthracene_A1=0_A2=36_theta=65_a=6_b=8.9_cx=0_cy=0_cz=0.log
5.9,8.4,65,0,28,-39.78156120842323,-0.3286370270652696,-5.547109333681874,-7.007517121732235,2,Done,anthracene_A1=0_A2=28_theta=65_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
6.1,8.2,65,0,26,-39.16886295494624,-0.3502698069205507,-5.284368386724964,-6.974896641913801,2,Done,anthracene_A1=0_A2=26_theta=65_a=6.1_b=8.2_cx=0_cy=0_cz=0.log
6.0,8.5,65,0,34,-40.37687994679436,-0.4007429464254528,-5.48471475939732,-7.151491133787204,1,Done,anthracene_A1=0_A2=34_theta=65_a=6_b=8.5_cx=0_cy=0_cz=0.log
5.9,8.9,65,0,36,-39.63836844707839,-0.3370029905345291,-5.547223540605046,-6.9674788461998105,1,Done,anthracene_A1=0_A2=36_theta=65_a=5.9_b=8.9_cx=0_cy=0_cz=0.log
5.8,8.5,65,0,30,-39.70366462785751,-0.3336144365603104,-5.399089765036479,-7.059564056165982,2,Done,anthracene_A1=0_A2=30_theta=65_a=5.8_b=8.5_cx=0_cy=0_cz=0.log
6.0,8.4,65,0,28,-39.66580318356864,-0.3286370270652696,-5.484787550522015,-7.009738507098518,2,Done,anthracene_A1=0_A2=28_theta=65_a=6.0_b=8.4_cx=0_cy=0_cz=0.log
6.1,8.5,65,0,34,-40.156960282241926,-0.4007429464254528,-5.284157543443143,-7.196789825626183,1,Done,anthracene_A1=0_A2=34_theta=65_a=6.1_b=8.5_cx=0_cy=0_cz=0.log
5.9,9.0,65,0,36,-39.354605914792046,-0.3153727207100019,-5.547223540605046,-6.907353348040488,1,Done,anthracene_A1=0_A2=36_theta=65_a=5.9_b=9.0_cx=0_cy=0_cz=0.log
5.9,8.3,65,0,26,-39.47924446221441,-0.325553443050012,-5.546982576837763,-6.933543105609715,2,Done,anthracene_A1=0_A2=26_theta=65_a=5.9_b=8.3_cx=0_cy=0_cz=0.log
5.9,8.5,65,0,30,-40.09120978415013,-0.3336144365603104,-5.547234835801646,-7.082377809856553,2,Done,anthracene_A1=0_A2=30_theta=65_a=5.9_b=8.5_cx=0_cy=0_cz=0.log
5.9,9.0,65,0,38,-38.572035684483126,-0.3497301484458148,-5.547031522495672,-6.694628085650038,2,Done,anthracene_A1=0_A2=38_theta=65_a=5.9_b=9.0_cx=0_cy=0_cz=0.log
6.0,9.1,65,0,38,-38.50664161215536,-0.3275941055035218,-5.484596787486225,-6.720564956543967,1,Done,anthracene_A1=0_A2=38_theta=65_a=6_b=9.1_cx=0_cy=0_cz=0.log
6.0,8.8,65,0,36,-39.83054714952596,-0.3602823563851416,-5.484665813622996,-7.03516270237742,1,Done,anthracene_A1=0_A2=36_theta=65_a=6_b=8.8_cx=0_cy=0_cz=0.log
6.0,9.4,65,0,40,-36.8167320813518,-0.30122237035539,-5.484559136908501,-6.311292266706005,2,Done,anthracene_A1=0_A2=40_theta=65_a=6_b=9.4_cx=0_cy=0_cz=0.log
6.0,8.3,65,0,26,-39.37724396609701,-0.325553443050012,-5.484700954286382,-6.939183792856056,2,Done,anthracene_A1=0_A2=26_theta=65_a=6_b=8.3_cx=0_cy=0_cz=0.log
6.0,8.5,65,0,30,-39.97152354707941,-0.3336144365603104,-5.484793825773522,-7.083676755602937,1,Done,anthracene_A1=0_A2=30_theta=65_a=6.0_b=8.5_cx=0_cy=0_cz=0.log
6.0,9.0,65,0,36,-39.23454317147844,-0.3153727207100019,-5.484665813622996,-6.90861652570311,1,Done,anthracene_A1=0_A2=36_theta=65_a=6_b=9.0_cx=0_cy=0_cz=0.log
5.9,9.1,65,0,38,-38.48038910329342,-0.3275941055035218,-5.547031522495672,-6.682784461823758,2,Done,anthracene_A1=0_A2=38_theta=65_a=5.9_b=9.1_cx=0_cy=0_cz=0.log
5.9,9.3,65,0,40,-36.80662917019799,-0.3208847686182707,-5.5469474360579625,-6.267741190211382,2,Done,anthracene_A1=0_A2=40_theta=65_a=5.9_b=9.3_cx=0_cy=0_cz=0.log
6.1,8.3,65,0,26,-38.930431745480746,-0.325553443050012,-5.284368386724964,-6.927647021482699,2,Done,anthracene_A1=0_A2=26_theta=65_a=6.1_b=8.3_cx=0_cy=0_cz=0.log
6.1,8.8,65,0,36,-39.50034134695306,-0.3602823563851416,-5.2842554348753765,-7.052816441108007,1,Done,anthracene_A1=0_A2=36_theta=65_a=6.1_b=8.8_cx=0_cy=0_cz=0.log
5.9,9.6,65,0,42,-34.842806505039334,-0.2977497299434617,-5.547046582796611,-5.788303469889797,1,Done,anthracene_A1=0_A2=42_theta=65_a=5.9_b=9.6_cx=0_cy=0_cz=0.log
6.0,9.7,65,0,42,-35.04900127113797,-0.2800953636178747,-5.484581727301702,-5.879911772324704,2,Done,anthracene_A1=0_A2=42_theta=65_a=6_b=9.7_cx=0_cy=0_cz=0.log
5.9,9.2,65,0,38,-38.26410648692399,-0.3070418980205431,-5.547031522495672,-6.6389899114728905,2,Done,anthracene_A1=0_A2=38_theta=65_a=5.9_b=9.2_cx=0_cy=0_cz=0.log
6.1,8.9,65,0,36,-39.18589357682504,-0.3370029905345291,-5.2842554348753765,-6.985844181501307,1,Done,anthracene_A1=0_A2=36_theta=65_a=6.1_b=8.9_cx=0_cy=0_cz=0.log
5.9,9.4,65,0,40,-36.7560167235788,-0.30122237035539,-5.5469474360579625,-6.264919277688023,1,Done,anthracene_A1=0_A2=40_theta=65_a=5.9_b=9.4_cx=0_cy=0_cz=0.log
5.9,9.7,65,0,42,-34.92824324709363,-0.2800953636178747,-5.547046582796611,-5.818489838566165,2,Done,anthracene_A1=0_A2=42_theta=65_a=5.9_b=9.7_cx=0_cy=0_cz=0.log
6.0,9.0,65,0,38,-38.68905123881996,-0.3497301484458148,-5.484596787486225,-6.755099341738969,2,Done,anthracene_A1=0_A2=38_theta=65_a=6_b=9.0_cx=0_cy=0_cz=0.log
6.1,9.0,65,0,36,-38.75784390512854,-0.3153727207100019,-5.2842554348753765,-6.889646898489445,2,Done,anthracene_A1=0_A2=36_theta=65_a=6.1_b=9.0_cx=0_cy=0_cz=0.log
5.9,9.5,65,0,40,-36.60092888236977,-0.2829668495105579,-5.5469474360579625,-6.235275077808183,1,Done,anthracene_A1=0_A2=40_theta=65_a=5.9_b=9.5_cx=0_cy=0_cz=0.log
5.9,9.8,65,0,42,-34.90634816791862,-0.2636859770864248,-5.547046582796611,-5.821220762038138,2,Done,anthracene_A1=0_A2=42_theta=65_a=5.9_b=9.8_cx=0_cy=0_cz=0.log
6.0,9.2,65,0,38,-38.2126581966877,-0.3070418980205431,-5.484596787486225,-6.65734520641854,2,Done,anthracene_A1=0_A2=38_theta=65_a=6_b=9.2_cx=0_cy=0_cz=0.log
6.0,9.3,65,0,40,-36.95161661086604,-0.3208847686182707,-5.484559136908501,-6.335182199953124,1,Done,anthracene_A1=0_A2=40_theta=65_a=6_b=9.3_cx=0_cy=0_cz=0.log
5.9,8.7,65,0,36,-39.73937245737761,-0.3854806481394917,-5.547223540605046,-6.968491019972134,2,Done,anthracene_A1=0_A2=36_theta=65_a=5.9_b=8.7_cx=0_cy=0_cz=0.log
6.0,9.6,65,0,42,-35.05022617033683,-0.2977497299434617,-5.484581727301702,-5.871390813961625,2,Done,anthracene_A1=0_A2=42_theta=65_a=6_b=9.6_cx=0_cy=0_cz=0.log
6.1,9.0,65,0,38,-38.422783685615286,-0.3497301484458148,-5.284331991104409,-6.78866485162871,2,Done,anthracene_A1=0_A2=38_theta=65_a=6.1_b=9.0_cx=0_cy=0_cz=0.log
6.0,9.5,65,0,40,-36.587615630822256,-0.2829668495105579,-5.484559136908501,-6.263140914496034,1,Done,anthracene_A1=0_A2=40_theta=65_a=6_b=9.5_cx=0_cy=0_cz=0.log
6.0,8.7,65,0,36,-39.90343620139174,-0.3854806481394917,-5.484665813622996,-7.040785819466692,2,Done,anthracene_A1=0_A2=36_theta=65_a=6_b=8.7_cx=0_cy=0_cz=0.log
6.0,9.8,65,0,42,-34.94972416898236,-0.2636859770864248,-5.484581727301702,-5.863297190051526,2,Done,anthracene_A1=0_A2=42_theta=65_a=6_b=9.8_cx=0_cy=0_cz=0.log
6.1,9.3,65,0,40,-36.72250517946668,-0.3208847686182707,-5.284290575422347,-6.378038622846361,1,Done,anthracene_A1=0_A2=40_theta=65_a=6.1_b=9.3_cx=0_cy=0_cz=0.log
6.1,9.1,65,0,38,-38.16226914385334,-0.3275941055035218,-5.284331991104409,-6.734604237659369,2,Done,anthracene_A1=0_A2=38_theta=65_a=6.1_b=9.1_cx=0_cy=0_cz=0.log
6.1,8.7,65,0,36,-39.67025097552687,-0.3854806481394917,-5.2842554348753765,-7.082694702374283,2,Done,anthracene_A1=0_A2=36_theta=65_a=6.1_b=8.7_cx=0_cy=0_cz=0.log
6.1,9.6,65,0,42,-34.889967646449804,-0.2977497299434617,-5.284156288253143,-5.9315389025141485,2,Done,anthracene_A1=0_A2=42_theta=65_a=6.1_b=9.6_cx=0_cy=0_cz=0.log
6.1,9.4,65,0,40,-36.51426975172944,-0.30122237035539,-5.284290575422347,-6.335810965043493,1,Done,anthracene_A1=0_A2=40_theta=65_a=6.1_b=9.4_cx=0_cy=0_cz=0.log
6.1,9.2,65,0,38,-37.80200059246272,-0.3070418980205431,-5.284331991104409,-6.654813203553204,2,Done,anthracene_A1=0_A2=38_theta=65_a=6.1_b=9.2_cx=0_cy=0_cz=0.log
5.9,8.6,65,0,36,-39.48069526464678,-0.4129643309861421,-5.547223540605046,-6.890079880366102,2,Done,anthracene_A1=0_A2=36_theta=65_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
6.1,9.5,65,0,40,-36.221099589718506,-0.2829668495105579,-5.284290575422347,-6.271646184963174,1,Done,anthracene_A1=0_A2=40_theta=65_a=6.1_b=9.5_cx=0_cy=0_cz=0.log
6.1,9.7,65,0,42,-34.81181002128869,-0.2800953636178747,-5.284156288253143,-5.920826679386664,2,Done,anthracene_A1=0_A2=42_theta=65_a=6.1_b=9.7_cx=0_cy=0_cz=0.log
5.9,8.9,65,0,38,-38.51156631088816,-0.3737800966482609,-5.547031522495672,-6.6674857681500725,2,Done,anthracene_A1=0_A2=38_theta=65_a=5.9_b=8.9_cx=0_cy=0_cz=0.log
6.0,8.6,65,0,36,-39.77613199246116,-0.4129643309861421,-5.484665813622996,-6.995217925810721,2,Done,anthracene_A1=0_A2=36_theta=65_a=6_b=8.6_cx=0_cy=0_cz=0.log
5.9,9.2,65,0,40,-36.73495246749371,-0.3421473173657432,-5.5469474360579625,-6.239190740161575,1,Done,anthracene_A1=0_A2=40_theta=65_a=5.9_b=9.2_cx=0_cy=0_cz=0.log
6.1,9.8,65,0,42,-34.64407408796251,-0.2636859770864248,-5.284156288253143,-5.887097389320843,2,Done,anthracene_A1=0_A2=42_theta=65_a=6.1_b=9.8_cx=0_cy=0_cz=0.log
6.0,8.9,65,0,38,-38.73413155740127,-0.3737800966482609,-5.484596787486225,-6.754344447283074,2,Done,anthracene_A1=0_A2=38_theta=65_a=6_b=8.9_cx=0_cy=0_cz=0.log
6.0,9.2,65,0,40,-36.97552223154344,-0.3421473173657432,-5.484559136908501,-6.330527330748737,1,Done,anthracene_A1=0_A2=40_theta=65_a=6_b=9.2_cx=0_cy=0_cz=0.log
