a,b,theta,A1,A2,E,E_p1,E_p2,E_t,machine_type,status,file_name
6.0,7.9,65,0,26,-82.2628837917,-1.0868849707767367,-11.527101421030238,-14.258727752021514,2,Done,hexacene_A1=0_A2=26_theta=65_a=6_b=7.9_cx=0_cy=0_cz=0.log
6.0,8.0,65,0,28,-83.70591833814979,-1.1044364252593368,-11.527101421030238,-14.61071066139266,2,Done,hexacene_A1=0_A2=28_theta=65_a=6_b=8.0_cx=0_cy=0_cz=0.log
6.0,8.2,65,0,30,-86.30642018001527,-1.0563691593706608,-11.527101421030238,-15.284869754803369,2,Done,hexacene_A1=0_A2=30_theta=65_a=6_b=8.2_cx=0_cy=0_cz=0.log
6.0,8.4,65,0,32,-87.85969568276778,-1.0204442117828876,-11.527101421030238,-15.691151104285382,1,Done,hexacene_A1=0_A2=32_theta=65_a=6_b=8.4_cx=0_cy=0_cz=0.log
6.0,8.6,65,0,34,-88.2689326046966,-0.9955697155091912,-11.527101421030238,-15.805897582904436,1,Done,hexacene_A1=0_A2=34_theta=65_a=6_b=8.6_cx=0_cy=0_cz=0.log
6.0,8.8,65,0,36,-87.43869922310114,-0.98118091118522,-11.527101421030238,-15.605533639667556,1,Done,hexacene_A1=0_A2=36_theta=65_a=6_b=8.8_cx=0_cy=0_cz=0.log
5.9,7.8,65,0,26,-79.00880518462509,-1.1665787405800074,-11.691640818025917,-13.32309151685331,2,Done,hexacene_A1=0_A2=26_theta=65_a=5.9_b=7.8_cx=0_cy=0_cz=0.log
5.9,7.9,65,0,28,-80.59255257342011,-1.184933408163488,-11.691640818025917,-13.709851030260324,2,Done,hexacene_A1=0_A2=28_theta=65_a=5.9_b=7.9_cx=0_cy=0_cz=0.log
5.9,8.1,65,0,30,-84.42218335159123,-1.130835770862177,-11.691640818025917,-14.69430754345376,2,Done,hexacene_A1=0_A2=30_theta=65_a=5.9_b=8.1_cx=0_cy=0_cz=0.log
5.9,8.3,65,0,32,-86.91182927787304,-1.0906437556259334,-11.691640818025917,-15.336815032642336,1,Done,hexacene_A1=0_A2=32_theta=65_a=5.9_b=8.3_cx=0_cy=0_cz=0.log
5.9,8.5,65,0,34,-87.8963046153076,-1.062688184902072,-11.691640818025917,-15.596911652362904,1,Done,hexacene_A1=0_A2=34_theta=65_a=5.9_b=8.5_cx=0_cy=0_cz=0.log
5.9,8.7,65,0,36,-87.223262490239,-1.0462474231608212,-11.691640818025917,-15.43687150196638,1,Done,hexacene_A1=0_A2=36_theta=65_a=5.9_b=8.7_cx=0_cy=0_cz=0.log
5.9,8.0,65,0,28,-82.98800924653187,-1.1044364252593368,-11.691640818025917,-14.348963689990342,2,Done,hexacene_A1=0_A2=28_theta=65_a=5.9_b=8.0_cx=0_cy=0_cz=0.log
5.9,7.9,65,0,26,-81.51723875990137,-1.0868849707767367,-11.691640818025917,-13.990046795574017,2,Done,hexacene_A1=0_A2=26_theta=65_a=5.9_b=7.9_cx=0_cy=0_cz=0.log
5.9,8.2,65,0,30,-85.92992672976106,-1.0563691593706608,-11.691640818025917,-15.108476693741975,2,Done,hexacene_A1=0_A2=30_theta=65_a=5.9_b=8.2_cx=0_cy=0_cz=0.log
5.9,8.6,65,0,34,-88.23814696352929,-0.9955697155091912,-11.691640818025917,-15.715931474114768,1,Done,hexacene_A1=0_A2=34_theta=65_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
5.9,8.8,65,0,36,-87.37063948903233,-0.98118091118522,-11.691640818025917,-15.506249007652514,1,Done,hexacene_A1=0_A2=36_theta=65_a=5.9_b=8.8_cx=0_cy=0_cz=0.log
5.9,8.4,65,0,32,-87.72035081172362,-1.0204442117828876,-11.691640818025917,-15.574045188026505,1,Done,hexacene_A1=0_A2=32_theta=65_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.1,65,0,28,-84.58160854317248,-1.03108050650917,-11.691640818025917,-14.784041473525576,2,Done,hexacene_A1=0_A2=28_theta=65_a=5.9_b=8.1_cx=0_cy=0_cz=0.log
5.9,8.0,65,0,26,-83.21423915214837,-1.0139745837077498,-11.691640818025917,-14.450752087170258,2,Done,hexacene_A1=0_A2=26_theta=65_a=5.9_b=8.0_cx=0_cy=0_cz=0.log
5.9,8.3,65,0,30,-86.76083781989291,-0.987688189605251,-11.691640818025917,-15.350544951157644,2,Done,hexacene_A1=0_A2=30_theta=65_a=5.9_b=8.3_cx=0_cy=0_cz=0.log
5.9,8.7,65,0,34,-88.1246053040959,-0.9334525004960595,-11.691640818025917,-15.718604666762984,1,Done,hexacene_A1=0_A2=34_theta=65_a=5.9_b=8.7_cx=0_cy=0_cz=0.log
5.9,8.9,65,0,36,-87.14363147132099,-0.9210403526667506,-11.691640818025917,-15.479567282483911,1,Done,hexacene_A1=0_A2=36_theta=65_a=5.9_b=8.9_cx=0_cy=0_cz=0.log
5.9,8.5,65,0,32,-87.96997428964823,-0.9554843767546116,-11.691640818025917,-15.668930975021794,1,Done,hexacene_A1=0_A2=32_theta=65_a=5.9_b=8.5_cx=0_cy=0_cz=0.log
6.0,7.9,65,0,28,-81.71046163886786,-1.184933408163488,-11.527101421030238,-14.0715979951201,2,Done,hexacene_A1=0_A2=28_theta=65_a=6_b=7.9_cx=0_cy=0_cz=0.log
6.0,7.8,65,0,26,-80.15713593456894,-1.1665787405800074,-11.527101421030238,-13.692443902837113,2,Done,hexacene_A1=0_A2=26_theta=65_a=6_b=7.8_cx=0_cy=0_cz=0.log
6.0,8.1,65,0,30,-85.14684445038438,-1.130835770862177,-11.527101421030238,-14.957742516649889,2,Done,hexacene_A1=0_A2=30_theta=65_a=6_b=8.1_cx=0_cy=0_cz=0.log
6.0,8.5,65,0,34,-88.19548883335665,-1.062688184902072,-11.527101421030238,-15.753977405373009,1,Done,hexacene_A1=0_A2=34_theta=65_a=6_b=8.5_cx=0_cy=0_cz=0.log
6.0,8.7,65,0,36,-87.53715554205701,-1.0462474231608212,-11.527101421030238,-15.597614463418722,1,Done,hexacene_A1=0_A2=36_theta=65_a=6_b=8.7_cx=0_cy=0_cz=0.log
6.0,8.3,65,0,32,-87.35503959050402,-1.0906437556259334,-11.527101421030238,-15.52988730929792,1,Done,hexacene_A1=0_A2=32_theta=65_a=6_b=8.3_cx=0_cy=0_cz=0.log
6.0,8.1,65,0,28,-84.95222849957645,-1.03108050650917,-11.527101421030238,-14.958966161124408,2,Done,hexacene_A1=0_A2=28_theta=65_a=6_b=8.1_cx=0_cy=0_cz=0.log
6.0,8.0,65,0,26,-83.61118942825124,-1.0139745837077498,-11.527101421030238,-14.632259354693815,2,Done,hexacene_A1=0_A2=26_theta=65_a=6_b=8.0_cx=0_cy=0_cz=0.log
6.0,8.3,65,0,30,-86.83748189220205,-0.987688189605251,-11.527101421030238,-15.451975667732768,2,Done,hexacene_A1=0_A2=30_theta=65_a=6_b=8.3_cx=0_cy=0_cz=0.log
6.1,7.9,65,0,28,-81.97928692307323,-1.184933408163488,-11.089689300395548,-14.35751037648879,2,Done,hexacene_A1=0_A2=28_theta=65_a=6.1_b=7.9_cx=0_cy=0_cz=0.log
6.1,7.8,65,0,26,-80.4727734643966,-1.1665787405800074,-11.089689300395548,-13.990059345611373,2,Done,hexacene_A1=0_A2=26_theta=65_a=6.1_b=7.8_cx=0_cy=0_cz=0.log
