a,b,theta,A1,A2,E,E_p1,E_p2,E_t,machine_type,status,file_name
6.0,7.3,65,0,8,-26.333690583705906,-0.2159136408008635,-3.4038062580511905,-4.7735626965004485,1,Done,naphthalene_A1=0_A2=8_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
6.0,7.3,65,0,10,-25.69680934934877,-0.2237656734068878,-3.4038062580511905,-4.610416371608153,1,Done,naphthalene_A1=0_A2=10_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
6.0,7.4,65,0,12,-25.26797905529384,-0.214231286488939,-3.4038062580511905,-4.507975991553394,1,Done,naphthalene_A1=0_A2=12_theta=65_a=6_b=7.4_cx=0_cy=0_cz=0.log
5.9,7.1,65,0,2,-27.02664360171184,-0.2428080919198691,-3.41220610687742,-4.929153801029315,1,Done,naphthalene_A1=0_A2=2_theta=65_a=5.9_b=7.1_cx=0_cy=0_cz=0.log
5.9,7.1,65,0,4,-26.678772137733176,-0.2458063346566632,-3.41220610687742,-4.840686813666252,1,Done,naphthalene_A1=0_A2=4_theta=65_a=5.9_b=7.1_cx=0_cy=0_cz=0.log
5.9,7.1,65,0,6,-26.099374584504403,-0.2508100994164124,-3.41220610687742,-4.6933355429791845,1,Done,naphthalene_A1=0_A2=6_theta=65_a=5.9_b=7.1_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,2,-27.271282140049152,-0.2218919285223819,-3.41220610687742,-5.000771517312387,1,Done,naphthalene_A1=0_A2=2_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,4,-26.982214638614096,-0.2246686603175476,-3.41220610687742,-4.92711627605604,1,Done,naphthalene_A1=0_A2=4_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,6,-26.500516627100296,-0.2293040766962804,-3.41220610687742,-4.804374064988224,1,Done,naphthalene_A1=0_A2=6_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,2,-27.33743800933007,-0.2029856797889806,-3.41220610687742,-5.0267636089993175,1,Done,naphthalene_A1=0_A2=2_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,4,-27.099792442284524,-0.2055609807721339,-3.41220610687742,-4.966064566746354,1,Done,naphthalene_A1=0_A2=4_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,6,-26.703967919223945,-0.2098613068810664,-3.41220610687742,-4.864958272926742,1,Done,naphthalene_A1=0_A2=6_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
6.0,7.1,65,0,2,-27.25271035428159,-0.2428080919198691,-3.4038062580511905,-4.989870413584868,1,Done,naphthalene_A1=0_A2=2_theta=65_a=6_b=7.1_cx=0_cy=0_cz=0.log
6.0,7.1,65,0,4,-26.935167703893967,-0.2458063346566632,-3.4038062580511905,-4.908985629619565,1,Done,naphthalene_A1=0_A2=4_theta=65_a=6_b=7.1_cx=0_cy=0_cz=0.log
6.0,7.1,65,0,6,-26.40619434404653,-0.2508100994164124,-3.4038062580511905,-4.77424040727783,1,Done,naphthalene_A1=0_A2=6_theta=65_a=6_b=7.1_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,8,-25.828439612174407,-0.2358220230671577,-3.41220610687742,-4.633095838071313,1,Done,naphthalene_A1=0_A2=8_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,10,-24.97081918490585,-0.2442683076951652,-3.41220610687742,-4.41446758894017,1,Done,naphthalene_A1=0_A2=10_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,12,-24.59400445024949,-0.2334814107744023,-3.41220610687742,-4.32565735373646,1,Done,naphthalene_A1=0_A2=12_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,8,-26.1515922016697,-0.2159136408008635,-3.41220610687742,-4.723838176578283,1,Done,naphthalene_A1=0_A2=8_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,10,-25.44727372273337,-0.2237656734068878,-3.41220610687742,-4.543832540541189,1,Done,naphthalene_A1=0_A2=10_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.4,65,0,12,-25.032923849415965,-0.214231286488939,-3.41220610687742,-4.445012265670812,1,Done,naphthalene_A1=0_A2=12_theta=65_a=5.9_b=7.4_cx=0_cy=0_cz=0.log
5.9,7.4,65,0,8,-26.293291489826515,-0.1979078688309528,-3.41220610687742,-4.768265884602442,1,Done,naphthalene_A1=0_A2=8_theta=65_a=5.9_b=7.4_cx=0_cy=0_cz=0.log
5.9,7.4,65,0,10,-25.723041777382605,-0.2052039275877177,-3.41220610687742,-4.622055427113082,1,Done,naphthalene_A1=0_A2=10_theta=65_a=5.9_b=7.4_cx=0_cy=0_cz=0.log
5.9,7.5,65,0,12,-25.28071248845663,-0.1968015687307343,-3.41220610687742,-4.51567428431008,1,Done,naphthalene_A1=0_A2=12_theta=65_a=5.9_b=7.5_cx=0_cy=0_cz=0.log
6.0,7.2,65,0,8,-26.100199133041315,-0.2358220230671577,-3.4038062580511905,-4.705235642701155,1,Done,naphthalene_A1=0_A2=8_theta=65_a=6_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.2,65,0,10,-25.32053552812431,-0.2442683076951652,-3.4038062580511905,-4.5060965991579,1,Done,naphthalene_A1=0_A2=10_theta=65_a=6_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.3,65,0,12,-24.925590774277225,-0.2334814107744023,-3.4038062580511905,-4.41275385915651,1,Done,naphthalene_A1=0_A2=12_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
6.0,7.4,65,0,8,-26.39944359147921,-0.1979078688309528,-3.4038062580511905,-4.799003834428731,1,Done,naphthalene_A1=0_A2=8_theta=65_a=6_b=7.4_cx=0_cy=0_cz=0.log
6.0,7.5,65,0,12,-25.433819908299483,-0.1968015687307343,-3.4038062580511905,-4.558151063683908,1,Done,naphthalene_A1=0_A2=12_theta=65_a=6_b=7.5_cx=0_cy=0_cz=0.log
6.0,7.4,65,0,10,-25.88737911626231,-0.2052039275877177,-3.4038062580511905,-4.667339686246123,1,Done,naphthalene_A1=0_A2=10_theta=65_a=6_b=7.4_cx=0_cy=0_cz=0.log
