a,b,theta,A1,A2,E,E_p1,E_p2,E_t,machine_type,status,file_name
6.0,7.2,65,0,2,-28.57714551058598,-0.258645189285744,-3.520475427270867,-5.254726069368189,2,Done,naphthalene_A1=0_A2=2_theta=65_a=6_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.2,65,0,4,-28.28498438419774,-0.261487809533719,-3.520475427270867,-5.180264477647143,2,Done,naphthalene_A1=0_A2=4_theta=65_a=6_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.2,65,0,6,-27.79648667480797,-0.2662612781859934,-3.520475427270867,-5.055753315973561,2,Done,naphthalene_A1=0_A2=6_theta=65_a=6_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.3,65,0,8,-27.32223344198428,-0.2506720472010784,-3.520475427270867,-4.944984623260098,1,Done,naphthalene_A1=0_A2=8_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
6.0,7.3,65,0,10,-26.623690565000288,-0.2588591701933183,-3.520475427270867,-4.766255342517979,1,Done,naphthalene_A1=0_A2=10_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
6.0,7.4,65,0,12,-26.137118055834435,-0.2473111036233604,-3.520475427270867,-4.650386248511495,1,Done,naphthalene_A1=0_A2=12_theta=65_a=6_b=7.4_cx=0_cy=0_cz=0.log
5.9,7.1,65,0,2,-28.29932298802305,-0.2819728734903037,-3.559259310422931,-5.154214655049145,2,Done,naphthalene_A1=0_A2=2_theta=65_a=5.9_b=7.1_cx=0_cy=0_cz=0.log
5.9,7.1,65,0,4,-27.887164380401373,-0.2850526926922612,-3.559259310422931,-5.049635093542747,2,Done,naphthalene_A1=0_A2=4_theta=65_a=5.9_b=7.1_cx=0_cy=0_cz=0.log
5.9,7.1,65,0,6,-27.202946301433258,-0.2902867535012774,-3.559259310422931,-4.87596354339621,2,Done,naphthalene_A1=0_A2=6_theta=65_a=5.9_b=7.1_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,8,-26.839704607613385,-0.2730270909960381,-3.559259310422931,-4.793782951193862,1,Done,naphthalene_A1=0_A2=8_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,10,-25.84932063473389,-0.2818172510014847,-3.559259310422931,-4.541791877971264,1,Done,naphthalene_A1=0_A2=10_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,4,-28.156447746325284,-0.261487809533719,-3.559259310422931,-5.128738376602996,2,Done,naphthalene_A1=0_A2=4_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,2,-28.48542613885365,-0.258645189285744,-3.559259310422931,-5.212404284859076,2,Done,naphthalene_A1=0_A2=2_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,6,-27.60833407670725,-0.2662612781859934,-3.559259310422931,-4.989323224872351,2,Done,naphthalene_A1=0_A2=6_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,12,-25.416799327358603,-0.2689727487741038,-3.559259310422931,-4.4400838022411335,1,Done,naphthalene_A1=0_A2=12_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,8,-27.17093827109784,-0.2506720472010784,-3.559259310422931,-4.887768888962455,1,Done,naphthalene_A1=0_A2=8_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,4,-28.204860143130645,-0.2398719726479612,-3.559259310422931,-5.151649394247215,2,Done,naphthalene_A1=0_A2=4_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,2,-28.460557917598635,-0.2371899948921054,-3.559259310422931,-5.216914826742141,2,Done,naphthalene_A1=0_A2=2_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,6,-27.775839086039923,-0.2443599241087213,-3.559259310422931,-5.042150154244155,2,Done,naphthalene_A1=0_A2=6_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,10,-26.385490279411897,-0.2588591701933183,-3.559259310422931,-4.68731332954485,1,Done,naphthalene_A1=0_A2=10_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.4,65,0,12,-25.91978122270666,-0.2473111036233604,-3.559259310422931,-4.57666009865352,1,Done,naphthalene_A1=0_A2=12_theta=65_a=5.9_b=7.4_cx=0_cy=0_cz=0.log
6.0,7.1,65,0,4,-28.135281833820045,-0.2850526926922612,-3.520475427270867,-5.131056398473447,2,Done,naphthalene_A1=0_A2=4_theta=65_a=6_b=7.1_cx=0_cy=0_cz=0.log
6.0,7.1,65,0,2,-28.50598211097531,-0.2819728734903037,-3.520475427270867,-5.225271377363242,2,Done,naphthalene_A1=0_A2=2_theta=65_a=6_b=7.1_cx=0_cy=0_cz=0.log
6.0,7.1,65,0,6,-27.518413148471154,-0.2902867535012774,-3.520475427270867,-4.974222196731716,2,Done,naphthalene_A1=0_A2=6_theta=65_a=6_b=7.1_cx=0_cy=0_cz=0.log
5.9,7.4,65,0,8,-27.284634298062883,-0.2301392924273386,-3.559259310422931,-4.926459273090586,1,Done,naphthalene_A1=0_A2=8_theta=65_a=5.9_b=7.4_cx=0_cy=0_cz=0.log
5.9,7.4,65,0,10,-26.676836897153407,-0.2378457427839748,-3.559259310422931,-4.770656697684899,1,Done,naphthalene_A1=0_A2=10_theta=65_a=5.9_b=7.4_cx=0_cy=0_cz=0.log
6.0,7.3,65,0,4,-28.23362520104274,-0.2398719726479612,-3.520475427270867,-5.178232600301271,2,Done,naphthalene_A1=0_A2=4_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
6.0,7.3,65,0,2,-28.45729988568928,-0.2371899948921054,-3.520475427270867,-5.235492260340834,2,Done,naphthalene_A1=0_A2=2_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
6.0,7.3,65,0,6,-27.856619703001343,-0.2443599241087213,-3.520475427270867,-5.0817372500605416,2,Done,naphthalene_A1=0_A2=6_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.5,65,0,12,-26.18850861524697,-0.2274353518732823,-3.559259310422931,-4.653779822663637,1,Done,naphthalene_A1=0_A2=12_theta=65_a=5.9_b=7.5_cx=0_cy=0_cz=0.log
6.1,7.1,65,0,4,-28.097168131847862,-0.2850526926922612,-3.3911387136904523,-5.18619632977061,2,Done,naphthalene_A1=0_A2=4_theta=65_a=6.1_b=7.1_cx=0_cy=0_cz=0.log
6.1,7.1,65,0,2,-28.42769270855933,-0.2819728734903037,-3.3911387136904523,-5.270367383549456,2,Done,naphthalene_A1=0_A2=2_theta=65_a=6.1_b=7.1_cx=0_cy=0_cz=0.log
6.1,7.1,65,0,6,-27.545578056247905,-0.2902867535012774,-3.3911387136904523,-5.045681780466111,2,Done,naphthalene_A1=0_A2=6_theta=65_a=6.1_b=7.1_cx=0_cy=0_cz=0.log
6.0,7.2,65,0,8,-27.108391839428805,-0.2730270909960381,-3.520475427270867,-4.880346700723749,1,Done,naphthalene_A1=0_A2=8_theta=65_a=6_b=7.2_cx=0_cy=0_cz=0.log
6.1,7.2,65,0,4,-28.1418179780012,-0.261487809533719,-3.3911387136904523,-5.209141232888214,2,Done,naphthalene_A1=0_A2=4_theta=65_a=6.1_b=7.2_cx=0_cy=0_cz=0.log
6.1,7.2,65,0,2,-28.39870551170316,-0.258645189285744,-3.3911387136904523,-5.274784426437691,2,Done,naphthalene_A1=0_A2=2_theta=65_a=6.1_b=7.2_cx=0_cy=0_cz=0.log
6.1,7.2,65,0,6,-27.71059687132947,-0.2662612781859934,-3.3911387136904523,-5.098949221894145,2,Done,naphthalene_A1=0_A2=6_theta=65_a=6.1_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.2,65,0,10,-26.216659968718886,-0.2818172510014847,-3.520475427270867,-4.653018653043546,1,Done,naphthalene_A1=0_A2=10_theta=65_a=6_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.3,65,0,12,-25.7566587429028,-0.2689727487741038,-3.520475427270867,-4.544440597703215,1,Done,naphthalene_A1=0_A2=12_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
6.1,7.3,65,0,4,-28.00414102897048,-0.2398719726479612,-3.3911387136904523,-5.185529914073413,2,Done,naphthalene_A1=0_A2=4_theta=65_a=6.1_b=7.3_cx=0_cy=0_cz=0.log
6.1,7.3,65,0,2,-28.197527060750872,-0.2371899948921054,-3.3911387136904523,-5.235217410896439,2,Done,naphthalene_A1=0_A2=2_theta=65_a=6.1_b=7.3_cx=0_cy=0_cz=0.log
6.1,7.3,65,0,6,-27.67662096943241,-0.2443599241087213,-3.3911387136904523,-5.101405923458515,2,Done,naphthalene_A1=0_A2=6_theta=65_a=6.1_b=7.3_cx=0_cy=0_cz=0.log
6.0,7.4,65,0,8,-27.337179474998266,-0.2301392924273386,-3.520475427270867,-4.958987508900464,1,Done,naphthalene_A1=0_A2=8_theta=65_a=6_b=7.4_cx=0_cy=0_cz=0.log
6.0,7.4,65,0,10,-26.805197832523845,-0.2378457427839748,-3.520475427270867,-4.82213887310354,1,Done,naphthalene_A1=0_A2=10_theta=65_a=6_b=7.4_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,14,-24.26260261423885,-0.2810673766653053,-3.559259310422931,-4.1454873100155964,2,Done,naphthalene_A1=0_A2=14_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
