a,b,theta,A1,A2,E,E_p1,E_p2,E_t,machine_type,status,file_name
6.0,8.5,65,-20,32,-23.459306982695125,-0.2102742084534838,-2.971943835902493,-4.273717723495793,2,Done,naphthalene_A1=-20_A2=32_theta=65_a=6_b=8.5_cx=0_cy=0_cz=0.log
6.0,8.5,65,-18,32,-24.02585564123001,-0.2102748359320685,-3.039999177970458,-4.381326903356239,2,Done,naphthalene_A1=-18_A2=32_theta=65_a=6_b=8.5_cx=0_cy=0_cz=0.log
6.0,8.5,65,-16,32,-24.42656093672849,-0.2102760909474454,-3.111507707508281,-4.44574833495426,2,Done,naphthalene_A1=-16_A2=32_theta=65_a=6_b=8.5_cx=0_cy=0_cz=0.log
6.0,8.5,65,-14,32,-24.72604259394575,-0.2102742083952762,-3.185959258931689,-4.483393914822955,1,Done,naphthalene_A1=-14_A2=32_theta=65_a=6_b=8.5_cx=0_cy=0_cz=0.log
6.0,8.5,65,-12,32,-24.96777199639473,-0.2102754635270685,-3.2621703483746387,-4.505720093147829,1,Done,naphthalene_A1=-12_A2=32_theta=65_a=6_b=8.5_cx=0_cy=0_cz=0.log
5.9,8.4,65,-20,32,-22.63747345085721,-0.2251825910061597,-3.1994030331843533,-3.947075550619047,2,Done,naphthalene_A1=-20_A2=32_theta=65_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.4,65,-18,32,-23.478557733935304,-0.2251712957513518,-3.269118139171041,-4.122494716022629,2,Done,naphthalene_A1=-18_A2=32_theta=65_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.4,65,-16,32,-24.08915382949636,-0.2251637657172978,-3.3418321153731085,-4.238790516828885,1,Done,naphthalene_A1=-16_A2=32_theta=65_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.4,65,-14,32,-24.54498964408413,-0.2251606281497515,-3.4158889632089995,-4.315722615341656,1,Done,naphthalene_A1=-14_A2=32_theta=65_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.4,65,-12,32,-24.905095042660832,-0.2251612556865438,-3.4898730195709504,-4.368756623036461,2,Done,naphthalene_A1=-12_A2=32_theta=65_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.5,65,-20,32,-23.21407983964309,-0.2102742084534838,-3.1994030331843533,-4.098681339091854,2,Done,naphthalene_A1=-20_A2=32_theta=65_a=5.9_b=8.5_cx=0_cy=0_cz=0.log
5.9,8.5,65,-16,32,-24.41259632899892,-0.2102760909474454,-3.3418321153731085,-4.327094979089452,1,Done,naphthalene_A1=-16_A2=32_theta=65_a=5.9_b=8.5_cx=0_cy=0_cz=0.log
5.9,8.5,65,-14,32,-24.79264901590068,-0.2102742083952762,-3.4158889632089995,-4.385080668173032,1,Done,naphthalene_A1=-14_A2=32_theta=65_a=5.9_b=8.5_cx=0_cy=0_cz=0.log
5.9,8.5,65,-18,32,-23.90834058832843,-0.2102748359320685,-3.269118139171041,-4.237388659530552,2,Done,naphthalene_A1=-18_A2=32_theta=65_a=5.9_b=8.5_cx=0_cy=0_cz=0.log
5.9,8.5,65,-12,32,-25.097100552520715,-0.2102754635270685,-3.4898730195709504,-4.424200896581169,2,Done,naphthalene_A1=-12_A2=32_theta=65_a=5.9_b=8.5_cx=0_cy=0_cz=0.log
5.9,8.6,65,-16,32,-24.575934672146104,-0.1965135416248813,-3.3418321153731085,-4.374810839537531,1,Done,naphthalene_A1=-16_A2=32_theta=65_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
5.9,8.6,65,-14,32,-24.89120824658312,-0.1965116591309197,-3.4158889632089995,-4.41660175047582,1,Done,naphthalene_A1=-14_A2=32_theta=65_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
5.9,8.6,65,-20,32,-23.59333809860982,-0.1965122866095043,-3.1994030331843533,-4.200376864755526,2,Done,naphthalene_A1=-20_A2=32_theta=65_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
5.9,8.6,65,-18,32,-24.162036606343463,-0.1965141691616736,-3.269118139171041,-4.307692997419508,2,Done,naphthalene_A1=-18_A2=32_theta=65_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
6.0,8.4,65,-16,32,-24.222441974154208,-0.2251631382096093,-3.111507707508281,-4.387275070679607,1,Done,naphthalene_A1=-16_A2=32_theta=65_a=6_b=8.4_cx=0_cy=0_cz=0.log
6.0,8.4,65,-14,32,-24.584655806072988,-0.2251606281497515,-3.185959258931689,-4.440604007977527,1,Done,naphthalene_A1=-14_A2=32_theta=65_a=6_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.6,65,-12,32,-25.14672404329758,-0.1965116591309197,-3.4898730195709504,-4.44348867147346,2,Done,naphthalene_A1=-12_A2=32_theta=65_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
6.0,8.4,65,-20,32,-23.040710121858865,-0.2251825910061597,-2.971943835902493,-4.16161431701039,2,Done,naphthalene_A1=-20_A2=32_theta=65_a=6_b=8.4_cx=0_cy=0_cz=0.log
6.0,8.4,65,-18,32,-23.73280972603243,-0.2251712957513518,-3.039999177970458,-4.300617194647202,2,Done,naphthalene_A1=-18_A2=32_theta=65_a=6_b=8.4_cx=0_cy=0_cz=0.log
6.0,8.4,65,-12,32,-24.87305689160712,-0.2251606281497515,-3.2621703483746387,-4.474598734639585,2,Done,naphthalene_A1=-12_A2=32_theta=65_a=6_b=8.4_cx=0_cy=0_cz=0.log
6.0,8.6,65,-16,32,-24.484806414926425,-0.1965135416248813,-3.111507707508281,-4.467190979165025,1,Done,naphthalene_A1=-16_A2=32_theta=65_a=6_b=8.6_cx=0_cy=0_cz=0.log
