a,b,theta,A1,A2,E,E_p1,E_p2,E_t,machine_type,status,file_name
6,8.5,65,0,33,-25.21983774,-0.219707566,-3.520475427,-4.434867939,3,Done,naphthalene_theta=65_A1=0_A2=33_a=6.0_b=8.5_cx=0_cy=0_cz=0.log
6,8.4,65,0,33,-25.17251847,-0.235215848,-3.520475427,-4.415283979,3,Done,naphthalene_theta=65_A1=0_A2=33_a=6.0_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.5,65,0,33,-25.17140401,-0.219707566,-3.55925931,-4.403367565,3,Done,naphthalene_theta=65_A1=0_A2=33_a=5.9_b=8.5_cx=0_cy=0_cz=0.log
5.9,8.6,65,0,33,-25.14573634,-0.205382768,-3.55925931,-4.404113046,3,Done,naphthalene_theta=65_A1=0_A2=33_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
6,8.6,65,0,33,-25.12416255,-0.205382768,-3.520475427,-4.41811154,3,Done,naphthalene_theta=65_A1=0_A2=33_a=6.0_b=8.6_cx=0_cy=0_cz=0.log
6.1,8.4,65,0,33,-25.05090076,-0.235215848,-3.391138714,-4.449547908,3,Done,naphthalene_theta=65_A1=0_A2=33_a=6.1_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.4,65,0,33,-25.0398001,-0.235215848,-3.55925931,-4.362712447,3,Done,naphthalene_theta=65_A1=0_A2=33_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
6.1,8.5,65,0,33,-25.02335307,-0.219707566,-3.391138714,-4.450415127,3,Done,naphthalene_theta=65_A1=0_A2=33_a=6.1_b=8.5_cx=0_cy=0_cz=0.log
6.1,8.6,65,0,33,-24.86645047,-0.205382768,-3.391138714,-4.418351876,3,Done,naphthalene_theta=65_A1=0_A2=33_a=6.1_b=8.6_cx=0_cy=0_cz=0.log
5.8,8.6,65,0,33,-24.82813973,-0.205382768,-3.459138207,-4.374774444,3,Done,naphthalene_theta=65_A1=0_A2=33_a=5.8_b=8.6_cx=0_cy=0_cz=0.log
5.8,8.5,65,0,33,-24.77459555,-0.219707566,-3.459138207,-4.354226001,3,Done,naphthalene_theta=65_A1=0_A2=33_a=5.8_b=8.5_cx=0_cy=0_cz=0.log
5.8,8.4,65,0,33,-24.54896304,-0.235215848,-3.459138207,-4.290063731,3,Done,naphthalene_theta=65_A1=0_A2=33_a=5.8_b=8.4_cx=0_cy=0_cz=0.log
6,8.4,66,-1,33,-25.3770039,-0.227499358,-3.499445685,-4.480778453,3,Done,naphthalene_theta=66_A1=-1_A2=33_a=6.0_b=8.4_cx=0_cy=0_cz=0.log
6,8.5,66,-1,33,-25.34057318,-0.212456688,-3.499445685,-4.479192108,3,Done,naphthalene_theta=66_A1=-1_A2=33_a=6.0_b=8.5_cx=0_cy=0_cz=0.log
5.9,8.5,66,-1,33,-25.26647178,-0.212456688,-3.499960243,-4.460409479,3,Done,naphthalene_theta=66_A1=-1_A2=33_a=5.9_b=8.5_cx=0_cy=0_cz=0.log
6,8.3,66,-1,33,-25.25374085,-0.243789518,-3.499445685,-4.441817612,3,Done,naphthalene_theta=66_A1=-1_A2=33_a=6.0_b=8.3_cx=0_cy=0_cz=0.log
6.1,8.4,66,-1,33,-25.25020421,-0.227499358,-3.394445691,-4.501578527,3,Done,naphthalene_theta=66_A1=-1_A2=33_a=6.1_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.4,66,-1,33,-25.22819618,-0.227499358,-3.499960243,-4.443319244,3,Done,naphthalene_theta=66_A1=-1_A2=33_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
6.1,8.3,66,-1,33,-25.20700391,-0.243789518,-3.394445691,-4.482633373,3,Done,naphthalene_theta=66_A1=-1_A2=33_a=6.1_b=8.3_cx=0_cy=0_cz=0.log
6,8.6,66,-1,33,-25.17591957,-0.198563617,-3.499445685,-4.444975243,3,Done,naphthalene_theta=66_A1=-1_A2=33_a=6.0_b=8.6_cx=0_cy=0_cz=0.log
5.9,8.6,66,-1,33,-25.16321626,-0.198563617,-3.499960243,-4.441542135,3,Done,naphthalene_theta=66_A1=-1_A2=33_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
6.1,8.5,66,-1,33,-25.14790251,-0.212456688,-3.394445691,-4.483524437,3,Done,naphthalene_theta=66_A1=-1_A2=33_a=6.1_b=8.5_cx=0_cy=0_cz=0.log
5.9,8.3,66,-1,33,-25.01540503,-0.243789518,-3.499960243,-4.381976376,3,Done,naphthalene_theta=66_A1=-1_A2=33_a=5.9_b=8.3_cx=0_cy=0_cz=0.log
5.8,8.5,66,-1,33,-24.81730639,-0.212456688,-3.345057517,-4.425569496,3,Done,naphthalene_theta=66_A1=-1_A2=33_a=5.8_b=8.5_cx=0_cy=0_cz=0.log
5.8,8.6,66,-1,33,-24.7840082,-0.198563617,-3.345057517,-4.424191484,3,Done,naphthalene_theta=66_A1=-1_A2=33_a=5.8_b=8.6_cx=0_cy=0_cz=0.log
5.8,8.4,66,-1,33,-24.69510761,-0.227499358,-3.345057517,-4.387498464,3,Done,naphthalene_theta=66_A1=-1_A2=33_a=5.8_b=8.4_cx=0_cy=0_cz=0.log
6,8.4,67,-3,33,-25.65455408,-0.22007466,-3.524143223,-4.541529579,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=6.0_b=8.4_cx=0_cy=0_cz=0.log
6,8.3,67,-3,33,-25.61129731,-0.235904854,-3.524143223,-4.522800288,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=6.0_b=8.3_cx=0_cy=0_cz=0.log
5.9,8.4,67,-3,33,-25.57565223,-0.22007466,-3.541574824,-4.513088316,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
6,8.5,67,-3,33,-25.55368561,-0.205485052,-3.524143223,-4.523607266,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=6.0_b=8.5_cx=0_cy=0_cz=0.log
5.9,8.5,67,-3,33,-25.54225113,-0.205485052,-3.541574824,-4.512032844,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=5.9_b=8.5_cx=0_cy=0_cz=0.log
6.1,8.3,67,-3,33,-25.50153577,-0.235904854,-3.40819067,-4.553336179,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=6.1_b=8.3_cx=0_cy=0_cz=0.log
6.1,8.4,67,-3,33,-25.47256112,-0.22007466,-3.40819067,-4.554007615,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=6.1_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.3,67,-3,33,-25.45124335,-0.235904854,-3.541574824,-4.474070999,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=5.9_b=8.3_cx=0_cy=0_cz=0.log
5.9,8.6,67,-3,33,-25.38185706,-0.191974762,-3.541574824,-4.478689472,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
6.1,8.5,67,-3,33,-25.31244567,-0.205485052,-3.40819067,-4.521273556,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=6.1_b=8.5_cx=0_cy=0_cz=0.log
5.8,8.5,67,-3,33,-25.17215075,-0.205485052,-3.410565796,-4.485012263,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=5.8_b=8.5_cx=0_cy=0_cz=0.log
5.8,8.4,67,-3,33,-25.12941732,-0.22007466,-3.410565796,-4.467034102,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=5.8_b=8.4_cx=0_cy=0_cz=0.log
5.8,8.6,67,-3,33,-25.0750624,-0.191974762,-3.410565796,-4.467495321,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=5.8_b=8.6_cx=0_cy=0_cz=0.log
5.8,8.3,67,-3,33,-24.91446126,-0.235904854,-3.410565796,-4.405379989,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=5.8_b=8.3_cx=0_cy=0_cz=0.log
5.7,8.5,67,-3,33,-24.32188725,-0.205485052,-3.073378317,-4.441040127,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=5.7_b=8.5_cx=0_cy=0_cz=0.log
5.7,8.6,67,-3,33,-24.29645803,-0.191974762,-3.073378317,-4.441437969,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=5.7_b=8.6_cx=0_cy=0_cz=0.log
5.7,8.4,67,-3,33,-24.19390282,-0.22007466,-3.073378317,-4.401749216,3,Done,naphthalene_theta=67_A1=-3_A2=33_a=5.7_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.3,74,-17,33,-26.51291623,-0.189750866,-3.90309212,-4.581807563,3,Done,naphthalene_theta=74_A1=-17_A2=33_a=5.9_b=8.3_cx=0_cy=0_cz=0.log
5.9,8.4,74,-17,33,-26.46811954,-0.176384903,-3.90309212,-4.577291374,3,Done,naphthalene_theta=74_A1=-17_A2=33_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.2,74,-17,33,-26.4126326,-0.204172301,-3.90309212,-4.549525939,3,Done,naphthalene_theta=74_A1=-17_A2=33_a=5.9_b=8.2_cx=0_cy=0_cz=0.log
5.8,8.4,74,-17,33,-26.40212682,-0.176384903,-3.940173568,-4.54225247,3,Done,naphthalene_theta=74_A1=-17_A2=33_a=5.8_b=8.4_cx=0_cy=0_cz=0.log
6,8.3,74,-17,33,-26.39402191,-0.189750866,-3.775842504,-4.615708791,3,Done,naphthalene_theta=74_A1=-17_A2=33_a=6.0_b=8.3_cx=0_cy=0_cz=0.log
6,8.2,74,-17,33,-26.37189339,-0.204172301,-3.775842504,-4.602965945,3,Done,naphthalene_theta=74_A1=-17_A2=33_a=6.0_b=8.2_cx=0_cy=0_cz=0.log
5.8,8.3,74,-17,33,-26.37068606,-0.189750866,-3.940173568,-4.527709299,3,Done,naphthalene_theta=74_A1=-17_A2=33_a=5.8_b=8.3_cx=0_cy=0_cz=0.log
6,8.4,74,-17,33,-26.28306559,-0.176384903,-3.775842504,-4.594652693,3,Done,naphthalene_theta=74_A1=-17_A2=33_a=6.0_b=8.4_cx=0_cy=0_cz=0.log
5.8,8.2,74,-17,33,-26.18126087,-0.204172301,-3.940173568,-4.473142284,3,Done,naphthalene_theta=74_A1=-17_A2=33_a=5.8_b=8.2_cx=0_cy=0_cz=0.log
