a,b,theta,A1,A2,E,E_p1,E_p2,E_t,machine_type,status,file_name
5.9,8,73,-14,29,-27.36061948,-0.196835454,-3.85824398,-4.812615154,3,Done,naphthalene_A2=29_theta=73_A1=-14_a=5.9_b=8_cx=0_cy=0_cz=0.log
5.8,7.9,72,-15,29,-26.91593201,-0.220286758,-3.96881187,-4.634433689,3,Done,naphthalene_A2=29_theta=72_A1=-15_a=5.8_b=7.9_cx=0_cy=0_cz=0.log
5.8,8,72,-15,29,-27.24303038,-0.203864821,-3.96881187,-4.724419251,3,Done,naphthalene_A2=29_theta=72_A1=-15_a=5.8_b=8_cx=0_cy=0_cz=0.log
5.8,8.1,72,-15,29,-27.36610518,-0.188712965,-3.96881187,-4.762763877,3,Done,naphthalene_A2=29_theta=72_A1=-15_a=5.8_b=8.1_cx=0_cy=0_cz=0.log
5.9,7.9,72,-15,29,-27.13103868,-0.220286758,-3.915397591,-4.714917494,3,Done,naphthalene_A2=29_theta=72_A1=-15_a=5.9_b=7.9_cx=0_cy=0_cz=0.log
5.9,8,72,-15,29,-27.3582224,-0.203864821,-3.915397591,-4.779924393,3,Done,naphthalene_A2=29_theta=72_A1=-15_a=5.9_b=8_cx=0_cy=0_cz=0.log
5.9,8.1,72,-15,29,-27.39611396,-0.188712965,-3.915397591,-4.796973212,3,Done,naphthalene_A2=29_theta=72_A1=-15_a=5.9_b=8.1_cx=0_cy=0_cz=0.log
6,7.9,72,-15,29,-27.07924777,-0.220286758,-3.775924081,-4.771706522,3,Done,naphthalene_A2=29_theta=72_A1=-15_a=6.0_b=7.9_cx=0_cy=0_cz=0.log
6,8,72,-15,29,-27.21741543,-0.203864821,-3.775924081,-4.814459406,3,Done,naphthalene_A2=29_theta=72_A1=-15_a=6.0_b=8_cx=0_cy=0_cz=0.log
6,8.1,72,-15,29,-27.18024926,-0.188712965,-3.775924081,-4.812743793,3,Done,naphthalene_A2=29_theta=72_A1=-15_a=6.0_b=8.1_cx=0_cy=0_cz=0.log
