a,b,theta,A1,A2,E,E_p1,E_p2,E_t,machine_type,status,file_name
6.0,7.2,65,0,2,-69.52786829089746,-0.7554894094355404,-8.858752570580691,-12.574846082716247,2,Done,pentacene_A1=0_A2=2_theta=65_a=6_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.2,65,0,4,-68.91501190466806,-0.7631274613086134,-8.858752570580691,-12.417812960222363,2,Done,pentacene_A1=0_A2=4_theta=65_a=6_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.2,65,0,6,-67.90020022215322,-0.7759926712606102,-8.858752570580691,-12.157677434617652,2,Done,pentacene_A1=0_A2=6_theta=65_a=6_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.3,65,0,8,-67.00377959664911,-0.7344828846398741,-8.858752570580691,-11.954327171551997,1,Done,pentacene_A1=0_A2=8_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
6.0,7.3,65,0,10,-65.56225358555093,-0.7567130539100617,-8.858752570580691,-11.582830584142355,1,Done,pentacene_A1=0_A2=10_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
6.0,7.4,65,0,12,-64.62892282148823,-0.7263779654167593,-8.858752570580691,-11.364665437373333,1,Done,pentacene_A1=0_A2=12_theta=65_a=6_b=7.4_cx=0_cy=0_cz=0.log
5.9,7.1,65,0,2,-68.78527170186862,-0.8179065741132945,-8.901297121075913,-12.336716077872552,2,Done,pentacene_A1=0_A2=2_theta=65_a=5.9_b=7.1_cx=0_cy=0_cz=0.log
5.9,7.1,65,0,4,-67.96781693492085,-0.8260943247005343,-8.901297121075913,-12.128258510841988,2,Done,pentacene_A1=0_A2=4_theta=65_a=5.9_b=7.1_cx=0_cy=0_cz=0.log
5.9,7.1,65,0,6,-66.61154694110155,-0.8400601870380342,-8.901297121075913,-11.782208081218414,2,Done,pentacene_A1=0_A2=6_theta=65_a=5.9_b=7.1_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,8,-65.94488784810528,-0.794264507247135,-8.901297121075913,-11.638441147864796,1,Done,pentacene_A1=0_A2=8_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
