a,b,theta,A1,A2,E,E_p1,E_p2,E_t,machine_type,status,file_name
6.0,8.0,65,0,26,-68.61379079008475,-0.8053839846979827,-9.49402926187031,-12.00374107423704,2,Done,pentacene_A1=0_A2=26_theta=65_a=6_b=8.0_cx=0_cy=0_cz=0.log
6.0,8.2,65,0,28,-70.10102713992819,-0.7622363970149308,-9.49402926187031,-12.397123955539428,2,Done,pentacene_A1=0_A2=28_theta=65_a=6_b=8.2_cx=0_cy=0_cz=0.log
6.0,8.3,65,0,30,-71.01087396964431,-0.7794615465682,-9.49402926187031,-12.615973088191822,2,Done,pentacene_A1=0_A2=30_theta=65_a=6_b=8.3_cx=0_cy=0_cz=0.log
6.0,8.5,65,0,32,-71.7298548463732,-0.7507203333079815,-9.49402926187031,-12.810088914004156,1,Done,pentacene_A1=0_A2=32_theta=65_a=6_b=8.5_cx=0_cy=0_cz=0.log
6.0,8.7,65,0,34,-71.69402402639389,-0.7298493508715183,-9.49402926187031,-12.81156670022756,1,Done,pentacene_A1=0_A2=34_theta=65_a=6_b=8.7_cx=0_cy=0_cz=0.log
6.0,8.9,65,0,36,-70.86100324639119,-0.7162254812428728,-9.49402926187031,-12.610123440041209,1,Done,pentacene_A1=0_A2=36_theta=65_a=6_b=8.9_cx=0_cy=0_cz=0.log
5.9,7.9,65,0,26,-66.82348844315857,-0.8644088301807642,-9.618810252752157,-11.464262569323182,2,Done,pentacene_A1=0_A2=26_theta=65_a=5.9_b=7.9_cx=0_cy=0_cz=0.log
5.9,8.1,65,0,28,-69.23108869139105,-0.8170004496350884,-9.618810252752157,-12.08986682165414,2,Done,pentacene_A1=0_A2=28_theta=65_a=5.9_b=8.1_cx=0_cy=0_cz=0.log
5.9,8.2,65,0,30,-70.19048622064292,-0.8347376473248005,-9.618810252752157,-12.320847605122252,1,Done,pentacene_A1=0_A2=30_theta=65_a=5.9_b=8.2_cx=0_cy=0_cz=0.log
5.9,8.4,65,0,32,-71.54942187666893,-0.8027923682238907,-9.618810252752157,-12.67655415867921,1,Done,pentacene_A1=0_A2=32_theta=65_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.6,65,0,34,-71.88041834207252,-0.7794151108246297,-9.618810252752157,-12.770991903729737,1,Done,pentacene_A1=0_A2=34_theta=65_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
5.9,8.8,65,0,36,-71.10347813041881,-0.7640436259098351,-9.618810252752157,-12.584442593273709,2,Done,pentacene_A1=0_A2=36_theta=65_a=5.9_b=8.8_cx=0_cy=0_cz=0.log
5.9,8.3,65,0,30,-70.90247161639854,-0.7794615465682,-9.618810252752157,-12.526482004439458,1,Done,pentacene_A1=0_A2=30_theta=65_a=5.9_b=8.3_cx=0_cy=0_cz=0.log
5.9,8.5,65,0,32,-71.7855915389955,-0.7507203333079815,-9.618810252752157,-12.761632591718808,1,Done,pentacene_A1=0_A2=32_theta=65_a=5.9_b=8.5_cx=0_cy=0_cz=0.log
5.9,8.0,65,0,26,-68.23978102440014,-0.8053839846979827,-9.618810252752157,-11.847848137374967,2,Done,pentacene_A1=0_A2=26_theta=65_a=5.9_b=8.0_cx=0_cy=0_cz=0.log
5.9,8.2,65,0,28,-69.99671364203095,-0.7622363970149308,-9.618810252752157,-12.308655085624196,2,Done,pentacene_A1=0_A2=28_theta=65_a=5.9_b=8.2_cx=0_cy=0_cz=0.log
5.9,8.9,65,0,36,-70.94515108247288,-0.7162254812428728,-9.618810252752157,-12.568769903620703,2,Done,pentacene_A1=0_A2=36_theta=65_a=5.9_b=8.9_cx=0_cy=0_cz=0.log
5.9,8.7,65,0,34,-71.81753179943189,-0.7298493508715183,-9.618810252752157,-12.780053148046136,1,Done,pentacene_A1=0_A2=34_theta=65_a=5.9_b=8.7_cx=0_cy=0_cz=0.log
5.9,8.4,65,0,30,-71.140114673879,-0.7281801742501557,-9.618810252752157,-12.611533454968594,1,Done,pentacene_A1=0_A2=30_theta=65_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.1,65,0,26,-69.07583016715944,-0.7506939780432731,-9.618810252752157,-12.084205426392144,2,Done,pentacene_A1=0_A2=26_theta=65_a=5.9_b=8.1_cx=0_cy=0_cz=0.log
5.9,8.8,65,0,34,-71.44323212420568,-0.6835215426981449,-9.618810252752157,-12.70964213332627,1,Done,pentacene_A1=0_A2=34_theta=65_a=5.9_b=8.8_cx=0_cy=0_cz=0.log
5.9,8.6,65,0,32,-71.63534807506949,-0.7022338907700032,-9.618810252752157,-12.748314947006293,1,Done,pentacene_A1=0_A2=32_theta=65_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
5.9,8.3,65,0,28,-70.27980348421261,-0.7113541211001575,-9.618810252752157,-12.404868684126996,2,Done,pentacene_A1=0_A2=28_theta=65_a=5.9_b=8.3_cx=0_cy=0_cz=0.log
5.9,9.0,65,0,36,-70.53072967147455,-0.6715524166356772,-9.618810252752157,-12.48750108317472,2,Done,pentacene_A1=0_A2=36_theta=65_a=5.9_b=9.0_cx=0_cy=0_cz=0.log
