a,b,theta,A1,A2,E,E_p1,E_p2,E_t,machine_type,status,file_name
6.0,7.2,65,0,2,-55.05312147596851,-0.5698556361021474,-7.012607482844032,-9.972048809519038,2,Done,tetracene_A1=0_A2=2_theta=65_a=6_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.2,65,0,4,-54.57459741132334,-0.5757718005916104,-7.012676508980803,-9.849425198044628,2,Done,tetracene_A1=0_A2=4_theta=65_a=6_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.2,65,0,6,-53.78124404745176,-0.5857190889073536,-7.012717924662866,-9.646092505077831,1,Done,tetracene_A1=0_A2=6_theta=65_a=6_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.3,65,0,8,-53.13205232238397,-0.5534977056086063,-7.012721689534374,-9.499903383024504,1,Done,tetracene_A1=0_A2=8_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
6.0,7.3,65,0,10,-51.99583502509631,-0.5705860578455031,-7.012686549103819,-9.207322452799415,1,Done,tetracene_A1=0_A2=10_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.1,65,0,2,-54.3414523457177,-0.6182391672628,-7.036274650134146,-9.758106177730951,2,Done,tetracene_A1=0_A2=2_theta=65_a=5.9_b=7.1_cx=0_cy=0_cz=0.log
5.9,7.1,65,0,4,-53.70126915327273,-0.6246347492560744,-7.036457882961258,-9.594770972209515,1,Done,tetracene_A1=0_A2=4_theta=65_a=5.9_b=7.1_cx=0_cy=0_cz=0.log
5.9,7.1,65,0,6,-52.6375518522691,-0.6353890156606212,-7.036644880892709,-9.32337101479061,1,Done,tetracene_A1=0_A2=6_theta=65_a=5.9_b=7.1_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,8,-52.1938847117126,-0.5998242588248104,-7.036736497539096,-9.230190799746197,1,Done,tetracene_A1=0_A2=8_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,10,-50.63335017347708,-0.6182843480492011,-7.036698846961372,-8.830845945863985,2,Done,tetracene_A1=0_A2=10_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,2,-54.81908032670617,-0.5698556361021474,-7.036274650134146,-9.901704938558396,2,Done,tetracene_A1=0_A2=2_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,4,-54.29105576267466,-0.5757718005916104,-7.036457882961258,-9.76664909889223,1,Done,tetracene_A1=0_A2=4_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.2,65,0,6,-53.41476063732989,-0.5857190889073536,-7.036644880892709,-9.542508174432442,1,Done,tetracene_A1=0_A2=6_theta=65_a=5.9_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,8,-52.82363115809858,-0.5534977056086063,-7.036736497539096,-9.410790687950794,1,Done,tetracene_A1=0_A2=8_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,10,-51.55866888887249,-0.5705860578455031,-7.036698846961372,-9.086024769814683,2,Done,tetracene_A1=0_A2=10_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,4,-54.52672341815196,-0.5312650263076648,-7.036457882961258,-9.847819399903528,1,Done,tetracene_A1=0_A2=4_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,2,-54.95698192412965,-0.525796903995797,-7.036274650134146,-9.95820970396744,2,Done,tetracene_A1=0_A2=2_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.3,65,0,6,-53.81447446695529,-0.5404555376153439,-7.036644880892709,-9.665068407484796,1,Done,tetracene_A1=0_A2=6_theta=65_a=5.9_b=7.3_cx=0_cy=0_cz=0.log
5.9,7.4,65,0,8,-53.10552872973494,-0.5113039331045002,-7.036736497539096,-9.502361967111938,1,Done,tetracene_A1=0_A2=8_theta=65_a=5.9_b=7.4_cx=0_cy=0_cz=0.log
5.9,7.4,65,0,10,-52.09946453757584,-0.5271196952089667,-7.036698846961372,-9.242956863308793,2,Done,tetracene_A1=0_A2=10_theta=65_a=5.9_b=7.4_cx=0_cy=0_cz=0.log
6.0,7.1,65,0,4,-54.15794081124477,-0.6246347492560744,-7.012676508980803,-9.720829573692754,1,Done,tetracene_A1=0_A2=4_theta=65_a=6_b=7.1_cx=0_cy=0_cz=0.log
6.0,7.1,65,0,6,-53.18978826282546,-0.6353890156606212,-7.012717924662866,-9.47339359554462,1,Done,tetracene_A1=0_A2=6_theta=65_a=6_b=7.1_cx=0_cy=0_cz=0.log
6.0,7.2,65,0,8,-52.67618136713281,-0.5998242588248104,-7.012721689534374,-9.362772367603611,1,Done,tetracene_A1=0_A2=8_theta=65_a=6_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.1,65,0,2,-54.74111095443368,-0.6182391672628,-7.012607482844032,-9.869854413555004,2,Done,tetracene_A1=0_A2=2_theta=65_a=6_b=7.1_cx=0_cy=0_cz=0.log
6.0,7.3,65,0,4,-54.66335242544301,-0.5312650263076648,-7.012676508980803,-9.893867338716518,1,Done,tetracene_A1=0_A2=4_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
6.0,7.3,65,0,6,-54.02279021730647,-0.5404555376153439,-7.012717924662866,-9.729110823187511,1,Done,tetracene_A1=0_A2=6_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
6.0,7.2,65,0,10,-51.264311477774754,-0.6182843480492011,-7.012686549103819,-9.000592420867179,2,Done,tetracene_A1=0_A2=10_theta=65_a=6_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.4,65,0,8,-53.26647500414401,-0.5113039331045002,-7.012721689534374,-9.554605939716566,1,Done,tetracene_A1=0_A2=8_theta=65_a=6_b=7.4_cx=0_cy=0_cz=0.log
6.1,7.1,65,0,4,-54.16988609195687,-0.6246347492560744,-6.8439302848419175,-9.80818900594022,1,Done,tetracene_A1=0_A2=4_theta=65_a=6.1_b=7.1_cx=0_cy=0_cz=0.log
6.0,7.3,65,0,2,-55.05074697849341,-0.525796903995797,-7.012607482844032,-9.993484551203435,2,Done,tetracene_A1=0_A2=2_theta=65_a=6_b=7.3_cx=0_cy=0_cz=0.log
6.1,7.1,65,0,6,-53.292024702299386,-0.6353890156606212,-6.843763367389329,-9.583429984049872,1,Done,tetracene_A1=0_A2=6_theta=65_a=6.1_b=7.1_cx=0_cy=0_cz=0.log
6.1,7.2,65,0,8,-52.72270746901632,-0.5998242588248104,-6.843645395361818,-9.458942040160764,1,Done,tetracene_A1=0_A2=8_theta=65_a=6.1_b=7.2_cx=0_cy=0_cz=0.log
6.0,7.4,65,0,10,-52.37158801406622,-0.5271196952089667,-7.012686549103819,-9.322993881360162,2,Done,tetracene_A1=0_A2=10_theta=65_a=6_b=7.4_cx=0_cy=0_cz=0.log
6.1,7.2,65,0,4,-54.43371639586985,-0.5757718005916104,-6.8439302848419175,-9.8985780562507,1,Done,tetracene_A1=0_A2=4_theta=65_a=6.1_b=7.2_cx=0_cy=0_cz=0.log
6.1,7.2,65,0,6,-53.71857336931862,-0.5857190889073536,-6.843763367389329,-9.714902114181314,1,Done,tetracene_A1=0_A2=6_theta=65_a=6.1_b=7.2_cx=0_cy=0_cz=0.log
6.1,7.3,65,0,8,-53.02394992019981,-0.5534977056086063,-6.843645395361818,-9.55741592956474,1,Done,tetracene_A1=0_A2=8_theta=65_a=6.1_b=7.3_cx=0_cy=0_cz=0.log
6.1,7.1,65,0,2,-54.69910543574952,-0.6182391672628,-6.844065827084705,-9.943623861763626,2,Done,tetracene_A1=0_A2=2_theta=65_a=6.1_b=7.1_cx=0_cy=0_cz=0.log
6.1,7.3,65,0,4,-54.39347292436287,-0.5312650263076648,-6.8439302848419175,-9.910770575515926,1,Done,tetracene_A1=0_A2=4_theta=65_a=6.1_b=7.3_cx=0_cy=0_cz=0.log
6.1,7.2,65,0,10,-51.45123917749152,-0.6182843480492011,-6.843654180527665,-9.131840530084446,2,Done,tetracene_A1=0_A2=10_theta=65_a=6.1_b=7.2_cx=0_cy=0_cz=0.log
6.1,7.3,65,0,6,-53.82037557172589,-0.5404555376153439,-6.843763367389329,-9.762984440429136,1,Done,tetracene_A1=0_A2=6_theta=65_a=6.1_b=7.3_cx=0_cy=0_cz=0.log
6.1,7.4,65,0,8,-53.02791578299366,-0.5113039331045002,-6.843645395361818,-9.579504281515256,1,Done,tetracene_A1=0_A2=8_theta=65_a=6.1_b=7.4_cx=0_cy=0_cz=0.log
5.9,7.4,65,0,4,-54.46453466638923,-0.4907253701239824,-7.036457882961258,-9.852542040054686,1,Done,tetracene_A1=0_A2=4_theta=65_a=5.9_b=7.4_cx=0_cy=0_cz=0.log
6.1,7.2,65,0,2,-54.86545582581312,-0.5698556361021474,-6.844065827084705,-10.009403224859852,2,Done,tetracene_A1=0_A2=2_theta=65_a=6.1_b=7.2_cx=0_cy=0_cz=0.log
5.9,7.4,65,0,6,-53.89527265448123,-0.4992281306767836,-7.036644880892709,-9.705881657835562,1,Done,tetracene_A1=0_A2=6_theta=65_a=5.9_b=7.4_cx=0_cy=0_cz=0.log
5.9,7.5,65,0,8,-53.09398254635744,-0.4728250199696049,-7.036736497539096,-9.51871487783501,1,Done,tetracene_A1=0_A2=8_theta=65_a=5.9_b=7.5_cx=0_cy=0_cz=0.log
6.1,7.3,65,0,10,-52.00919847865589,-0.5705860578455031,-6.843654180527665,-9.295179500477389,2,Done,tetracene_A1=0_A2=10_theta=65_a=6.1_b=7.3_cx=0_cy=0_cz=0.log
6.0,7.4,65,0,4,-54.477491493104026,-0.4907253701239824,-7.012676508980803,-9.867671933723614,1,Done,tetracene_A1=0_A2=4_theta=65_a=6_b=7.4_cx=0_cy=0_cz=0.log
6.0,7.4,65,0,6,-53.969963915180415,-0.4992281306767836,-7.012717924662866,-9.73651795112528,1,Done,tetracene_A1=0_A2=6_theta=65_a=6_b=7.4_cx=0_cy=0_cz=0.log
6.0,7.5,65,0,8,-53.13093786430545,-0.4728250199696049,-7.012721689534374,-9.539961111324374,1,Done,tetracene_A1=0_A2=8_theta=65_a=6_b=7.5_cx=0_cy=0_cz=0.log
6.1,7.3,65,0,2,-54.74045081390068,-0.525796903995797,-6.844065827084705,-10.00018133793492,2,Done,tetracene_A1=0_A2=2_theta=65_a=6.1_b=7.3_cx=0_cy=0_cz=0.log
6.1,7.4,65,0,4,-54.09974553296343,-0.4907253701239824,-6.8439302848419175,-9.857608555757906,1,Done,tetracene_A1=0_A2=4_theta=65_a=6.1_b=7.4_cx=0_cy=0_cz=0.log
6.1,7.4,65,0,6,-53.65017477958463,-0.4992281306767836,-6.843763367389329,-9.741047945863102,1,Done,tetracene_A1=0_A2=6_theta=65_a=6.1_b=7.4_cx=0_cy=0_cz=0.log
6.1,7.5,65,0,8,-52.78337513585575,-0.4728250199696049,-6.843645395361818,-9.537608576298226,1,Done,tetracene_A1=0_A2=8_theta=65_a=6.1_b=7.5_cx=0_cy=0_cz=0.log
6.1,7.4,65,0,10,-52.23777025099844,-0.5271196952089667,-6.843654180527665,-9.374055624881294,2,Done,tetracene_A1=0_A2=10_theta=65_a=6.1_b=7.4_cx=0_cy=0_cz=0.log
