a,b,theta,A1,A2,E,E_p1,E_p2,E_t,machine_type,status,file_name
6.0,8.0,65,0,26,-53.7866607143078,-0.6008056844584644,-7.479394601657987,-9.406565035518724,2,Done,tetracene_A1=0_A2=26_theta=65_a=6_b=8.0_cx=0_cy=0_cz=0.log
6.0,8.2,65,0,28,-54.86310893855989,-0.5656990099232644,-7.479527633753605,-9.693163912801538,2,Done,tetracene_A1=0_A2=28_theta=65_a=6_b=8.2_cx=0_cy=0_cz=0.log
6.0,8.3,65,0,30,-55.47375899949111,-0.57604288472794,-7.479542693938129,-9.840646960539743,2,Done,tetracene_A1=0_A2=30_theta=65_a=6_b=8.3_cx=0_cy=0_cz=0.log
6.0,8.5,65,0,32,-55.936615395359695,-0.5512662798864767,-7.479495003237389,-9.96877320727799,1,Done,tetracene_A1=0_A2=32_theta=65_a=6_b=8.5_cx=0_cy=0_cz=0.log
6.0,8.7,65,0,34,-55.812895524315536,-0.5321447952883318,-7.479441037285142,-9.947430964792147,1,Done,tetracene_A1=0_A2=34_theta=65_a=6_b=8.7_cx=0_cy=0_cz=0.log
5.9,7.9,65,0,26,-52.32390101870988,-0.6458508623763919,-7.57004783366574,-8.973025906656403,2,Done,tetracene_A1=0_A2=26_theta=65_a=5.9_b=7.9_cx=0_cy=0_cz=0.log
5.9,8.1,65,0,28,-54.13664312148467,-0.607258997275494,-7.570225419127382,-9.445418572169729,2,Done,tetracene_A1=0_A2=28_theta=65_a=5.9_b=8.1_cx=0_cy=0_cz=0.log
5.9,8.2,65,0,30,-54.79228564957157,-0.6178287756629288,-7.570411161985248,-9.603951443568803,2,Done,tetracene_A1=0_A2=30_theta=65_a=5.9_b=8.2_cx=0_cy=0_cz=0.log
5.9,8.0,65,0,26,-53.45409170945641,-0.6008056844584644,-7.57004783366574,-9.278096168302,2,Done,tetracene_A1=0_A2=26_theta=65_a=5.9_b=8.0_cx=0_cy=0_cz=0.log
5.9,8.2,65,0,28,-54.74724047258496,-0.5656990099232644,-7.570225419127382,-9.618847903620916,2,Done,tetracene_A1=0_A2=28_theta=65_a=5.9_b=8.2_cx=0_cy=0_cz=0.log
5.9,8.3,65,0,30,-55.35813400708139,-0.57604288472794,-7.570411161985248,-9.766306478413751,2,Done,tetracene_A1=0_A2=30_theta=65_a=5.9_b=8.3_cx=0_cy=0_cz=0.log
5.9,8.1,65,0,26,-54.120969176874496,-0.5591691409936175,-7.57004783366574,-9.465633806888944,2,Done,tetracene_A1=0_A2=26_theta=65_a=5.9_b=8.1_cx=0_cy=0_cz=0.log
5.9,8.3,65,0,28,-54.97351053752936,-0.5271598558174446,-7.570225419127382,-9.694684996909928,2,Done,tetracene_A1=0_A2=28_theta=65_a=5.9_b=8.3_cx=0_cy=0_cz=0.log
5.9,8.4,65,0,30,-55.546723352512345,-0.5373405780410394,-7.570411161985248,-9.832804968114942,2,Done,tetracene_A1=0_A2=30_theta=65_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
6.0,7.9,65,0,26,-52.888588482979685,-0.6458508623763919,-7.479394601657987,-9.159524388727732,2,Done,tetracene_A1=0_A2=26_theta=65_a=6_b=7.9_cx=0_cy=0_cz=0.log
6.0,8.1,65,0,28,-54.450503543019295,-0.607258997275494,-7.479527633753605,-9.569232570240274,2,Done,tetracene_A1=0_A2=28_theta=65_a=6_b=8.1_cx=0_cy=0_cz=0.log
5.9,8.4,65,0,32,-55.77181370020844,-0.5904191388981417,-7.570573059725575,-9.862457325740252,1,Done,tetracene_A1=0_A2=32_theta=65_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
6.0,8.2,65,0,30,-55.10601303959265,-0.6178287756629288,-7.479542693938129,-9.727817525097636,2,Done,tetracene_A1=0_A2=30_theta=65_a=6_b=8.2_cx=0_cy=0_cz=0.log
6.0,8.1,65,0,26,-54.25470034312457,-0.5591691409936175,-7.479394601657987,-9.54439321445534,2,Done,tetracene_A1=0_A2=26_theta=65_a=6_b=8.1_cx=0_cy=0_cz=0.log
6.0,8.3,65,0,28,-54.92180622369051,-0.5271598558174446,-7.479527633753605,-9.727107811137104,2,Done,tetracene_A1=0_A2=28_theta=65_a=6_b=8.3_cx=0_cy=0_cz=0.log
5.9,8.6,65,0,34,-55.947401037905365,-0.5691628652857617,-7.570596905075945,-9.916970374295488,1,Done,tetracene_A1=0_A2=34_theta=65_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
6.0,8.4,65,0,30,-55.494793135207146,-0.5373405780410394,-7.479542693938129,-9.865256647812204,2,Done,tetracene_A1=0_A2=30_theta=65_a=6_b=8.4_cx=0_cy=0_cz=0.log
6.1,7.9,65,0,26,-52.91897753742524,-0.6458508623763919,-7.204207621398382,-9.304715142468922,2,Done,tetracene_A1=0_A2=26_theta=65_a=6.1_b=7.9_cx=0_cy=0_cz=0.log
5.9,8.5,65,0,32,-55.956012984970585,-0.5512662798864767,-7.570573059725575,-9.92808357643662,1,Done,tetracene_A1=0_A2=32_theta=65_a=5.9_b=8.5_cx=0_cy=0_cz=0.log
6.1,8.1,65,0,28,-54.240955363959074,-0.607258997275494,-7.204208876239136,-9.654504904232454,2,Done,tetracene_A1=0_A2=28_theta=65_a=6.1_b=8.1_cx=0_cy=0_cz=0.log
6.1,8.2,65,0,30,-54.884963856544346,-0.6178287756629288,-7.2040607838425785,-9.810296184383333,2,Done,tetracene_A1=0_A2=30_theta=65_a=6.1_b=8.2_cx=0_cy=0_cz=0.log
5.9,8.7,65,0,34,-55.89124893350527,-0.5321447952883318,-7.570596905075945,-9.921441383194178,1,Done,tetracene_A1=0_A2=34_theta=65_a=5.9_b=8.7_cx=0_cy=0_cz=0.log
6.1,8.0,65,0,26,-53.60443432093598,-0.6008056844584644,-7.204207621398382,-9.498601927305572,2,Done,tetracene_A1=0_A2=26_theta=65_a=6.1_b=8.0_cx=0_cy=0_cz=0.log
