cx,cy,cz,a,b,theta,Rt,Rp,status
-1.0,0.9,18.5,7.2,5.9,25,2.2,2.1,NotYet
-0.9,1.0,18.6,7.2,5.9,25,2.2,2.1,NotYet
-0.8,1.0,18.6,7.2,5.9,25,2.2,2.1,NotYet
-0.7,1.1,18.6,7.2,5.9,25,2.2,2.1,NotYet
-0.6,1.1,18.6,7.2,5.9,25,2.2,2.1,NotYet
-0.5,1.2,18.6,7.2,5.9,25,2.2,2.1,NotYet
-0.4,1.2,18.6,7.2,5.9,25,2.2,2.1,NotYet
-0.3,1.3,18.6,7.2,5.9,25,2.2,2.1,NotYet
-0.2,1.3,18.6,7.2,5.9,25,2.2,2.1,NotYet
-0.1,1.4,18.6,7.2,5.9,25,2.2,2.1,NotYet
0.0,1.4,18.5,7.2,5.9,25,2.2,2.1,NotYet
0.1,1.4,18.6,7.2,5.9,25,2.2,2.1,NotYet
0.2,1.3,18.6,7.2,5.9,25,2.2,2.1,NotYet
0.3,1.2,18.6,7.2,5.9,25,2.2,2.1,NotYet
0.4,1.0,18.7,7.2,5.9,25,2.2,2.1,NotYet
0.5,0.9,18.7,7.2,5.9,25,2.2,2.1,NotYet
0.6,0.8,18.8,7.2,5.9,25,2.2,2.1,NotYet
0.7,0.6,18.8,7.2,5.9,25,2.2,2.1,NotYet
0.8,0.3,18.8,7.2,5.9,25,2.2,2.1,NotYet
0.9,0.0,18.8,7.2,5.9,25,2.2,2.1,NotYet
1.0,-0.2,18.8,7.2,5.9,25,2.2,2.1,NotYet
1.1,-0.5,18.6,7.2,5.9,25,2.2,2.1,NotYet
1.2,-0.8,18.5,7.2,5.9,25,2.2,2.1,NotYet
1.3,-0.8,18.4,7.2,5.9,25,2.2,2.1,NotYet
1.4,-0.9,18.5,7.2,5.9,25,2.2,2.1,NotYet
1.5,-0.9,18.6,7.2,5.9,25,2.2,2.1,NotYet
1.6,-1.0,18.5,7.2,5.9,25,2.2,2.1,NotYet
1.7,-1.1,18.6,7.2,5.9,25,2.2,2.1,NotYet
1.8,-1.2,18.6,7.2,5.9,25,2.2,2.1,NotYet
1.9,-1.2,18.6,7.2,5.9,25,2.2,2.1,NotYet
2.0,-1.3,18.6,7.2,5.9,25,2.2,2.1,NotYet
2.1,-1.4,18.6,7.2,5.9,25,2.2,2.1,NotYet
2.2,-1.5,18.6,7.2,5.9,25,2.2,2.1,NotYet
2.3,-1.5,18.7,7.2,5.9,25,2.2,2.1,NotYet
2.4,-1.6,18.6,7.2,5.9,25,2.2,2.1,NotYet
2.5,-1.6,18.7,7.2,5.9,25,2.2,2.1,NotYet
