cx,cy,cz,a,b,theta,Rt,Rp,A1,A2,status
1.5,-0.8,18.2,7.2,5.9,25,2.3,2.2,0,0,NotYet
1.4,-0.9,18.2,7.2,5.9,25,2.3,2.2,-0.1,-0.3,NotYet
1.4,-0.9,18.2,7.2,5.9,25,2.3,2.2,-0.2,-0.6,NotYet
1.4,-0.9,18.2,7.2,5.9,25,2.3,2.2,-0.3,-0.9,NotYet
1.4,-0.9,18.2,7.2,5.9,25,2.3,2.2,-0.4,-1.2,NotYet
0.1,1.4,18.4,7.2,5.9,25,2.3,2.2,0,0,NotYet
0.1,1.3,18.4,7.2,5.9,25,2.3,2.2,-0.1,-0.3,NotYet
0,1.3,18.4,7.2,5.9,25,2.3,2.2,-0.2,-0.6,NotYet
0,1.3,18.4,7.2,5.9,25,2.3,2.2,-0.3,-0.9,NotYet
0,1.3,18.4,7.2,5.9,25,2.3,2.2,-0.4,-1.2,NotYet
