cx,cy,cz,a,b,theta,Rt,Rp,E,E_p1,E_t1,E_t2,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.2,1.4,16,7.2,5.9,25,2.3,2.2,-82.6061236,-12.78772885,-9.232282291,-13.48278465,-1.117644256,-0.022646836,-1.789879404,-0.90269447,-0.019387549,-1.946511547,-0.04987826,-0.440975122,-2.163573531,-0.246457063,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.3_Rp=2.2.log
0.2,1.4,16,7.2,5.9,25,2.2,2.1,-82.59691866,-12.71286942,-9.349973046,-13.48278465,-1.117644256,-0.024106424,-1.783207717,-0.90269447,-0.020711595,-1.891719257,-0.053024595,-0.440975122,-2.142333573,-0.246457063,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.2_Rp=2.1.log
0.2,1.4,16,7.2,5.9,25,2.2,2.2,-82.5349602,-12.71286942,-9.232282291,-13.52087577,-1.117644256,-0.022646836,-1.789879404,-0.90269447,-0.019387549,-1.946511547,-0.053024595,-0.475759884,-2.142333573,-0.230952545,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.2_Rp=2.2.log
0.2,1.4,16,7.2,5.9,25,2.3,2.1,-82.52649447,-12.78772885,-9.349973046,-13.37046915,-1.117644256,-0.024106424,-1.783207717,-0.90269447,-0.020711595,-1.891719257,-0.04987826,-0.408715461,-2.163573531,-0.262867076,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.3_Rp=2.1.log
0.2,1.4,16,7.2,5.9,25,2.3,2.3,-82.5083701,-12.78772885,-9.12524791,-13.52087577,-1.117644256,-0.021272589,-1.754377398,-0.90269447,-0.018135039,-1.98621285,-0.04987826,-0.475759884,-2.163573531,-0.230952545,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.3_Rp=2.3.log
0.2,1.4,16,7.2,5.9,25,2.2,2,-82.48979141,-12.71286942,-9.474024243,-13.37046915,-1.117644256,-0.025640059,-1.7466904,-0.90269447,-0.022108432,-1.82640676,-0.053024595,-0.408715461,-2.142333573,-0.262867076,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.2_Rp=2.0.log
0.2,1.4,16,7.2,5.9,25,2.1,2,-82.41120582,-12.57995966,-9.474024243,-13.48278465,-1.117644256,-0.025640059,-1.7466904,-0.90269447,-0.022108432,-1.82640676,-0.056367341,-0.440975122,-2.104442636,-0.246457063,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.1_Rp=2.0.log
0.2,1.4,16,7.2,5.9,25,2.1,2.1,-82.37674548,-12.57995966,-9.349973046,-13.52087577,-1.117644256,-0.024106424,-1.783207717,-0.90269447,-0.020711595,-1.891719257,-0.056367341,-0.475759884,-2.104442636,-0.230952545,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.1_Rp=2.1.log
0.2,1.4,16,7.2,5.9,25,2.4,2.2,-82.35939295,-12.79506193,-9.232282291,-13.37046915,-1.117644256,-0.022646836,-1.789879404,-0.90269447,-0.019387549,-1.946511547,-0.046925198,-0.408715461,-2.163993335,-0.262867076,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.4_Rp=2.2.log
0.2,1.4,16,7.2,5.9,25,2.3,2,-82.29482656,-12.78772885,-9.474024243,-13.19263909,-1.117644256,-0.025640059,-1.7466904,-0.90269447,-0.022108432,-1.82640676,-0.04987826,-0.378780096,-2.163573531,-0.280197021,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.3_Rp=2.0.log
0.2,1.4,16,7.2,5.9,25,2.2,2.3,-82.2917185,-12.71286942,-9.12524791,-13.48278465,-1.117644256,-0.021272589,-1.754377398,-0.90269447,-0.018135039,-1.98621285,-0.053024595,-0.513051549,-2.142333573,-0.216379253,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.2_Rp=2.3.log
0.2,1.4,16,7.2,5.9,25,2.1,1.9,-82.28081928,-12.57995966,-9.599497378,-13.37046915,-1.117644256,-0.02727033,-1.690976297,-0.90269447,-0.023596886,-1.753999637,-0.056367341,-0.408715461,-2.104442636,-0.262867076,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.1_Rp=1.9.log
