cx,cy,cz,a,b,theta,Rt,Rp,status
-1.0,0.9,16.1,7.4,5.8,25,1.9,1.6,NotYet
-0.9,1.0,16.1,7.4,5.8,25,1.9,1.6,NotYet
-0.8,1.0,16.1,7.4,5.8,25,1.9,1.6,NotYet
-0.7,1.1,16.2,7.4,5.8,25,1.9,1.6,NotYet
-0.6,1.1,16.2,7.4,5.8,25,1.9,1.6,NotYet
-0.5,1.2,16.2,7.4,5.8,25,1.9,1.6,NotYet
-0.4,1.2,16.2,7.4,5.8,25,1.9,1.6,NotYet
-0.3,1.3,16.2,7.4,5.8,25,1.9,1.6,NotYet
-0.2,1.3,16.1,7.4,5.8,25,1.9,1.6,NotYet
-0.1,1.3,16.1,7.4,5.8,25,1.9,1.6,NotYet
0.0,1.4,16.1,7.4,5.8,25,1.9,1.6,NotYet
0.1,1.3,16.1,7.4,5.8,25,1.9,1.6,NotYet
0.2,1.3,16.1,7.4,5.8,25,1.9,1.6,NotYet
0.3,1.3,16.2,7.4,5.8,25,1.9,1.6,NotYet
0.4,1.2,16.2,7.4,5.8,25,1.9,1.6,NotYet
0.5,1.2,16.2,7.4,5.8,25,1.9,1.6,NotYet
0.6,1.0,16.2,7.4,5.8,25,1.9,1.6,NotYet
0.7,0.9,16.2,7.4,5.8,25,1.9,1.6,NotYet
0.8,0.8,16.3,7.4,5.8,25,1.9,1.6,NotYet
0.9,0.6,16.3,7.4,5.8,25,1.9,1.6,NotYet
1.0,0.2,16.3,7.4,5.8,25,1.9,1.6,NotYet
1.1,-0.1,16.2,7.4,5.8,25,1.9,1.6,NotYet
1.2,-0.8,16.0,7.4,5.8,25,1.9,1.6,NotYet
1.3,-0.7,16.0,7.4,5.8,25,1.9,1.6,NotYet
1.4,-0.7,15.9,7.4,5.8,25,1.9,1.6,NotYet
1.5,-0.8,16.0,7.4,5.8,25,1.9,1.6,NotYet
1.6,-0.9,16.0,7.4,5.8,25,1.9,1.6,NotYet
1.7,-1.0,16.0,7.4,5.8,25,1.9,1.6,NotYet
1.8,-1.1,16.1,7.4,5.8,25,1.9,1.6,NotYet
1.9,-1.1,16.1,7.4,5.8,25,1.9,1.6,NotYet
2.0,-1.2,16.0,7.4,5.8,25,1.9,1.6,NotYet
2.1,-1.2,16.1,7.4,5.8,25,1.9,1.6,NotYet
2.2,-1.3,16.2,7.4,5.8,25,1.9,1.6,NotYet
2.3,-1.3,16.2,7.4,5.8,25,1.9,1.6,NotYet
2.4,-1.4,16.3,7.4,5.8,25,1.9,1.6,NotYet
2.5,-1.5,16.3,7.4,5.8,25,1.9,1.6,NotYet
