cx,cy,cz,a,b,theta,Rt,Rp,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
2.0,-1.0,15.9,7.2,6.0,25,0.0,0.0,-3.543262825580314,-1.2395681936759502,-0.2792118296492845,-0.0464771557599306,-1.3267795336432755,-0.1869716246146708,-0.1103539087343961,-0.1806645215256139,-0.1240568445064127,-0.505410986719653,-1.1384493497898802,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=2.0_cy=-1.0_cz=15.9.log
2.0,-0.9,15.9,7.2,6.0,25,0.0,0.0,-3.567283281008713,-1.2919075479730964,-0.2661897419020533,-0.0494139024522155,-1.3471924338955432,-0.1729204205330461,-0.1153375930152833,-0.1782768461853265,-0.1270588523475453,-0.5368448452791199,-1.1036219173111022,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=2.0_cy=-0.9_cz=15.9.log
1.9,-0.8,15.8,7.2,6.0,25,0.0,0.0,-3.8687001792714,-1.4009179575368762,-0.2746812074910849,-0.059120227349922,-1.5201975682284683,-0.1833245365414768,-0.1273456243798136,-0.193391051958315,-0.141398710780777,-0.6132962710689753,-1.1378205846995115,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=-0.8_cz=15.8.log
1.8,-0.7,15.8,7.2,6.0,25,0.0,0.0,-3.916099774301984,-1.4364406710956246,-0.2664834165479988,-0.0658935699611902,-1.5503023606725037,-0.1763692158274352,-0.134491708362475,-0.2003068396588787,-0.1510240866336971,-0.6358163497643545,-1.1139620270114392,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.7_cz=15.8.log
1.8,-0.6,15.7,7.2,6.0,25,0.0,0.0,-4.148127872496843,-1.4995876299217343,-0.2685905953403562,-0.0753112402744591,-1.6366119685117155,-0.1787261434365064,-0.1479819184169173,-0.2063943141838535,-0.1616798340110108,-0.7341390093788505,-1.142509966972284,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.6_cz=15.7.log
1.8,-0.5,15.7,7.2,6.0,25,0.0,0.0,-4.165326038841158,-1.540835744701326,-0.2552007869817316,-0.0804430169519037,-1.6289858396630734,-0.1651857325341552,-0.1552422088570892,-0.2029047309188172,-0.1655340004945173,-0.7728011554572731,-1.1111394871259108,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.5_cz=15.7.log
1.8,-0.4,15.7,7.2,6.0,25,0.0,0.0,-4.175343608018011,-1.565901004243642,-0.2424949642736464,-0.0859487897250801,-1.6200513520743698,-0.1527898998465389,-0.162896575871855,-0.1993461216334253,-0.1693806366529315,-0.8111313487170264,-1.080444207997061,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.4_cz=15.7.log
1.8,-0.3,15.7,7.2,6.0,25,0.0,0.0,-4.179970239638351,-1.579261947190389,-0.230443007312715,-0.0917921629734337,-1.611006423132494,-0.1412863864097744,-0.1710002399049699,-0.1957159765297547,-0.1732046826509758,-0.8487304928712547,-1.0499240041244775,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.3_cz=15.7.log
1.8,-0.2,15.7,7.2,6.0,25,0.0,0.0,-4.18156223220285,-1.5857077296823263,-0.2191076667513698,-0.0981488390825688,-1.6029278594069185,-0.1308948209043592,-0.1796234825160354,-0.1920243351487442,-0.1770042555872351,-0.885292363120243,-1.019036079174839,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.2_cz=15.7.log
1.9,-0.1,15.7,7.2,6.0,25,0.0,0.0,-4.200665518990718,-1.6395254973322153,-0.2053739831317216,-0.1007806160487234,-1.64333573798649,-0.1165750424843281,-0.1862123373430222,-0.1795149232493713,-0.1725978803588077,-0.9225557893514632,-0.980095318867825,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=-0.1_cz=15.7.log
1.9,0.0,15.6,7.2,6.0,25,0.0,0.0,-4.394162620184943,-1.6932070953771472,-0.2058772458694875,-0.1173757454380393,-1.6932070953771472,-0.1173757454380393,-0.2058772458694875,-0.1839106307597831,-0.1839106307597831,-1.004943459876813,-1.00493781210389,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=0.0_cz=15.6.log
2.0,-1.0,15.8,7.2,6.0,25,0.0,0.0,-3.749980306951329,-1.2774861129000783,-0.2964269386138767,-0.0497138521168381,-1.444036052096635,-0.2062173562590032,-0.1154091292992234,-0.1889965992886573,-0.1293793842196464,-0.5543517468031496,-1.1826078559970483,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=2.0_cy=-1.0_cz=15.8.log
2.0,-1.0,16.0,7.2,6.0,25,0.0,0.0,-3.311114873620681,-1.175373920938,-0.2628262883517891,-0.0433973364997655,-1.2130521312355995,-0.1692570173181593,-0.1054756459780037,-0.1726217259420082,-0.1189056148286908,-0.4602377967676148,-1.074658565921709,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=2.0_cy=-1.0_cz=16.0.log
2.0,-0.9,15.8,7.2,6.0,25,0.0,0.0,-3.785186756053008,-1.3496372126974163,-0.2823619295377284,-0.0529329786077141,-1.4650752074085176,-0.1906714234501123,-0.1206902535632252,-0.1864733817055821,-0.132537642144598,-0.5888503639725968,-1.146640865597874,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=2.0_cy=-0.9_cz=15.8.log
2.0,-0.9,16.0,7.2,6.0,25,0.0,0.0,-3.3275700681842864,-1.2126743702683598,-0.250794411636889,-0.0460906096268445,-1.2324472104664892,-0.1566101806238293,-0.1101782058831304,-0.1703664548695087,-0.1217651779297739,-0.4886746675474569,-1.0423662735847756,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=2.0_cy=-0.9_cz=16.0.log
1.9,-0.8,15.7,7.2,6.0,25,0.0,0.0,-4.070586147368886,-1.4181631873361766,-0.2912863770034164,-0.063353409525007,-1.6316954279318452,-0.2017770954407751,-0.1333935656584799,-0.2023663272848352,-0.1475985096767544,-0.671235524234362,-1.1795512547250837,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=-0.8_cz=15.7.log
1.9,-0.8,15.9,7.2,6.0,25,0.0,0.0,-3.6312475713784806,-1.341674110852182,-0.2588641904294491,-0.0551531089004129,-1.4040630377130583,-0.1663943165913224,-0.1215248415246605,-0.184727648855187,-0.1354066178901121,-0.559329783427529,-1.07794671820011,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=-0.8_cz=15.9.log
1.8,-0.7,15.7,7.2,6.0,25,0.0,0.0,-4.122783056925982,-1.4391126087866724,-0.2826907448470592,-0.0706601361744105,-1.6417437454219908,-0.1938905497081577,-0.1410906033124774,-0.2097998107783496,-0.1578175099566579,-0.6955584394745529,-1.1750131025910378,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.7_cz=15.7.log
1.8,-0.7,15.9,7.2,6.0,25,0.0,0.0,-3.672040427511092,-1.38196464558132,-0.2510680062696337,-0.0614294637925922,-1.4450858765048906,-0.1603877909947186,-0.1281526021193713,-0.1911414285423234,-0.144461587187834,-0.5801066394196823,-1.0422865797299892,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.7_cz=15.9.log
1.8,-0.6,15.6,7.2,6.0,25,0.0,0.0,-4.301335379655939,-1.4459330149693417,-0.2845092690549791,-0.0807894023600965,-1.6928839278407397,-0.1959763932973146,-0.1552635442931205,-0.2160378877306357,-0.1688918062718585,-0.8002785632852465,-1.188449346460402,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.6_cz=15.6.log
1.8,-0.6,15.8,7.2,6.0,25,0.0,0.0,-3.9348673433996737,-1.4794188309460878,-0.2534236784558743,-0.0701367927249521,-1.553262952947989,-0.1630446682684123,-0.1409789067693054,-0.1970789281185716,-0.1546969027258455,-0.6714796256273985,-1.0814789718715474,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.6_cz=15.8.log
1.8,-0.5,15.6,7.2,6.0,25,0.0,0.0,-4.325754931312986,-1.5067926996853205,-0.2700840688776225,-0.086385536706075,-1.67337087681517,-0.1805634924676269,-0.1629806621931493,-0.2123587967362254,-0.1729386184597388,-0.8408395544392988,-1.1595292933052406,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.5_cz=15.6.log
1.8,-0.5,15.8,7.2,6.0,25,0.0,0.0,-3.9472882768604896,-1.5077973431907594,-0.2409977256320417,-0.0748167622368782,-1.5537461356725544,-0.1510567171499133,-0.1477999403141439,-0.1937750880606472,-0.158369718817994,-0.7076242018956691,-1.0494119559880346,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.5_cz=15.8.log
