cx,cy,cz,a,b,theta,Rt,Rp,status
3.6,-3.0,16.7,7.2,6.0,25,-0.2,-0.6,NotYet
3.6,-2.9,16.7,7.2,6.0,25,-0.2,-0.6,NotYet
3.6,-2.8,16.7,7.2,6.0,25,-0.2,-0.6,NotYet
3.6,-2.7,16.6,7.2,6.0,25,-0.2,-0.6,NotYet
3.6,-2.6,16.6,7.2,6.0,25,-0.2,-0.6,NotYet
0.0,-2.5,16.5,7.2,6.0,25,-0.2,-0.6,NotYet
0.0,-2.4,16.4,7.2,6.0,25,-0.2,-0.6,NotYet
0.0,-2.3,16.3,7.2,6.0,25,-0.2,-0.6,NotYet
0.0,-2.2,16.3,7.2,6.0,25,-0.2,-0.6,NotYet
0.0,-2.1,16.3,7.2,6.0,25,-0.2,-0.6,NotYet
0.0,-2.0,16.2,7.2,6.0,25,-0.2,-0.6,NotYet
0.0,-1.9,16.2,7.2,6.0,25,-0.2,-0.6,NotYet
0.0,-1.8,16.2,7.2,6.0,25,-0.2,-0.6,NotYet
0.0,-1.7,16.2,7.2,6.0,25,-0.2,-0.6,NotYet
0.0,-1.6,16.2,7.2,6.0,25,-0.2,-0.6,NotYet
0.0,-1.5,16.1,7.2,6.0,25,-0.2,-0.6,NotYet
0.0,-1.4,16.1,7.2,6.0,25,-0.2,-0.6,NotYet
1.9,-1.3,16.1,7.2,6.0,25,-0.2,-0.6,NotYet
1.8,-1.2,16.1,7.2,6.0,25,-0.2,-0.6,NotYet
1.8,-1.1,16.1,7.2,6.0,25,-0.2,-0.6,NotYet
1.7,-1.0,16.0,7.2,6.0,25,-0.2,-0.6,NotYet
1.7,-0.9,16.0,7.2,6.0,25,-0.2,-0.6,NotYet
1.6,-0.8,15.9,7.2,6.0,25,-0.2,-0.6,NotYet
1.6,-0.7,15.8,7.2,6.0,25,-0.2,-0.6,NotYet
1.6,-0.6,15.8,7.2,6.0,25,-0.2,-0.6,NotYet
1.6,-0.5,15.8,7.2,6.0,25,-0.2,-0.6,NotYet
1.6,-0.4,15.8,7.2,6.0,25,-0.2,-0.6,NotYet
1.6,-0.3,15.9,7.2,6.0,25,-0.2,-0.6,NotYet
1.7,-0.2,15.9,7.2,6.0,25,-0.2,-0.6,NotYet
1.7,-0.1,15.8,7.2,6.0,25,-0.2,-0.6,NotYet
1.7,0.0,15.8,7.2,6.0,25,-0.2,-0.6,NotYet
1.7,0.1,15.8,7.2,6.0,25,-0.2,-0.6,NotYet
1.8,0.2,15.8,7.2,6.0,25,-0.2,-0.6,NotYet
1.8,0.3,15.7,7.2,6.0,25,-0.2,-0.6,NotYet
1.8,0.4,15.6,7.2,6.0,25,-0.2,-0.6,NotYet
1.8,0.5,15.6,7.2,6.0,25,-0.2,-0.6,NotYet
1.9,0.6,15.6,7.2,6.0,25,-0.2,-0.6,NotYet
2.0,0.7,15.7,7.2,6.0,25,-0.2,-0.6,NotYet
2.0,0.8,15.8,7.2,6.0,25,-0.2,-0.6,NotYet
2.1,0.9,15.8,7.2,6.0,25,-0.2,-0.6,NotYet
2.2,1.0,15.8,7.2,6.0,25,-0.2,-0.6,NotYet
2.2,1.1,15.9,7.2,6.0,25,-0.2,-0.6,NotYet
2.3,1.2,15.9,7.2,6.0,25,-0.2,-0.6,NotYet
2.4,1.3,15.9,7.2,6.0,25,-0.2,-0.6,NotYet
2.4,1.4,15.9,7.2,6.0,25,-0.2,-0.6,NotYet
2.5,1.5,15.9,7.2,6.0,25,-0.2,-0.6,NotYet
2.5,1.6,15.9,7.2,6.0,25,-0.2,-0.6,NotYet
2.7,1.7,15.9,7.2,6.0,25,-0.2,-0.6,NotYet
2.9,1.8,16.0,7.2,6.0,25,-0.2,-0.6,NotYet
3.1,1.9,16.0,7.2,6.0,25,-0.2,-0.6,NotYet
3.4,2.0,15.9,7.2,6.0,25,-0.2,-0.6,NotYet
3.6,2.1,15.9,7.2,6.0,25,-0.2,-0.6,NotYet
3.6,2.2,15.9,7.2,6.0,25,-0.2,-0.6,NotYet
3.6,2.3,15.9,7.2,6.0,25,-0.2,-0.6,NotYet
3.6,2.4,16.0,7.2,6.0,25,-0.2,-0.6,NotYet
3.6,2.5,16.0,7.2,6.0,25,-0.2,-0.6,NotYet
3.6,2.6,16.0,7.2,6.0,25,-0.2,-0.6,NotYet
3.6,2.7,16.0,7.2,6.0,25,-0.2,-0.6,NotYet
3.6,2.8,16.1,7.2,6.0,25,-0.2,-0.6,NotYet
3.6,2.9,16.1,7.2,6.0,25,-0.2,-0.6,NotYet
3.6,3.0,16.1,7.2,6.0,25,-0.2,-0.6,NotYet
