cx,cy,cz,a,b,theta,Rt,Rp,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
3.6,-3.0,16.7,7.2,6.0,25,-0.2,-0.6,-2.017888299655169,-0.1932504894211888,-0.3177685539703816,-0.0001744476612657,-0.2253313108813017,-0.3469540441874414,-0.0293473876081407,-0.0745569732971489,-0.0317626735195517,-0.0603815224021673,-1.2947740135714412,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=3.6_cy=-3.0_cz=16.7.log
3.6,-2.9,16.7,7.2,6.0,25,-0.2,-0.6,-2.017666161176749,-0.2025602280627936,-0.3085215666797012,-0.0003313254565,-0.2310403969604522,-0.3301392861176282,-0.0301970362197607,-0.0745394028490409,-0.0324228141689673,-0.064075045986101,-1.2952339784242213,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=3.6_cy=-2.9_cz=16.7.log
3.6,-2.8,16.7,7.2,6.0,25,-0.2,-0.6,-2.0187191227450967,-0.2119289522524923,-0.2993674506433308,-0.0004932228475809,-0.2368109787348657,-0.3134839155245572,-0.0310692749917507,-0.0745004974305629,-0.033086719806306,-0.0679718831088393,-1.2965831249020994,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=3.6_cy=-2.8_cz=16.7.log
3.6,-2.7,16.6,7.2,6.0,25,-0.2,-0.6,-2.1044037307146937,-0.2441164501942694,-0.3061884841881692,-0.0009136544540524,-0.2577898933086544,-0.3265963646117598,-0.0330434215720742,-0.076934608630836,-0.0348870459711179,-0.0776405571959912,-1.3306173847522589,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=3.6_cy=-2.7_cz=16.6.log
3.6,-2.6,16.6,7.2,6.0,25,-0.2,-0.6,-2.114308976219036,-0.2544590700417757,-0.2966791978105902,-0.0011244979687035,-0.2641754348296672,-0.3087738256435841,-0.0340160620398819,-0.0768379720393568,-0.0355823270510882,-0.0823920629918575,-1.3398825699696315,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=3.6_cy=-2.6_cz=16.6.log
0.0,-2.5,16.5,7.2,6.0,25,-0.2,-0.6,-2.6313389383722097,-0.6508307817857713,-0.7554379536304623,-0.0256726893130689,-0.6508307817857713,-0.7554379536304623,-0.0256726893130689,-0.4743523793295026,-0.078064126544632,-0.0873675898183137,-0.5596134179504588,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=0.0_cy=-2.5_cz=16.5.log
0.0,-2.4,16.4,7.2,6.0,25,-0.2,-0.6,-2.847216810914688,-0.7357015090528876,-0.7853927712421864,-0.0281224881764501,-0.7357015090528876,-0.7853927712421864,-0.0281224881764501,-0.5121153036598116,-0.086147082853131,-0.0964802899397909,-0.6032573659904301,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=0.0_cy=-2.4_cz=16.4.log
0.0,-2.3,16.3,7.2,6.0,25,-0.2,-0.6,-3.063607358839363,-0.8127760523930192,-0.8177208311390132,-0.0308396064210683,-0.8127760523930192,-0.8177208311390132,-0.0308396064210683,-0.5517877407837659,-0.0951129456516355,-0.1066045361803844,-0.6487656462704763,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=0.0_cy=-2.3_cz=16.3.log
0.0,-2.2,16.3,7.2,6.0,25,-0.2,-0.6,-3.074070460628718,-0.8368912616278976,-0.8045155107975006,-0.0321322770323604,-0.8368912616278976,-0.8045155107975006,-0.0321322770323604,-0.546943991095759,-0.0991836029570549,-0.1113158813677728,-0.6430879357503727,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=0.0_cy=-2.2_cz=16.3.log
0.0,-2.1,16.3,7.2,6.0,25,-0.2,-0.6,-3.075432157260366,-0.8615323242265731,-0.7826932230964303,-0.0334914636332541,-0.8615323242265731,-0.7826932230964303,-0.0334914636332541,-0.5415122645208612,-0.1033960775239393,-0.1161997917806729,-0.6366070124786347,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=0.0_cy=-2.1_cz=16.3.log
