cx,cy,cz,a,b,theta,Rt,Rp,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.8,0.5,15.6,7.2,6.0,25,-0.2,-0.6,-4.445908036199398,-1.67337087681517,-0.2160793035291135,-0.1046849831473082,-1.5067926996853205,-0.1313039574306458,-0.1905434115324169,-0.1884958463488146,-0.1764740097569301,-1.0494125835830346,-1.1201379804406315,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=1.8_cy=0.5_cz=15.6.log
1.8,0.5,15.5,7.2,6.0,25,-0.2,-0.6,-4.543426541495137,-1.673900495050475,-0.2261320138350129,-0.1148117394186556,-1.3733734062407166,-0.1407304126769304,-0.2021736819297075,-0.1966497113462537,-0.184967357548885,-1.1111394871259108,-1.1851091108983385,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=1.8_cy=0.5_cz=15.5.log
1.8,0.5,15.7,7.2,6.0,25,-0.2,-0.6,-4.266812603455037,-1.6289858396630734,-0.2063679588027298,-0.0954844316001981,-1.540835744701326,-0.1226782051380723,-0.1795431612990796,-0.1805917301680892,-0.16831261490006,-0.9791145205963404,-1.0518460671883076,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=1.8_cy=0.5_cz=15.7.log
1.8,0.5,15.4,7.2,6.0,25,-0.2,-0.6,-4.52526483341353,-1.6130163375055415,-0.2365223243832588,-0.1259073715191334,-1.1027195581700653,-0.1510102814063429,-0.2144691126886755,-0.2050809354986995,-0.1937750880606472,-1.1595292933052406,-1.245057023712434,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=1.8_cy=0.5_cz=15.4.log
1.7,0.4,15.5,7.2,6.0,25,-0.2,-0.6,-4.389816172479186,-1.4547790233045816,-0.2426894926466047,-0.1115813180804252,-1.1923763043014333,-0.1592319174669683,-0.195179455447942,-0.2113591732922941,-0.1906965238740667,-1.0837223201524466,-1.226119399536401,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=1.7_cy=0.4_cz=15.5.log
1.7,0.5,15.5,7.2,6.0,25,-0.2,-0.6,-4.379997209878638,-1.5116540195886046,-0.2298029472585767,-0.1197452230844646,-1.1280822569970042,-0.1470895991660654,-0.2048380894120782,-0.2062556344317272,-0.1941453190520405,-1.116893753875047,-1.192096434766427,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=1.7_cy=0.5_cz=15.5.log
1.7,0.6,15.5,7.2,6.0,25,-0.2,-0.6,-4.352583180065267,-1.5715548691805452,-0.2175966226495802,-0.1286797106731683,-1.0369213693775237,-0.1364482843782752,-0.2150702672079205,-0.2011665283935144,-0.1975144201423972,-1.150057657272555,-1.1507090125232935,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=1.7_cy=0.6_cz=15.5.log
1.8,0.4,15.5,7.2,6.0,25,-0.2,-0.6,-4.551035727839917,-1.6383307185024023,-0.2386495829559862,-0.1069841799326241,-1.436399255413562,-0.1523468778468668,-0.1928689633496105,-0.2013328186003491,-0.1817664292175322,-1.080444835475646,-1.2047018555458635,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=1.8_cy=0.4_cz=15.5.log
1.8,0.6,15.5,7.2,6.0,25,-0.2,-0.6,-4.515086621104274,-1.7101956738624722,-0.2143065877025947,-0.1234538073185831,-1.2839971566572783,-0.1305597305763512,-0.2120582193601876,-0.19197538937442,-0.1880892197368666,-1.1425093394936994,-1.155227084760554,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=1.8_cy=0.6_cz=15.5.log
1.9,0.4,15.5,7.2,6.0,25,-0.2,-0.6,-4.603112155455165,-1.7564130402170122,-0.2344000854063779,-0.1026091803796589,-1.6112222864758223,-0.145647580968216,-0.1904015941545367,-0.1919051081640646,-0.1733276747399941,-1.059656684170477,-1.1578758045798168,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=1.9_cy=0.4_cz=15.5.log
1.9,0.5,15.5,7.2,6.0,25,-0.2,-0.6,-4.604226299445145,-1.7745694145560265,-0.2222734547685831,-0.1100953745190054,-1.552402009256184,-0.1345607342664152,-0.1993963227141648,-0.1875740342075005,-0.176255008787848,-1.086886853212491,-1.156861748197116,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=1.9_cy=0.5_cz=15.5.log
1.9,0.6,15.5,7.2,6.0,25,-0.2,-0.6,-4.582203522266354,-1.791737460764125,-0.210934976581484,-0.1184337274171412,-1.4684919993160293,-0.1248380944598466,-0.2088905489072203,-0.1832322926493361,-0.1791497124359011,-1.1156500289216638,-1.14250808453653,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=1.9_cy=0.6_cz=15.5.log
2.0,0.4,15.5,7.2,6.0,25,-0.2,-0.6,-4.54893451067619,-1.8174936084542423,-0.2299824152141809,-0.0984688692260533,-1.7222520234063268,-0.1391603827942162,-0.1877585221081972,-0.1829235575860366,-0.1653419823851436,-1.019666726817377,-1.0834443332860246,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=2.0_cy=0.4_cz=15.5.log
2.0,0.5,15.5,7.2,6.0,25,-0.2,-0.6,-4.565116111247335,-1.8219702651258558,-0.21831700415350497,-0.10561620816588402,-1.6698285829043016,-0.12859687907621264,-0.19648216618224978,-0.17889996361918747,-0.1680390202673152,-1.0424384374637157,-1.1053331370931119,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=2.0_cy=0.5_cz=15.5.log
2.0,0.6,15.5,7.2,6.0,25,-0.2,-0.6,-4.555977996787988,-1.8243686081841588,-0.2074548059608787,-0.1136521010193973,-1.594402508577332,-0.1193047112319618,-0.205640047090128,-0.1748663291800767,-0.1706871126079931,-1.067745288135484,-1.1102678758325055,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=-0.2_Rp=-0.6_cx=2.0_cy=0.6_cz=15.5.log
