cx,cy,cz,a,b,theta,Rt,Rp,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.2,1.5,13.5,7.2,6,25,2.1,1.9,-5.599897985,-1.136179646,-0.02670055,-1.716994117,-0.843416111,-0.023284386,-1.786475789,-0.055583581,-0.426042267,-2.100155488,-0.251591349,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.2_cy=1.5_cz=13.5.log
0.1,1.5,13.5,7.2,6,25,2.1,1.9,-5.575750145,-1.066526036,-0.025864707,-1.748138693,-0.917878957,-0.024156625,-1.783197677,-0.056132652,-0.449750222,-2.043761792,-0.243224131,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.1_cy=1.5_cz=13.5.log
0.3,1.5,13.5,7.2,6,25,2.1,1.9,-5.564385939,-1.199932152,-0.027508783,-1.677812393,-0.771828515,-0.022404617,-1.780483069,-0.054998114,-0.403760014,-2.105504383,-0.260138663,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.3_cy=1.5_cz=13.5.log
0.3,1.4,13.5,7.2,6,25,2.1,1.9,-5.558274619,-1.149854344,-0.028491464,-1.692935384,-0.770747943,-0.02321536,-1.710637441,-0.056636543,-0.397006124,-2.143505134,-0.273185851,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.3_cy=1.4_cz=13.5.log
0.2,1.4,13.5,7.2,6,25,2.1,1.9,-5.556219524,-1.08779486,-0.027649346,-1.714569418,-0.828186443,-0.024125249,-1.725908524,-0.05726719,-0.418634511,-2.112267686,-0.263933216,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.2_cy=1.4_cz=13.5.log
0.1,1.6,13.5,7.2,6,25,2.1,1.9,-5.551663802,-1.08526725,-0.024971133,-1.698486337,-0.921252451,-0.023320782,-1.78367333,-0.054435238,-0.457456045,-2.039212972,-0.232073906,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.1_cy=1.6_cz=13.5.log
0.2,1.6,13.5,7.2,6,25,2.1,1.9,-5.548769725,-1.159221813,-0.025780621,-1.640607325,-0.835862145,-0.022473643,-1.808614342,-0.053929464,-0.433161368,-2.075706443,-0.239692505,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.2_cy=1.6_cz=13.5.log
0.2,1.5,13.4,7.2,6,25,2.1,1.9,-5.545748892,-1.014982365,-0.028303211,-1.765869616,-0.58014178,-0.024754014,-1.856562381,-0.059024846,-0.459715081,-2.123841481,-0.267860801,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.2_cy=1.5_cz=13.4.log
0.1,1.5,13.4,7.2,6,25,2.1,1.9,-5.544812647,-0.908460032,-0.027443522,-1.804781511,-0.68804589,-0.025665159,-1.850150484,-0.059652983,-0.486332173,-2.087953556,-0.258600636,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.1_cy=1.5_cz=13.4.log
0.2,1.5,13.6,7.2,6,25,2.1,1.9,-5.518367493,-1.16591609,-0.025175701,-1.653865356,-0.970661333,-0.021890059,-1.710838244,-0.052346884,-0.394811722,-2.060828809,-0.236206687,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.2_cy=1.5_cz=13.6.log
