cx,cy,cz,a,b,theta,Rt,Rp,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.5,-0.8,13.2,7.2,6.0,25.0,2.1,1.9,-5.059379068785347,-0.8646108884131536,-0.0916001447476446,-0.2677158463047817,-1.4967280668206513,-0.0397590334760025,-0.3248456115834415,-0.0829524294822476,-0.1614212998538278,-1.8799867020570675,-1.3923888417193666,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=1.5_cy=-0.8_cz=13.2.log
1.4,-0.9,13.1,7.3,5.9,25.5,2.1,1.9,-4.77434080891544,0.0901807170594111,-0.1054856858681887,-0.2986608744831756,-1.340475566801615,-0.0502974364208057,-0.3431274879258126,-0.0903225344372913,-0.1699974791845306,-1.9885980153921992,-1.5014896126813255,3,Done,tetracene_a=7.3_b=5.9_theta=25.5_Rt=2.1_Rp=1.9_cx=1.4_cy=-0.9_cz=13.1.log
1.4,-0.9,13.2,7.3,5.9,25.5,2.1,1.9,-5.022184040921275,-0.5025489135878161,-0.0982868913561105,-0.2806375321233645,-1.4449459415627643,-0.0457203786354512,-0.3297678002854809,-0.0854160336893983,-0.1622289051883854,-2.0064920905279,-1.4170932827400975,3,Done,tetracene_a=7.3_b=5.9_theta=25.5_Rt=2.1_Rp=1.9_cx=1.4_cy=-0.9_cz=13.2.log
1.4,-0.9,13.3,7.3,5.9,25.5,2.1,1.9,-5.086680146341678,-0.8729366910411045,-0.0915788093116134,-0.2636282461462542,-1.477487355354242,-0.0415361417690292,-0.3167783431708812,-0.0807812449056655,-0.1547251407173462,-1.9942575280438173,-1.324943439278286,3,Done,tetracene_a=7.3_b=5.9_theta=25.5_Rt=2.1_Rp=1.9_cx=1.4_cy=-0.9_cz=13.3.log
1.4,-0.8,13.1,7.3,5.9,25.5,2.1,1.9,-4.764054664992727,-0.0621925160521641,-0.1018185176653787,-0.3267068064305931,-1.208987121586688,-0.0482454788871109,-0.3649472658289596,-0.0892156067420728,-0.1746975289424881,-1.972980546415784,-1.4707121296669357,3,Done,tetracene_a=7.3_b=5.9_theta=25.5_Rt=2.1_Rp=1.9_cx=1.4_cy=-0.8_cz=13.1.log
1.4,-0.8,13.2,7.3,5.9,25.5,2.1,1.9,-5.0365458623855375,-0.6142720491625369,-0.0949623433407396,-0.3068197594257071,-1.3574986580060795,-0.0438893043901771,-0.3505283411359414,-0.0843913097633048,-0.1666766962152905,-2.0172658096416853,-1.3842268190346658,3,Done,tetracene_a=7.3_b=5.9_theta=25.5_Rt=2.1_Rp=1.9_cx=1.4_cy=-0.8_cz=13.2.log
1.4,-0.8,13.3,7.3,5.9,25.5,2.1,1.9,-5.120761469530407,-0.9548756919102744,-0.0885830767219886,-0.2878777425503358,-1.4218849492026493,-0.0398795155342668,-0.3365198078099638,-0.0798192720394581,-0.1589470279286615,-2.0250958795077167,-1.2920888981898315,3,Done,tetracene_a=7.3_b=5.9_theta=25.5_Rt=2.1_Rp=1.9_cx=1.4_cy=-0.8_cz=13.3.log
1.4,-0.7,13.1,7.3,5.9,25.5,2.1,1.9,-4.691176908556372,-0.1758006914751604,-0.0982592809014022,-0.3576066538225859,-1.0706663471646607,-0.0462750975275412,-0.3884098646230995,-0.0880729110212996,-0.1794258168083615,-1.9188653390738184,-1.4363038738956675,3,Done,tetracene_a=7.3_b=5.9_theta=25.5_Rt=2.1_Rp=1.9_cx=1.4_cy=-0.7_cz=13.1.log
1.4,-0.7,13.2,7.3,5.9,25.5,2.1,1.9,-5.000042977801058,-0.6958922746125609,-0.0917369419476017,-0.3355484222993254,-1.2644916359568017,-0.042095880722627,-0.37299068889115,-0.0833245427929796,-0.1711295069544576,-1.99518436024664,-1.3490266455919482,3,Done,tetracene_a=7.3_b=5.9_theta=25.5_Rt=2.1_Rp=1.9_cx=1.4_cy=-0.7_cz=13.2.log
1.4,-0.7,13.3,7.3,5.9,25.5,2.1,1.9,-5.112834762956481,-1.0126404974143952,-0.0856864904053509,-0.3147063051583245,-1.3612787782913074,-0.0382743449881672,-0.3579492742428556,-0.0788246686570346,-0.163175190333277,-2.027937244682107,-1.2576298140338622,3,Done,tetracene_a=7.3_b=5.9_theta=25.5_Rt=2.1_Rp=1.9_cx=1.4_cy=-0.7_cz=13.3.log
