cx,cy,cz,a,b,theta,Rt,Rp,A1,A2,status
1.65,-0.8,13.2,7.45,5.75,25,1.7,1.5,0,0,NotYet
1.65,-0.8,13.2,7.45,5.75,25,1.7,1.5,-0.1,-0.3,NotYet
1.65,-0.85,13.2,7.45,5.75,25,1.7,1.5,-0.2,-0.6,NotYet
1.6,-0.9,13.2,7.4,5.75,25,1.7,1.5,-0.3,-0.9,NotYet
1.6,-0.95,13.2,7.4,5.75,25,1.7,1.5,-0.4,-1.2,NotYet
1.6,-1,13.1,7.4,5.75,25,1.7,1.5,-0.5,-1.5,NotYet
1.6,-1,13.1,7.4,5.75,25,1.7,1.5,-0.6,-1.8,NotYet
1.55,-1.05,13.1,7.4,5.75,25,1.7,1.5,-0.7,-2.1,NotYet
1.55,-1.05,13.1,7.4,5.75,25,1.7,1.5,-0.8,-2.4,NotYet
1.55,-1.1,13.1,7.4,5.75,25,1.7,1.5,-0.9,-2.7,NotYet
1.55,-1.15,13.1,7.45,5.7,25,1.7,1.5,-1,-3,NotYet
