cx,cy,cz,a,b,theta,Rt,Rp,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-3.6,-2.0,11.6,7.3,5.9,25,2.1,1.9,-4.580413235875312,-1.195160566130653,-0.2369553060270846,-0.1701568666612729,-1.885649979580193,-0.256256258697249,-0.0907894019037485,-1.35206002893392,-1.0158263656776398,-0.1531864861608483,-0.1418561656028032,3,Done,tetracene_a=7.3_b=5.9_theta=25_Rt=2.1_Rp=1.9_cx=-3.6_cy=-2.0_cz=11.6.log
-3.5,-1.7,11.8,7.3,5.9,25,2.1,1.9,-4.397480893123429,-1.3231977066025138,-0.1662412042496726,-0.1905057608382776,-1.8271183569449927,-0.21762046799995,-0.1137863883050158,-1.1217839392484166,-1.0504103243001737,-0.1625056371558457,-0.1435460499487817,3,Done,tetracene_a=7.3_b=5.9_theta=25_Rt=2.1_Rp=1.9_cx=-3.5_cy=-1.7_cz=11.8.log
-3.4,-1.7,12.0,7.3,5.9,25,2.1,1.9,-4.0292128444998525,-1.3022514226613566,-0.141878756112419,-0.1880383915267884,-1.7157290568575263,-0.2033144949236884,-0.1083571716444566,-0.9445029516355136,-0.945456139394082,-0.1637192415073514,-0.1457498650997877,3,Done,tetracene_a=7.3_b=5.9_theta=25_Rt=2.1_Rp=1.9_cx=-3.4_cy=-1.7_cz=12.0.log
-3.3,-1.6,12.2,7.3,5.9,25,2.1,1.9,-3.703316781378817,-1.313313168939203,-0.1120845812838524,-0.1931274977978319,-1.6399509493494406,-0.1825890948530286,-0.1123870409792289,-0.7426599675090984,-0.8696196732926182,-0.1675614852574654,-0.146749488718342,3,Done,tetracene_a=7.3_b=5.9_theta=25_Rt=2.1_Rp=1.9_cx=-3.3_cy=-1.6_cz=12.2.log
-3.2,-1.5,12.4,7.3,5.9,25,2.1,1.9,-3.410899003385566,-1.307694444316439,-0.0883722333237528,-0.1979605796514079,-1.578699698089622,-0.1630421582376584,-0.1158697213977575,-0.5709669564967044,-0.7958665404003114,-0.171294542204123,-0.1469515467761084,3,Done,tetracene_a=7.3_b=5.9_theta=25_Rt=2.1_Rp=1.9_cx=-3.2_cy=-1.5_cz=12.4.log
-3.1,1.8,13.5,7.3,5.9,25,2.1,1.9,-3.196139981155284,-0.7642155636567622,-0.0032969374442473,-0.6735855494625866,-0.6124698402127251,-0.0351857406785711,-1.1929755763849244,-0.0478551676496863,-1.241283806040883,-0.1949918298050761,-0.0711445737397298,3,Done,tetracene_a=7.3_b=5.9_theta=25_Rt=2.1_Rp=1.9_cx=-3.1_cy=1.8_cz=13.5.log
-3.0,1.8,13.5,7.3,5.9,25,2.1,1.9,-3.2678518240572885,-0.7950363446725532,-0.0035705319605767,-0.7121711390791461,-0.644320992869325,-0.0352710821898654,-1.2234637772198766,-0.0481306444271467,-1.2307146552484485,-0.2083615580340847,-0.0737280323519371,3,Done,tetracene_a=7.3_b=5.9_theta=25_Rt=2.1_Rp=1.9_cx=-3.0_cy=1.8_cz=13.5.log
-2.9,1.7,13.5,7.3,5.9,25,2.1,1.9,-3.288520120549947,-0.8451405081432313,-0.0041603913996368,-0.7173217412782833,-0.6981124050216749,-0.0363980899564921,-1.1746849146438765,-0.050538400246296,-1.200370781472884,-0.2216428070678375,-0.0780591065413318,3,Done,tetracene_a=7.3_b=5.9_theta=25_Rt=2.1_Rp=1.9_cx=-2.9_cy=1.7_cz=13.5.log
-2.8,1.7,13.5,7.3,5.9,25,2.1,1.9,-3.361337008827832,-0.8714356872951612,-0.0044992468319833,-0.757592823007144,-0.7350953344721347,-0.0364420157857239,-1.189884461928159,-0.0508847859455272,-1.1950080810929649,-0.2370230772066861,-0.0809462799225002,3,Done,tetracene_a=7.3_b=5.9_theta=25_Rt=2.1_Rp=1.9_cx=-2.8_cy=1.7_cz=13.5.log
-2.7,1.6,13.5,7.3,5.9,25,2.1,1.9,-3.391148126393091,-0.9190913066267968,-0.0051832324825227,-0.7607943790499121,-0.796367920935154,-0.0375727886566892,-1.1381826580036432,-0.053455694403965,-1.1709185997606255,-0.2523556566447951,-0.0858220327063463,3,Done,tetracene_a=7.3_b=5.9_theta=25_Rt=2.1_Rp=1.9_cx=-2.7_cy=1.6_cz=13.5.log
-2.6,1.6,13.4,7.3,5.9,25,2.1,1.9,-3.587137069669552,-0.9971522956620902,-0.0061709333676844,-0.8349108401453122,-0.912897782982327,-0.0392319251550361,-1.1408859712537378,-0.0583389771636575,-1.1929912639898248,-0.2778570353984833,-0.0923249188344925,3,Done,tetracene_a=7.3_b=5.9_theta=25_Rt=2.1_Rp=1.9_cx=-2.6_cy=1.6_cz=13.4.log
-2.5,1.5,13.4,7.3,5.9,25,2.1,1.9,-3.641361463582143,-1.036756961606443,-0.0070130516542121,-0.8363290126435459,-0.9903287518536672,-0.0404618447646498,-1.0937787955626843,-0.0613008243381045,-1.1838616210152395,-0.2957416979479603,-0.0981231112382374,3,Done,tetracene_a=7.3_b=5.9_theta=25_Rt=2.1_Rp=1.9_cx=-2.5_cy=1.5_cz=13.4.log
-2.4,1.3,13.4,7.3,5.9,25,2.1,1.9,-3.6723836754099466,-1.124297116883099,-0.008349648094736,-0.7910428709583357,-1.0990034436108544,-0.0430522060487419,-1.0249133380129931,-0.0670921141281724,-1.1410133555764332,-0.3121410442981869,-0.1068078496027737,3,Done,tetracene_a=7.3_b=5.9_theta=25_Rt=2.1_Rp=1.9_cx=-2.4_cy=1.3_cz=13.4.log
