a,b,theta,Rt,A2,cx,cy,cz,status
5.9,7.2,65.0,2.3,0.0,0.0,0.9,11.4,NotYet
5.9,7.2,65.0,2.3,1.0,0.0,0.9,11.3,NotYet
6.0,7.2,65.0,2.2,2.0,0.0,1.0,11.3,NotYet
5.9,7.3,65.0,2.2,3.0,0.0,1.1,11.3,NotYet
5.9,7.3,65.0,2.1,4.0,0.0,1.2,11.2,NotYet
5.9,7.3,65.0,2.1,5.0,0.0,1.3,11.2,NotYet
5.9,7.4,65.0,2.0,6.0,0.0,1.4,11.1,NotYet
5.9,7.4,65.0,2.0,7.0,0.0,1.4,11.0,NotYet
5.9,7.5,65.0,2.0,8.0,0.0,1.5,10.9,NotYet
5.9,7.5,65.0,1.9,9.0,0.0,1.5,10.8,NotYet
5.9,7.6,65.0,1.9,10.0,0.0,1.5,10.8,NotYet
5.9,7.7,65.0,1.8,11.0,0.0,1.6,10.8,NotYet
5.9,7.7,65.0,1.8,12.0,0.0,1.7,10.9,NotYet
5.9,7.8,65.0,1.8,13.0,0.0,1.8,10.9,NotYet
