cx,cy,cz,a,b,theta,A1,A2,E,E_p1,E_p2,E_t,E_i01,E_ip1,E_ip2,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0,6.6,8.9,6,8.3,70,-7,32,-52.70911811,-5.556235839,-0.349713833,-7.194282923,-1.238826477,-0.140484429,-0.171226144,-0.069802957,-2.184950287,-2.184950287,-0.069802957,3,Done,anthracene_cx=0_cz=8.9_theta=70_A1=-7_A2=32_a=6_b=8.3_cy=6.6.log
0,6.6,8.9,6,8.3,71,-8,32,-52.7535659,-5.554032024,-0.337462328,-7.16178418,-1.355007443,-0.134987441,-0.176105661,-0.069937872,-2.177871974,-2.177871974,-0.069937872,3,Done,anthracene_cx=0_cz=8.9_theta=71_A1=-8_A2=32_a=6_b=8.3_cy=6.6.log
0,6.5,8.9,6,8.3,72,-9,32,-52.69894994,-5.550576954,-0.325774326,-7.120512847,-1.387135955,-0.132799941,-0.195396574,-0.073509659,-2.184873103,-2.184873103,-0.073509659,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-9_A2=32_a=6_b=8.3_cy=6.5.log
0,6.4,8.9,6,8.3,72,-10,31,-52.75532293,-5.689389696,-0.308467601,-7.030026533,-1.530362603,-0.134176698,-0.210793159,-0.076391185,-2.145818136,-2.145818136,-0.076391185,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-10_A2=31_a=6_b=8.3_cy=6.4.log
0,6.6,8.9,5.9,8.2,70,-7,32,-52.0344294,-5.5280506,-0.376689233,-7.047540337,-1.238826477,-0.14777233,-0.18420556,-0.0721762,-2.151118713,-2.151118713,-0.0721762,3,Done,anthracene_cx=0_cz=8.9_theta=70_A1=-7_A2=32_a=5.9_b=8.2_cy=6.6.log
0,6.6,8.9,5.9,8.3,70,-7,32,-52.43894494,-5.5280506,-0.349713833,-7.139826978,-1.238826477,-0.14777233,-0.18420556,-0.07043235,-2.175192506,-2.175192506,-0.07043235,3,Done,anthracene_cx=0_cz=8.9_theta=70_A1=-7_A2=32_a=5.9_b=8.3_cy=6.6.log
0,6.6,8.9,5.9,8.4,70,-7,32,-52.5726623,-5.5280506,-0.324659869,-7.169547106,-1.238826477,-0.14777233,-0.18420556,-0.068735563,-2.193125487,-2.193125487,-0.068735563,3,Done,anthracene_cx=0_cz=8.9_theta=70_A1=-7_A2=32_a=5.9_b=8.4_cy=6.6.log
0,6.6,8.9,6,8.2,70,-7,32,-52.45060156,-5.556235839,-0.376689233,-7.133105718,-1.238826477,-0.140484429,-0.171226144,-0.071527982,-2.166285629,-2.166285629,-0.071527982,3,Done,anthracene_cx=0_cz=8.9_theta=70_A1=-7_A2=32_a=6_b=8.2_cy=6.6.log
0,6.6,8.9,6,8.4,70,-7,32,-52.71795596,-5.556235839,-0.324659869,-7.197591783,-1.238826477,-0.140484429,-0.171226144,-0.068128761,-2.198052068,-2.198052068,-0.068128761,3,Done,anthracene_cx=0_cz=8.9_theta=70_A1=-7_A2=32_a=6_b=8.4_cy=6.6.log
0,6.6,8.9,6.1,8.2,70,-7,32,-52.39116382,-5.414703469,-0.376689233,-7.191385709,-1.238826477,-0.133623235,-0.15907504,-0.070877255,-2.174069263,-2.174069263,-0.070877255,3,Done,anthracene_cx=0_cz=8.9_theta=70_A1=-7_A2=32_a=6.1_b=8.2_cy=6.6.log
