a,b,theta,Rt,A2,cx,cy,cz,status
6.0,7.2,65.0,2.2,0.0,0.0,1.0,9.0,NotYet
6.0,7.2,65.0,2.2,1.0,0.0,1.0,8.9,NotYet
6.0,7.2,65.0,2.1,2.0,0.0,1.0,8.9,NotYet
6.0,7.2,65.0,2.1,3.0,0.0,1.0,8.9,NotYet
5.9,7.3,65.0,2.0,4.0,0.0,1.2,8.8,NotYet
5.9,7.3,65.0,2.0,5.0,0.0,1.2,8.8,NotYet
5.9,7.3,65.0,2.0,6.0,0.0,1.2,8.7,NotYet
5.9,7.3,65.0,1.9,7.0,0.0,1.4,8.8,NotYet
5.9,7.3,65.0,1.9,8.0,0.0,1.4,8.7,NotYet
5.9,7.4,65.0,1.8,9.0,0.0,1.5,8.5,NotYet
5.9,7.4,65.0,1.8,10.0,0.0,1.5,8.5,NotYet
5.9,7.4,65.0,1.7,11.0,0.0,1.5,8.4,NotYet
5.9,7.4,65.0,1.7,12.0,0.0,1.5,8.5,NotYet
5.8,7.5,65.0,1.6,13.0,0.0,1.4,8.4,NotYet
5.8,7.5,65.0,1.6,14.0,0.0,1.6,8.5,NotYet
5.8,7.5,65.0,1.6,15.0,0.0,1.6,8.6,NotYet
5.9,7.5,65.0,1.5,16.0,0.0,2.4,8.8,NotYet
5.9,7.5,65.0,1.5,17.0,0.0,2.6,9.0,NotYet
5.9,7.5,65.0,1.4,18.0,0.0,2.6,8.9,NotYet
5.9,7.5,65.0,1.4,19.0,0.0,2.8,8.9,NotYet
6.0,7.5,65.0,1.4,20.0,0.0,2.8,8.9,NotYet
