cx,cy,cz,a,b,theta,A1,A2,status
0,4.9,7,5.9,8,73,-14,29,NotYet
0,4.9,7.1,5.9,8,73,-14,29,NotYet
0,4.8,7,5.9,8,73,-14,29,NotYet
0,5,7,5.9,8,73,-14,29,NotYet
0,5,7.1,5.9,8,73,-14,29,NotYet
0,4.8,7.1,5.9,8,73,-14,29,NotYet
0,4.9,6.9,5.9,8,73,-14,29,NotYet
0,4.9,7,5.9,8,73,-15,29,NotYet
0,4.9,7.1,5.9,8,73,-15,29,NotYet
0,4.8,7,5.9,8,73,-15,29,NotYet
0,4.8,6.9,5.9,8,73,-14,29,NotYet
0,5,7.1,5.9,8,73,-15,29,NotYet
0,5,7,5.9,8,73,-15,29,NotYet
0,4.8,7.1,5.9,8,73,-15,29,NotYet
0,5,6.9,5.9,8,73,-14,29,NotYet
0,4.9,7.2,5.9,8,73,-15,29,NotYet
0,4.9,6.9,5.9,8,73,-15,29,NotYet
0,4.9,7.1,5.9,8,73,-16,29,NotYet
0,5,7.2,5.9,8,73,-15,29,NotYet
0,4.9,7,5.9,8,73,-16,29,NotYet
0,4.8,7.2,5.9,8,73,-15,29,NotYet
0,5,7.1,5.9,8,73,-16,29,NotYet
0,4.8,6.9,5.9,8,73,-15,29,NotYet
0,4.8,7.1,5.9,8,73,-16,29,NotYet
0,5,7,5.9,8,73,-16,29,NotYet
0,4.8,7,5.9,8,73,-16,29,NotYet
0,5,6.9,5.9,8,73,-15,29,NotYet
0,4.9,7.2,5.9,8,73,-16,29,NotYet
0,5,7.2,5.9,8,73,-16,29,NotYet
0,4.8,7.2,5.9,8,73,-16,29,NotYet
0,4.9,7.3,5.9,8,73,-15,29,NotYet
0,4.9,6.9,5.9,8,73,-16,29,NotYet
0,5,7.3,5.9,8,73,-15,29,NotYet
0,4.8,7.3,5.9,8,73,-15,29,NotYet
0,4.8,6.9,5.9,8,73,-16,29,NotYet
0,5,6.9,5.9,8,73,-16,29,NotYet
0,4.9,7.4,5.9,8,73,-15,29,NotYet
0,5,7.4,5.9,8,73,-15,29,NotYet
0,4.8,7.4,5.9,8,73,-15,29,NotYet
0,4.9,7,5.9,8,73,-13,29,NotYet
0,4.9,7,5.9,8.1,72,-12,30,NotYet
