cx,cy,cz,a,b,theta,A1,A2,status
-3.0,4.0,7.4,5.9,8,73,-13,29,NotYet
-2.9,4.0,7.4,5.9,8,73,-13,29,NotYet
-2.8,4.0,7.5,5.9,8,73,-13,29,NotYet
-2.7,4.1,7.5,5.9,8,73,-13,29,NotYet
-2.6,4.1,7.6,5.9,8,73,-13,29,NotYet
-2.5,4.2,7.6,5.9,8,73,-13,29,NotYet
-2.4,4.2,7.7,5.9,8,73,-13,29,NotYet
-2.3,4.3,7.7,5.9,8,73,-13,29,NotYet
-2.2,4.4,7.8,5.9,8,73,-13,29,NotYet
-2.1,4.4,7.7,5.9,8,73,-13,29,NotYet
-2.0,4.5,7.8,5.9,8,73,-13,29,NotYet
-1.9,4.5,7.8,5.9,8,73,-13,29,NotYet
-1.8,4.6,7.8,5.9,8,73,-13,29,NotYet
-1.7,4.6,7.8,5.9,8,73,-13,29,NotYet
-1.6,4.7,7.8,5.9,8,73,-13,29,NotYet
-1.5,4.7,7.7,5.9,8,73,-13,29,NotYet
-1.4,4.7,7.7,5.9,8,73,-13,29,NotYet
-1.3,4.8,7.7,5.9,8,73,-13,29,NotYet
-1.2,4.8,7.6,5.9,8,73,-13,29,NotYet
-1.1,4.9,7.6,5.9,8,73,-13,29,NotYet
-1.0,4.9,7.6,5.9,8,73,-13,29,NotYet
-0.9,4.9,7.6,5.9,8,73,-13,29,NotYet
-0.8,4.9,7.5,5.9,8,73,-13,29,NotYet
-0.7,4.9,7.5,5.9,8,73,-13,29,NotYet
-0.6,4.9,7.5,5.9,8,73,-13,29,NotYet
-0.5,4.9,7.4,5.9,8,73,-13,29,NotYet
-0.4,4.9,7.4,5.9,8,73,-13,29,NotYet
-0.3,4.9,7.3,5.9,8,73,-13,29,NotYet
-0.2,4.9,7.3,5.9,8,73,-13,29,NotYet
-0.1,4.9,7.2,5.9,8,73,-13,29,NotYet
0.0,4.8,7.1,5.9,8,73,-13,29,NotYet
0.1,4.9,7.2,5.9,8,73,-13,29,NotYet
0.2,4.9,7.3,5.9,8,73,-13,29,NotYet
0.3,4.9,7.3,5.9,8,73,-13,29,NotYet
0.4,4.9,7.4,5.9,8,73,-13,29,NotYet
0.5,4.9,7.4,5.9,8,73,-13,29,NotYet
0.6,4.9,7.5,5.9,8,73,-13,29,NotYet
0.7,4.9,7.5,5.9,8,73,-13,29,NotYet
0.8,4.9,7.5,5.9,8,73,-13,29,NotYet
0.9,4.9,7.6,5.9,8,73,-13,29,NotYet
1.0,4.9,7.6,5.9,8,73,-13,29,NotYet
1.1,4.9,7.6,5.9,8,73,-13,29,NotYet
1.2,4.8,7.6,5.9,8,73,-13,29,NotYet
1.3,4.8,7.7,5.9,8,73,-13,29,NotYet
1.4,4.7,7.7,5.9,8,73,-13,29,NotYet
1.5,4.7,7.7,5.9,8,73,-13,29,NotYet
1.6,4.7,7.8,5.9,8,73,-13,29,NotYet
1.7,4.6,7.8,5.9,8,73,-13,29,NotYet
1.8,4.6,7.8,5.9,8,73,-13,29,NotYet
1.9,4.5,7.8,5.9,8,73,-13,29,NotYet
2.0,4.5,7.8,5.9,8,73,-13,29,NotYet
2.1,4.4,7.7,5.9,8,73,-13,29,NotYet
2.2,4.4,7.8,5.9,8,73,-13,29,NotYet
2.3,4.3,7.7,5.9,8,73,-13,29,NotYet
2.4,4.2,7.7,5.9,8,73,-13,29,NotYet
2.5,4.2,7.6,5.9,8,73,-13,29,NotYet
2.6,4.1,7.6,5.9,8,73,-13,29,NotYet
2.7,4.1,7.5,5.9,8,73,-13,29,NotYet
2.8,4.0,7.5,5.9,8,73,-13,29,NotYet
2.9,4.0,7.4,5.9,8,73,-13,29,NotYet
3.0,4.0,7.4,5.9,8,73,-13,29,NotYet
