cx,cy,cz,a,b,theta,A1,A2,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-0.1,4.9,7,5.9,8,73,-13,29,-5.977055027,-1.48546991,-0.162183097,-0.16757027,-1.544538054,-0.194322904,-0.14650225,-0.084263298,-1.942182356,-2.019083706,-0.081232425,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-0.1_cy=4.9_cz=7.0.log
0.1,4.9,7,5.9,8,73,-13,29,-5.977055027,-1.544538054,-0.14650225,-0.194322904,-1.48546991,-0.16757027,-0.162183097,-0.081232425,-2.019083706,-1.942182356,-0.084263298,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=0.1_cy=4.9_cz=7.0.log
0,4.8,7,5.9,8,73,-13,29,-5.953505518,-1.407528148,-0.158143188,-0.194162262,-1.407528148,-0.194162262,-0.158143188,-0.087137921,-2.009698039,-2.009698039,-0.087137921,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=0.0_cy=4.8_cz=7.0.log
-0.1,4.9,7.1,5.9,8,73,-13,29,-5.933483242,-1.466578721,-0.154237565,-0.156361687,-1.499449578,-0.180905485,-0.139464097,-0.081206069,-1.988178839,-1.987315385,-0.078284383,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-0.1_cy=4.9_cz=7.1.log
0.1,4.9,7.1,5.9,8,73,-13,29,-5.933483242,-1.499449578,-0.139464097,-0.180905485,-1.466578721,-0.156361687,-0.154237565,-0.078284383,-1.987315385,-1.988178839,-0.081206069,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=0.1_cy=4.9_cz=7.1.log
0,4.8,7.1,5.9,8,73,-13,29,-5.912858557,-1.426080481,-0.150323158,-0.181012162,-1.426080481,-0.181012162,-0.150323158,-0.083900597,-1.993820781,-1.993820781,-0.083900597,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=0.0_cy=4.8_cz=7.1.log
-0.1,4.9,6.9,5.9,8,73,-13,29,-5.851768576,-1.470638084,-0.170368337,-0.179386284,-1.564010317,-0.208538516,-0.15372991,-0.087356295,-1.809335351,-1.997526228,-0.08421498,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-0.1_cy=4.9_cz=6.9.log
0.1,4.9,6.9,5.9,8,73,-13,29,-5.851767949,-1.564010317,-0.15372991,-0.208538516,-1.470638084,-0.179386284,-0.170368337,-0.08421498,-1.9975256,-1.809335351,-0.087356295,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=0.1_cy=4.9_cz=6.9.log
0,4.8,6.9,5.9,8,73,-13,29,-5.832194657,-1.344015978,-0.166213594,-0.208264294,-1.344015978,-0.208264294,-0.166213594,-0.090417916,-1.96643248,-1.96643248,-0.090417916,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=0.0_cy=4.8_cz=6.9.log
0,4.9,7,5.9,8,73,-13,29,-6.014566633,-1.524854948,-0.154114573,-0.18040034,-1.524854948,-0.18040034,-0.154114573,-0.082757901,-1.994840485,-1.994840485,-0.082757901,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=0_cy=4.9_cz=7.log
0,4.9,6.9,5.9,8,73,-13,29,-5.902383533,-1.528794455,-0.161785883,-0.193477021,-1.528794455,-0.193477021,-0.161785883,-0.085796305,-1.923367096,-1.923366468,-0.085796305,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=0_cy=4.9_cz=6.9.log
0,4.9,7.1,5.9,8,73,-13,29,-5.961545176,-1.491178996,-0.146654735,-0.168253629,-1.491178996,-0.168253629,-0.146654735,-0.079755266,-1.997973642,-1.997973642,-0.079755266,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=0_cy=4.9_cz=7.1.log
