cx,cy,cz,a,b,theta,A1,A2,status
-1,4.9,7.6,5.9,8,73,-13,29,InProgress
-0.9,4.9,7.6,5.9,8,73,-13,29,InProgress
-0.8,4.9,7.5,5.9,8,73,-13,29,InProgress
-0.7,4.9,7.5,5.9,8,73,-13,29,InProgress
-0.6,4.9,7.5,5.9,8,73,-13,29,InProgress
-0.5,4.9,7.4,5.9,8,73,-13,29,InProgress
-0.4,4.9,7.4,5.9,8,73,-13,29,InProgress
-0.3,4.9,7.3,5.9,8,73,-13,29,InProgress
-0.2,4.9,7.3,5.9,8,73,-13,29,InProgress
-0.1,4.9,7.2,5.9,8,73,-13,29,InProgress
0,4.8,7.1,5.9,8,73,-13,29,InProgress
0.1,4.9,7.2,5.9,8,73,-13,29,InProgress
0.2,4.9,7.3,5.9,8,73,-13,29,InProgress
0.3,4.9,7.3,5.9,8,73,-13,29,InProgress
0.4,4.9,7.4,5.9,8,73,-13,29,InProgress
0.5,4.9,7.4,5.9,8,73,-13,29,InProgress
0.6,4.9,7.5,5.9,8,73,-13,29,InProgress
0.7,4.9,7.5,5.9,8,73,-13,29,InProgress
0.8,4.9,7.5,5.9,8,73,-13,29,InProgress
0.9,4.9,7.6,5.9,8,73,-13,29,InProgress
1,4.9,7.6,5.9,8,73,-13,29,InProgress
