theta,a,b,status
5,7.0,9.5,NotYet
35,8.3,7.8,NotYet
30,6.2,10.4,NotYet
30,6.2,8.6,NotYet
40,8.2,7.2,NotYet
20,4.0,12.8,NotYet
30,10.1,6.3,NotYet
30,5.5,10.4,NotYet
30,6.5,7.6,NotYet
35,7.1,9.4,NotYet
10,5.8,8.9,NotYet
25,6.6,6.5,NotYet
25,7.0,7.8,NotYet
35,7.3,8.0,NotYet
15,5.1,13.0,NotYet
20,8.3,7.7,NotYet
30,5.5,12.5,NotYet
35,8.0,7.6,NotYet
45,10.9,6.7,NotYet
35,7.8,10.8,NotYet
15,8.2,8.7,NotYet
20,7.0,7.5,NotYet
5,5.6,12.1,NotYet
15,4.6,10.2,NotYet
5,5.2,12.8,NotYet
30,8.6,6.7,NotYet
10,4.8,10.3,NotYet
25,5.8,10.4,NotYet
45,8.1,5.5,NotYet
5,6.1,12.2,NotYet
25,7.5,9.9,NotYet
25,7.4,10.6,NotYet
35,7.5,5.9,NotYet
5,4.3,12.3,NotYet
25,4.3,12.5,NotYet
35,6.0,12.9,NotYet
40,9.6,4.8,NotYet
20,4.7,12.6,NotYet
25,7.4,8.8,NotYet
30,8.7,8.0,NotYet
15,7.7,8.6,NotYet
20,6.3,6.9,NotYet
45,6.6,7.7,NotYet
15,4.1,14.1,NotYet
15,5.1,11.7,NotYet
45,6.4,6.2,NotYet
20,3.4,12.2,NotYet
20,5.5,13.2,NotYet
40,9.2,7.8,NotYet
20,7.0,8.5,NotYet
40,8.4,7.4,NotYet
30,5.1,9.6,NotYet
40,5.4,9.2,NotYet
45,12.1,5.6,NotYet
20,6.2,5.9,NotYet
10,7.2,10.7,NotYet
15,3.5,13.9,NotYet
25,5.9,7.8,NotYet
25,6.2,9.3,NotYet
5,4.6,14.0,NotYet
15,5.0,11.0,NotYet
10,7.2,7.9,NotYet
5,6.0,6.5,NotYet
20,3.7,12.7,NotYet
20,5.9,9.1,NotYet
40,8.1,7.8,NotYet
40,7.9,8.0,NotYet
40,7.2,11.2,NotYet
5,6.7,9.9,NotYet
10,4.5,13.0,NotYet
45,8.6,8.5,NotYet
30,5.5,12.5,NotYet
20,5.6,12.5,NotYet
20,7.5,8.5,NotYet
15,5.2,9.7,NotYet
5,4.7,14.1,NotYet
15,4.2,11.4,NotYet
25,6.2,7.2,NotYet
20,6.1,6.8,NotYet
45,12.5,5.6,NotYet
25,3.9,12.6,NotYet
10,4.7,9.9,NotYet
10,5.7,10.5,NotYet
15,3.9,11.8,NotYet
10,4.0,11.7,NotYet
40,11.6,6.0,NotYet
30,5.0,10.7,NotYet
20,5.2,10.7,NotYet
5,4.5,14.6,NotYet
30,7.8,8.7,NotYet
15,5.3,12.8,NotYet
20,6.1,7.9,NotYet
40,11.1,6.5,NotYet
25,5.6,8.6,NotYet
5,6.1,11.4,NotYet
25,5.2,10.9,NotYet
5,5.7,11.3,NotYet
15,6.5,7.3,NotYet
35,5.8,10.1,NotYet
40,10.6,7.1,NotYet
20,6.3,10.4,NotYet
25,4.7,13.0,NotYet
25,9.0,6.9,NotYet
35,8.8,7.2,NotYet
45,6.6,10.5,NotYet
5,4.9,10.9,NotYet
30,3.7,11.2,NotYet
35,8.3,7.7,NotYet
15,4.6,14.5,NotYet
10,6.3,10.5,NotYet
45,12.0,5.9,NotYet
45,5.5,11.3,NotYet
5,6.4,12.3,NotYet
10,4.7,10.3,NotYet
45,11.8,5.8,NotYet
30,6.9,6.7,NotYet
10,4.3,13.5,NotYet
25,6.7,12.1,NotYet
20,5.3,11.8,NotYet
5,5.7,9.3,NotYet
45,7.0,9.0,NotYet
10,7.6,9.6,NotYet
30,7.2,9.7,NotYet
20,7.5,11.2,NotYet
15,4.9,11.9,NotYet
10,5.4,8.6,NotYet
45,6.3,8.9,NotYet
20,7.6,8.8,NotYet
10,5.5,10.8,NotYet
25,4.9,11.0,NotYet
20,5.8,13.4,NotYet
25,4.6,10.6,NotYet
5,5.6,13.2,NotYet
25,7.1,7.5,NotYet
10,3.8,11.3,NotYet
20,4.6,10.4,NotYet
30,4.8,13.2,NotYet
25,8.2,8.1,NotYet
40,5.2,9.1,NotYet
25,7.0,7.3,NotYet
25,5.7,11.2,NotYet
5,5.7,11.5,NotYet
5,4.1,12.2,NotYet
20,6.0,6.9,NotYet
15,5.0,13.9,NotYet
15,7.1,10.7,NotYet
5,6.5,7.2,NotYet
20,7.2,8.4,NotYet
40,8.1,9.7,NotYet
45,9.7,8.2,NotYet
