theta,x1,y1,z1,x2,y2,z2,E,E1,E2,E3,E4,status
,3.5,1.1,1.4,1.4,7.2,0.0,-9.415160040021874,-5.356339391146321,-1.2244997961097397,-0.166321525524836,-2.667999327240977,Done
,3.5,1.1,1.4,1.3,7.1,-0.1,-9.618095519021152,-5.356339391146321,-1.3272407533950172,-0.1832743356353603,-2.751241038844455,Done
,3.5,1.1,1.4,1.3,7.1,0.0,-9.653501515684184,-5.356339391146321,-1.326953981362749,-0.181966604781337,-2.788241538393777,Done
,3.5,1.1,1.4,1.3,7.1,0.1,-9.68454820039915,-5.356339391146321,-1.3272407533950172,-0.180571022501681,-2.82039703335613,Done
,3.5,1.1,1.4,1.3,7.2,-0.1,-9.316424479126,-5.356339391146321,-1.221649645769503,-0.1731883673928678,-2.565247074817308,Done
,3.5,1.1,1.4,1.3,7.2,0.0,-9.349179246055428,-5.356339391146321,-1.2218184458906762,-0.1719578203046694,-2.5990635887137614,Done
,3.5,1.1,1.4,1.3,7.2,0.1,-9.378084239258897,-5.356339391146321,-1.221649645769503,-0.1706463244045153,-2.6294488779385574,Done
,3.5,1.1,1.4,1.3,7.3,-0.1,-9.007817571109626,-5.356339391146321,-1.107937303604558,-0.1636150748236104,-2.379925801535137,Done
,3.5,1.1,1.4,1.3,7.3,0.0,-9.03831204713788,-5.356339391146321,-1.1083370275446214,-0.1624592014704831,-2.411176426976453,Done
,3.5,1.1,1.4,1.3,7.3,0.1,-9.0652221859782,-5.356339391146321,-1.107937303604558,-0.1612261442933231,-2.439719346933998,Done
,3.5,1.1,1.4,1.4,7.1,-0.1,-9.685892326757312,-5.356339391146321,-1.3421064652502537,-0.1770450438489206,-2.8104014265118167,Done
,3.5,1.1,1.4,1.4,7.1,0.0,-9.725897344469558,-5.356339391146321,-1.3421811390435323,-0.1757969264872372,-2.851579887792468,Done
,3.5,1.1,1.4,1.4,7.1,0.1,-9.75768009829335,-5.356339391146321,-1.3421064652502537,-0.174467860313598,-2.884766381583177,Done
,3.5,1.1,1.4,1.4,7.2,-0.1,-9.378692296275403,-5.356339391146321,-1.2241289376979694,-0.1674955966882407,-2.6307283707428724,Done
,3.5,1.1,1.4,1.4,7.2,0.1,-9.44530436542118,-5.356339391146321,-1.2241289376979694,-0.165070898074191,-2.6997651385026984,Done
,3.5,1.1,1.4,1.4,7.3,-0.1,-9.067241513053888,-5.356339391146321,-1.1041302004596218,-0.1584218020434491,-2.4483501194044948,Done
,3.5,1.1,1.4,1.4,7.3,0.0,-9.100283679668792,-5.356339391146321,-1.104637228534557,-0.1573173844953999,-2.481989675492514,Done
,3.5,1.1,1.4,1.4,7.3,0.1,-9.12854045489803,-5.356339391146321,-1.1041302004596218,-0.1561401757062412,-2.5119306875858456,Done
,3.5,1.1,1.4,1.5,7.1,-0.1,-9.709139689861331,-5.356339391146321,-1.3448386437958106,-0.1709130161325447,-2.837048638786655,Done
,3.5,1.1,1.4,1.5,7.1,0.0,-9.754201810399536,-5.356339391146321,-1.3451768716913648,-0.1697270222357474,-2.882958525326103,Done
,3.5,1.1,1.4,1.5,7.1,0.1,-9.78583521710243,-5.356339391146321,-1.3448386437958106,-0.1684607071219943,-2.916196475038305,Done
,3.5,1.1,1.4,1.5,7.2,-0.1,-9.408822188910564,-5.356339391146321,-1.2186162623693235,-0.1618887947988696,-2.6719777405960485,Done
,3.5,1.1,1.4,1.5,7.2,0.0,-9.44951809500344,-5.356339391146321,-1.2191320755518973,-0.1607693170080892,-2.7132773112971336,Done
,3.5,1.1,1.4,1.5,7.2,0.1,-9.48012803279562,-5.356339391146321,-1.218617517442908,-0.1595770479761995,-2.7455940762301907,Done
,3.5,1.1,1.4,1.5,7.3,-0.1,-9.103372283861972,-5.356339391146321,-1.0954147139564157,-0.1533013205626048,-2.498316858196631,Done
,3.5,1.1,1.4,1.5,7.3,0.0,-9.140006317582449,-5.356339391146321,-1.0959844930912368,-0.152248986181803,-2.5354334471630864,Done
,3.5,1.1,1.4,1.5,7.3,0.1,-9.169268363853917,-5.356339391146321,-1.0954147139564157,-0.1511288808542303,-2.5663853778969496,Done
,3.5,1.1,1.4,1.4,7.0,0.0,-10.01905056356918,-5.356339391146321,-1.4488666240940802,-0.1857611577725038,-3.028083390556276,Done
,3.5,1.1,1.4,1.4,7.0,0.1,-10.052234547503758,-5.356339391146321,-1.4493385116220452,-0.1843473777989857,-3.0622092669364065,Done
,3.5,1.1,1.4,1.4,7.0,0.2,-10.073665896430612,-5.356339391146321,-1.4506405948777683,-0.1828488838509656,-3.083837026555557,Done
,3.5,1.1,1.4,1.4,7.1,0.2,-9.780264810891822,-5.356339391146321,-1.3417933378368616,-0.1730559628340415,-2.909076119074598,Done
,3.5,1.1,1.4,1.4,7.2,0.2,-9.468316412298009,-5.356339391146321,-1.222963651700411,-0.1637430869741365,-2.7252702824771404,Done
,3.5,1.1,1.4,1.5,7.0,0.0,-10.040633770055138,-5.356339391146321,-1.4673003578791397,-0.179133397177793,-3.037860623851884,Done
,3.5,1.1,1.4,1.5,7.0,0.1,-10.07256649894407,-5.356339391146321,-1.467316045658663,-0.1777911532553844,-3.071119908883702,Done
,3.5,1.1,1.4,1.5,7.0,0.2,-10.084403847635258,-5.356339391146321,-1.467271492467262,-0.176366078085266,-3.084426885936409,Done
,3.5,1.1,1.4,1.5,7.1,0.2,-9.802476782235315,-5.356339391146321,-1.3437530515366234,-0.167117835721001,-2.935266503831372,Done
,3.5,1.1,1.4,1.5,7.2,0.2,-9.499690029595511,-5.356339391146321,-1.217044977354817,-0.158313870371785,-2.76799179072259,Done
,3.5,1.1,1.4,1.6,7.0,0.0,-9.98716238781344,-5.356339391146321,-1.4697583145461977,-0.172643688682001,-2.988420993438922,Done
,3.5,1.1,1.4,1.6,7.0,0.1,-10.01442706992384,-5.356339391146321,-1.469442677043844,-0.171367960923817,-3.0172770408098586,Done
,3.5,1.1,1.4,1.6,7.0,0.2,-10.011693636333804,-5.356339391146321,-1.46842548326822,-0.1700169319519773,-3.016911829967285,Done
,3.5,1.1,1.4,1.6,7.1,0.0,-9.72746423695935,-5.356339391146321,-1.3375388199929148,-0.1637738349381834,-2.8698121908819303,Done
,3.5,1.1,1.4,1.6,7.1,0.1,-9.756994229974223,-5.356339391146321,-1.3370154767180793,-0.1625715256668627,-2.9010678364429623,Done
,3.5,1.1,1.4,1.6,7.1,0.2,-9.763741217495408,-5.356339391146321,-1.3354046584572643,-0.1612976804608479,-2.910699487430975,Done
,3.5,1.1,1.4,1.6,7.2,0.0,-9.443706097372342,-5.356339391146321,-1.2069452038849704,-0.1553175100707449,-2.7251039922703058,Done
,3.5,1.1,1.4,1.6,7.2,0.1,-9.47376821906073,-5.356339391146321,-1.206336519215256,-0.1541854821261949,-2.7569068265729584,Done
,3.5,1.1,1.4,1.6,7.2,0.2,-9.487062018277356,-5.356339391146321,-1.2045211326912977,-0.1529863104806281,-2.7732151839591097,Done
,3.5,1.1,1.4,1.4,6.9,0.1,-10.312521930376532,-5.356339391146321,-1.5359041437041014,-0.1947251381352543,-3.2255532573908567,Done
,3.5,1.1,1.4,1.4,6.9,0.2,-10.331469594850205,-5.356339391146321,-1.5396039426559582,-0.1931331452797167,-3.242393115768209,Done
,3.5,1.1,1.4,1.4,6.9,0.3,-10.334051798505245,-5.356339391146321,-1.545323068741709,-0.1914520460413769,-3.240937292575836,Done
,3.5,1.1,1.4,1.4,7.0,0.3,-10.082393933145797,-5.356339391146321,-1.452474806632381,-0.1812669311766512,-3.092312804190442,Done
,3.5,1.1,1.4,1.4,7.1,0.3,-9.792949297931044,-5.356339391146321,-1.3410396982799284,-0.1715668815886601,-2.924003326916136,Done
,3.5,1.1,1.4,1.5,6.9,0.1,-10.32167730119545,-5.356339391146321,-1.5774126751348376,-0.1875803092843853,-3.2003449256299064,Done
,3.5,1.1,1.4,1.5,6.9,0.2,-10.326367938541807,-5.356339391146321,-1.5791715857340023,-0.1860705201979726,-3.2047864414635114,Done
,3.5,1.1,1.4,1.5,6.9,0.3,-10.30379703140352,-5.356339391146321,-1.581728688965086,-0.1844766447902657,-3.1812523065018468,Done
,3.5,1.1,1.4,1.5,7.0,0.3,-10.075181332998907,-5.356339391146321,-1.4669313819613308,-0.1748631915543228,-3.0770473683369346,Done
,3.5,1.1,1.4,1.5,7.1,0.3,-9.803234186721966,-5.356339391146321,-1.3417632172931917,-0.1657021730788983,-2.939429405203555,Done
,3.5,1.1,1.4,1.6,6.9,0.1,-10.225557829544414,-5.356339391146321,-1.597140334546566,-0.1805898479069583,-3.0914882559445687,Done
,3.5,1.1,1.4,1.6,6.9,0.2,-10.209711319417693,-5.356339391146321,-1.597299722081516,-0.1791578700649552,-3.0769143361249007,Done
,3.5,1.1,1.4,1.6,6.9,0.3,-10.154910243640188,-5.356339391146321,-1.5972733666421846,-0.1776455709477886,-3.023651914903894,Done
,3.5,1.1,1.4,1.6,7.0,0.3,-9.97841803607298,-5.356339391146321,-1.4665322856744751,-0.1685912291286513,-2.9869551301235333,Done
,3.5,1.1,1.4,1.6,7.1,0.3,-9.74701744847698,-5.356339391146321,-1.3325946687255057,-0.1599541814648546,-2.8981292071403004,Done
,3.5,1.1,1.4,1.3,6.8,0.2,-10.45181471761316,-5.356339391146321,-1.504118252079934,-0.211807215353474,-3.379549859033432,Done
,3.5,1.1,1.4,1.3,6.8,0.3,-10.469674907333683,-5.356339391146321,-1.5194571065949276,-0.2099359805579297,-3.383942429034505,Done
,3.5,1.1,1.4,1.3,6.8,0.4,-10.476663486129835,-5.356339391146321,-1.5395198562473524,-0.2079693642444908,-3.372834874491673,Done
,3.5,1.1,1.4,1.3,6.9,0.2,-10.24979916831944,-5.356339391146321,-1.4785127065842971,-0.2003338224603794,-3.214613248128444,Done
,3.5,1.1,1.4,1.3,6.9,0.3,-10.269767163990764,-5.356339391146321,-1.4877741265809163,-0.1985686369007453,-3.2270850093627814,Done
,3.5,1.1,1.4,1.3,6.9,0.4,-10.280912369082216,-5.356339391146321,-1.499596415087581,-0.1967149723204784,-3.228261590527836,Done
,3.5,1.1,1.4,1.3,7.0,0.2,-9.997724008746443,-5.356339391146321,-1.4170016663847491,-0.1894421314354986,-3.0349408197798766,Done
,3.5,1.1,1.4,1.3,7.0,0.3,-10.018272451183291,-5.356339391146321,-1.4215209933463484,-0.1877786024124361,-3.052633464278188,Done
,3.5,1.1,1.4,1.3,7.0,0.4,-10.031518559961114,-5.356339391146321,-1.426977192866616,-0.1860309871844947,-3.0621709887636825,Done
,3.5,1.1,1.4,1.4,6.8,0.2,-10.535299275594298,-5.356339391146321,-1.6003224378218874,-0.2039238072466105,-3.374713639379479,Done
,3.5,1.1,1.4,1.4,6.8,0.3,-10.528527815185951,-5.356339391146321,-1.611091136932373,-0.2021397962816991,-3.35895749082556,Done
,3.5,1.1,1.4,1.4,6.8,0.4,-10.500919885118492,-5.356339391146321,-1.6248988668667153,-0.2002660513971932,-3.319415575708262,Done
,3.5,1.1,1.4,1.4,6.9,0.4,-10.319951648882125,-5.356339391146321,-1.55235745589016,-0.1896843503345735,-3.22157045151107,Done
,3.5,1.1,1.4,1.4,7.0,0.4,-10.07794551452389,-5.356339391146321,-1.454368631762918,-0.1796027746167965,-3.0876347169978544,Done
,3.5,1.1,1.4,1.5,6.8,0.2,-10.504804799507838,-5.356339391146321,-1.6704742906731551,-0.1962405747617595,-3.281750542926602,Done
,3.5,1.1,1.4,1.5,6.8,0.3,-10.464686202816663,-5.356339391146321,-1.6771434669499286,-0.1945488078636117,-3.236654536856804,Done
,3.5,1.1,1.4,1.5,6.8,0.4,-10.391902572882827,-5.356339391146321,-1.6854058910976164,-0.192771071975585,-3.157386218663305,Done
,3.5,1.1,1.4,1.5,6.9,0.4,-10.255279840668663,-5.356339391146321,-1.5845480913994834,-0.1827999380766414,-3.1315924200462177,Done
,3.5,1.1,1.4,1.5,7.0,0.4,-10.045571018767076,-5.356339391146321,-1.4659863519482317,-0.1732818664750084,-3.0499634091975167,Done
,3.5,1.1,1.4,1.3,6.7,0.1,-10.556114409817384,-5.356339391146321,-1.4670029181870632,-0.2257661753101274,-3.507005925173871,Done
,3.5,1.1,1.4,1.3,6.7,0.2,-10.5825150104356,-5.356339391146321,-1.4816885346081108,-0.2238773702410981,-3.52060971444007,Done
,3.5,1.1,1.4,1.3,6.7,0.3,-10.5964551451616,-5.356339391146321,-1.5051981968572363,-0.2218837709515355,-3.513033786206506,Done
,3.5,1.1,1.4,1.3,6.8,0.1,-10.424103875993753,-5.356339391146321,-1.4944872286287136,-0.2135811860789545,-3.359696070139762,Done
