theta,x2,y2,z2,E2,machine_type,status,file_name
,1.3,7.1,-0.1,-1.3272407533950172,3,Done,naphthalene_x2=1.3_y2=7.1_z2=-0.1_2.log
,1.3,7.1,0.0,-1.326953981362749,3,Done,naphthalene_x2=1.3_y2=7.1_z2=0.0_2.log
,1.3,7.1,0.1,-1.3272407533950172,3,Done,naphthalene_x2=1.3_y2=7.1_z2=0.1_2.log
,1.3,7.2,-0.1,-1.221649645769503,3,Done,naphthalene_x2=1.3_y2=7.2_z2=-0.1_2.log
,1.3,7.2,0.0,-1.2218184458906762,3,Done,naphthalene_x2=1.3_y2=7.2_z2=0.0_2.log
,1.3,7.2,0.1,-1.221649645769503,3,Done,naphthalene_x2=1.3_y2=7.2_z2=0.1_2.log
,1.3,7.3,-0.1,-1.107937303604558,3,Done,naphthalene_x2=1.3_y2=7.3_z2=-0.1_2.log
,1.3,7.3,0.0,-1.1083370275446214,3,Done,naphthalene_x2=1.3_y2=7.3_z2=0.0_2.log
,1.3,7.3,0.1,-1.107937303604558,3,Done,naphthalene_x2=1.3_y2=7.3_z2=0.1_2.log
,1.4,7.1,-0.1,-1.3421064652502537,3,Done,naphthalene_x2=1.4_y2=7.1_z2=-0.1_2.log
,1.4,7.1,0.0,-1.3421811390435323,3,Done,naphthalene_x2=1.4_y2=7.1_z2=0.0_2.log
,1.4,7.1,0.1,-1.3421064652502537,3,Done,naphthalene_x2=1.4_y2=7.1_z2=0.1_2.log
,1.4,7.2,-0.1,-1.2241289376979694,3,Done,naphthalene_x2=1.4_y2=7.2_z2=-0.1_2.log
,1.4,7.2,0.0,-1.2244997961097397,3,Done,naphthalene_x2=1.4_y2=7.2_z2=0.0_2.log
,1.4,7.2,0.1,-1.2241289376979694,3,Done,naphthalene_x2=1.4_y2=7.2_z2=0.1_2.log
,1.4,7.3,-0.1,-1.1041302004596218,3,Done,naphthalene_x2=1.4_y2=7.3_z2=-0.1_2.log
,1.4,7.3,0.0,-1.104637228534557,3,Done,naphthalene_x2=1.4_y2=7.3_z2=0.0_2.log
,1.4,7.3,0.1,-1.1041302004596218,3,Done,naphthalene_x2=1.4_y2=7.3_z2=0.1_2.log
,1.5,7.1,-0.1,-1.3448386437958106,3,Done,naphthalene_x2=1.5_y2=7.1_z2=-0.1_2.log
,1.5,7.1,0.0,-1.3451768716913648,3,Done,naphthalene_x2=1.5_y2=7.1_z2=0.0_2.log
,1.5,7.1,0.1,-1.3448386437958106,3,Done,naphthalene_x2=1.5_y2=7.1_z2=0.1_2.log
,1.5,7.2,-0.1,-1.2186162623693235,3,Done,naphthalene_x2=1.5_y2=7.2_z2=-0.1_2.log
,1.5,7.2,0.0,-1.2191320755518973,3,Done,naphthalene_x2=1.5_y2=7.2_z2=0.0_2.log
,1.5,7.2,0.1,-1.218617517442908,3,Done,naphthalene_x2=1.5_y2=7.2_z2=0.1_2.log
,1.5,7.3,-0.1,-1.0954147139564157,3,Done,naphthalene_x2=1.5_y2=7.3_z2=-0.1_2.log
,1.5,7.3,0.0,-1.0959844930912368,3,Done,naphthalene_x2=1.5_y2=7.3_z2=0.0_2.log
,1.5,7.3,0.1,-1.0954147139564157,3,Done,naphthalene_x2=1.5_y2=7.3_z2=0.1_2.log
,1.4,7.0,0.0,-1.4488666240940802,3,Done,naphthalene_x2=1.4_y2=7.0_z2=0.0_2.log
