theta,x1,y1,z1,x2,y2,z2,E3,E4,machine_type,status,file_name
,3.5,1.1,1.4,1.3,7.1,-0.1,-0.1832743356353603,-2.751241038844455,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=7.1_z2=-0.1_3.log
,3.5,1.1,1.4,1.3,7.1,0.0,-0.181966604781337,-2.788241538393777,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=7.1_z2=0.0_3.log
,3.5,1.1,1.4,1.3,7.1,0.1,-0.180571022501681,-2.82039703335613,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=7.1_z2=0.1_3.log
,3.5,1.1,1.4,1.3,7.2,-0.1,-0.1731883673928678,-2.565247074817308,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=7.2_z2=-0.1_3.log
,3.5,1.1,1.4,1.3,7.2,0.0,-0.1719578203046694,-2.5990635887137614,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=7.2_z2=0.0_3.log
,3.5,1.1,1.4,1.3,7.2,0.1,-0.1706463244045153,-2.6294488779385574,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=7.2_z2=0.1_3.log
,3.5,1.1,1.4,1.3,7.3,-0.1,-0.1636150748236104,-2.379925801535137,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=7.3_z2=-0.1_3.log
,3.5,1.1,1.4,1.3,7.3,0.0,-0.1624592014704831,-2.411176426976453,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=7.3_z2=0.0_3.log
,3.5,1.1,1.4,1.3,7.3,0.1,-0.1612261442933231,-2.439719346933998,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=7.3_z2=0.1_3.log
,3.5,1.1,1.4,1.4,7.1,-0.1,-0.1770450438489206,-2.8104014265118167,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=7.1_z2=-0.1_3.log
,3.5,1.1,1.4,1.4,7.1,0.0,-0.1757969264872372,-2.851579887792468,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=7.1_z2=0.0_3.log
,3.5,1.1,1.4,1.4,7.1,0.1,-0.174467860313598,-2.884766381583177,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=7.1_z2=0.1_3.log
